date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,33.83509,0,34.323143,0,33.28923,0,31.70165,0,32.57158,0,30.48838,0,29.8003788,0,29.4079075,0,80.11834,1.49115372,0.938140869,0,0,0,0,0,0,0,0,0,5.4,5.16491938,5,5.066411,5.285714,5.229656,5.33333349,5.30182457,5.5,5.280338,5.2,5.256604,5.116667,5.219439,5.27777767,5.231682,28.57143,31.1245537,0.0252199173,0.1365659,true,[object Object],
01-05-2015,34.1,34.88,34.1,34.67,473100,34.284008,33.83509,34.3566628,34.323143,33.37,33.28923,30.9106655,31.70165,31.9830017,32.57158,29.5556641,30.48838,29.6203327,29.8003788,30.0286732,29.4079075,83.29353,80.11834,1.49115372,0.779930353,0,0,0,0,0,0,0,0,0,5.4,5.247379,5,5.132822,5.142857,5.30620861,5.33333349,5.344942,5.5,5.342635,5.2,5.274301,5.116667,5.22687769,5.27777767,5.236888,28.57143,31.9755955,0.05730772,0.135739058,false,[object Object],
30-04-2015,34.31,34.43,33.76,34,773900,33.91001,33.4176369,34.37,33.976284,32.5928574,32.8289757,30.5166645,31.2776012,31.3400021,32.1052628,29.3399982,30.1999931,29.5675,29.6353073,29.9612312,29.2896576,75.29833,79.0599442,1.35684013,0.615342,0,0,0,0,0,0,0,0,0,5.4,5.371068,5.66666651,5.265644,5.714286,5.40827847,5.33333349,5.3942194,5.5,5.418776,5.2,5.293218,5.16666651,5.2345686,5.27777767,5.24221134,28.57143,33.1103172,0.09743023,0.132709339,true,[object Object],
29-04-2015,34.57,34.89,33.92,34.4,999300,32.98401,33.1264534,34.2499962,33.9525681,31.8128567,32.438633,30.1699963,30.8886871,30.7920017,31.6842079,29.1483326,29.9379234,29.5233326,29.4873524,29.9013424,29.1838074,80.07162,80.31381,1.23388672,0.459104955,5,5,5,2,2,5,5,5,5,5.2,5.556602,5.66666651,5.531288,5.714286,5.544371,5.33333349,5.45053673,5.5,5.51183748,5.2,5.31344,5.16666651,5.24252,5.27777767,5.24765444,28.57143,34.62328,0.147223949,0.126912013,true,[object Object],
28-04-2015,33.74,36.07,33.69,34.71,2366000,31.9500065,32.48968,33.7166634,33.5051346,30.9657154,31.7848434,29.7766647,30.38707,30.27,31.080698,28.9406643,29.6301937,29.4821663,29.3208218,29.8322315,29.06659,83.770874,80.39455,1.01827812,0.31602627,7,9,4,10,8,7,7,7,7,6,5.834903,5.66666651,6.062576,5.714286,5.725828,5.33333349,5.51489925,5.5,5.625579,5.2,5.3350563,5.16666651,5.250741,5.27777767,5.2532196,57.14286,36.640564,0.208637714,0.117666513,true,[object Object],
27-04-2015,33.01,34.62,32.99,33.64,1403500,30.7160072,31.3795223,31.9366665,32.30027,30.0414314,30.8097916,29.3346634,29.7695084,29.696003,30.2741871,28.73333,29.2798615,29.4313335,29.1381378,29.7489,28.9397717,85.85859,79.269104,0.6967087,0.1971408,0,0,0,0,0,0,0,0,0,5.6,5.252354,4.66666651,5.12515163,5.428571,5.301104,5.5333333,5.302742,5.3,5.320152,5.133333,5.22023249,5.133333,5.191444,5.25555563,5.213966,28.57143,29.8064651,0.08035278,0.104154319,false,[object Object],
26-04-2015,0,0,0,0,0,0,30.2492847,0,30.960537,0,29.8663883,0,29.2165813,0,29.526228,0,28.9791622,0,28.9855328,0,28.8341484,0,77.07261,0.385082245,0.11398527,0,0,0,0,0,0,0,0,0,5.6,5.37853146,6,5.25030327,5.428571,5.401472,5.5333333,5.345991,5.3,5.391297,5.133333,5.235421,5.133333,5.19793367,5.25555563,5.21877432,28.57143,30.2181435,0.119081974,0.108019143,true,[object Object],
25-04-2015,0,0,0,0,0,0,30.2492847,0,30.960537,0,29.8663883,0,29.2165813,0,29.526228,0,28.9791622,0,28.9855328,0,28.8341484,0,77.07261,0.385082245,0.06545491,4,5,3,7,2,4,4,4,4,5.6,5.567797,6,5.50060654,5.428571,5.53529644,5.5333333,5.39541864,5.3,5.47825146,5.1,5.251657,5.133333,5.20464325,5.25555563,5.22369051,14.2857151,30.7670479,0.1667819,0.111380845,true,[object Object],
24-04-2015,30.56,33,30.56,32.8,1442500,29.6820068,30.2492847,30.4666653,30.960537,29.3100033,29.8663883,28.975996,29.2165813,29.2240047,29.526228,28.5646629,28.9791622,29.4105,28.9855328,29.6837883,28.8341484,96.28251,77.07261,0.385082245,0.019912295,9,10,7,10,10,9,9,9,9,5.8,6.35169554,6.33333349,7.001213,5.571429,6.047062,5.6,5.594764,5.4,5.80675173,5.133333,5.33797836,5.15,5.24547863,5.266667,5.251189,80,36.2608261,0.327056885,0.114051551,true,[object Object],
23-04-2015,29.17,29.49,29,29.37,658800,28.7700081,28.9739285,29.0466633,29.1210747,28.79286,28.8885174,28.6466656,28.7046642,28.8200073,28.7987232,28.4229965,28.7156563,29.4021664,28.8562279,29.6246777,28.7450275,94.25843,70.66931,0.0672588348,-0.0249443054,0,0,0,0,0,0,0,0,0,5,5.027543,5,5.002426,5,5.062749,5.33333349,5.108302,5,5.097141,5,5.085425,5.08333349,5.1182065,5.22222233,5.16694641,1e-7,21.6811,0.0177783966,0.104488268,false,[object Object],
