date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,47.00068,0,46.8100739,0,47.0983276,0,47.1246567,0,47.142643,0,46.9850578,0,46.6028366,0,46.11651,0,49.3557625,0.115314484,0.2521553,0,0,0,0,0,0,0,0,0,5.2,5.4449544,6.33333349,5.411099,5.142857,5.43820763,5.66666651,5.399237,5.4,5.42577,5.3,5.34422064,5.16666651,5.34295559,5.37777758,5.407213,44.4444466,49.3124657,0.0621824265,0.0889707655,true,[object Object],
01-05-2015,46.71,46.93,46.4,46.69,3380000,47.0720024,47.00068,46.76001,46.8100739,47.44856,47.0983276,47.1379967,47.1246567,47.424,47.142643,46.91666,46.9850578,46.78082,46.6028366,46.1519928,46.11651,31.3166561,49.3557625,0.115314484,0.2676222,0,0,0,0,0,0,0,0,0,5.2,5.667432,6.33333349,5.822198,5.142857,5.584277,5.66666651,5.456271,5.7,5.52038527,5.266667,5.36796,5.1833334,5.35458136,5.37777758,5.416364,44.4444466,50.93514,0.109472275,0.12943919,true,[object Object],
30-04-2015,46.93,47.2,46.26,46.42,5777700,47.3980026,47.1560173,47.06001,46.9301529,47.6857033,47.23444,47.168663,47.18675,47.3799973,47.2432327,46.941658,47.0054054,46.7554855,46.59988,46.14488,46.1036224,21.70809,55.3687973,0.1705513,0.2708274,9,9,9,0,1,9,9,9,9,5.2,6.00114775,5.33333349,6.644396,5.142857,5.77903652,5.4666667,5.521453,5.8,5.63602638,5.266667,5.393337,5.266667,5.366601,5.422222,5.42572069,88.88889,53.0987,0.168239117,0.1452695,false,[object Object],
29-04-2015,47.28,47.64,46.88,47.17,3494600,47.8060036,47.524025,47.4166756,47.4403038,47.7857056,47.50592,47.2073326,47.2962837,47.3899956,47.4261742,46.97399,47.04578,46.7456551,46.6059761,46.1376572,46.09651,48.3985023,66.589035,0.2660637,0.253256053,0,0,0,0,0,0,0,0,0,4.4,4.50172138,4,4.288791,5,4.70538235,5.0666666,5.02451754,5.6,4.888477,5.0666666,5.14460135,5.2,5.243435,5.37777758,5.3454,44.4444466,41.1686363,-0.166473389,0.129422352,true,[object Object],
28-04-2015,47.62,47.73,47.01,47.59,3769100,48.042,47.70104,47.8000145,47.71061,47.7085648,47.6178932,47.17,47.3143234,47.3559952,47.4831,46.97132,47.0372124,46.71332,46.5868568,46.1053238,46.0723877,63.3452072,72.65254,0.307739258,0.220282659,2,3,1,1,3,2,2,2,2,4.4,4.252582,4,3.57758236,5.428571,4.607177,4.9333334,5.02802,5.6,4.86369371,5,5.154574,5.2,5.251687,5.4,5.353162,11.1111116,40.0767,-0.183993816,0.141252577,true,[object Object],
27-04-2015,48.28,48.4,47.38,47.49,5152500,47.948,47.7565575,48.09001,47.8312225,47.51714,47.62719,47.076664,47.27494,47.267,47.4593468,46.97932,46.99909,46.666153,46.5528526,46.05877,46.0382843,59.78654,75.75498,0.3136902,0.182157725,0,0,0,0,0,0,0,0,0,5.6,5.37887335,5,5.15516472,6,5.47623539,5.133333,5.460594,5.9,5.50007,5.1,5.372131,5.33333349,5.36191368,5.4333334,5.42851353,44.4444466,49.7318954,0.101774693,0.131671429,true,[object Object],
26-04-2015,0,0,0,0,0,0,47.8898354,0,48.17244,0,47.67292,0,47.2442169,0,47.4525337,0,46.9652328,0,46.5210838,0,46.00566,0,81.0778,0.3269081,0.143371582,0,0,0,0,0,0,0,0,0,6.2,5.56831026,5,5.31032944,6.285714,5.63498068,5.133333,5.52639341,5.9,5.61119652,5.1,5.397795,5.41666651,5.37418175,5.48888874,5.43814325,44.4444466,51.49438,0.159584045,0.0835878,true,[object Object],
25-04-2015,0,0,0,0,0,0,47.8898354,0,48.17244,0,47.67292,0,47.2442169,0,47.4525337,0,46.9652328,0,46.5210838,0,46.00566,0,81.0778,0.3269081,0.103116781,0,0,0,0,0,0,0,0,0,6.4,5.85246563,6,5.620659,6.285714,5.846641,5.133333,5.60159254,5.6,5.747018,5.233333,5.42522955,5.41666651,5.386866,5.477778,5.447989,44.4444466,53.84436,0.231048584,0.0209998563,true,[object Object],
24-04-2015,48.36,48.52,48.09,48.32,3425700,47.776,47.8898354,48.37668,48.17244,47.3785667,47.67292,46.99733,47.2442169,47.1709976,47.4525337,46.95899,46.9652328,46.6289864,46.5210838,46.0139847,46.00566,89.89901,81.0778,0.3269081,0.06655375,5,5,5,0,1,5,5,5,5,6.8,6.27869844,7,6.24131727,6.285714,6.12885475,5.2,5.68753433,5.4,5.913022,5.4,5.45455551,5.41666651,5.39998,5.477778,5.458056,44.4444466,56.9776649,0.318902969,-0.05919059,true,[object Object],
23-04-2015,48.35,48.62,47.83,48.46,6361000,47.362,47.6747551,47.9766731,48.02488,47.16571,47.45723,46.85133,47.0905342,47.053997,47.25976,46.9233246,46.8718,46.5471535,46.4601021,45.9625435,45.9536552,94.61279,78.13739,0.2545166,0.0316513926,8,10,5,2,5,8,8,8,8,6.8,6.91804743,7.33333349,7.48263454,6.285714,6.50513935,5.4666667,5.78575325,5.2,6.115916,5.4,5.485904,5.41666651,5.413539,5.477778,5.46834946,77.77778,61.1554031,0.426398277,-0.126742423,true,[object Object],
22-04-2015,47.25,48.4,47.12,48.35,7503800,46.974,47.28213,47.36668,47.58976,46.9142838,47.1229744,46.6799965,46.8948975,46.9079971,46.993042,46.851326,46.7622681,46.4674835,46.3923073,45.9181,45.89733,98.24551,72.64559,0.144161224,0.003384908,8,10,5,10,24,8,8,8,8,6.2,6.377071,7,6.965269,5.428571,6.006852,5.4,5.46943235,4.9,5.69723034,5.366667,5.312518,5.383333,5.32586241,5.44444466,5.41145849,77.77778,55.6146126,0.251945019,-0.188493311,true,[object Object],
21-04-2015,46.94,47.28,46.72,47.12,8612200,46.67,46.7482,46.6666756,46.82952,46.6542854,46.7139664,46.5453339,46.687027,46.734,46.691494,46.7786636,46.65277,46.39748,46.3259468,45.87388,45.8422165,90.75145,64.11229,0.01240921,-0.012946235,6,9,3,2,4,6,6,6,6,5.6,5.565606,6,5.93053865,4.714286,5.342469,5.2,5.10792255,4.6,5.18550348,5.266667,5.12717438,5.33333349,5.23521376,5.4,5.353289,55.5555573,48.22689,0.0256147385,-0.208002508,true,[object Object],
