date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,19.679,0,19.5402679,0,19.81571,0,20.279501,0,20.0083523,0,20.7266426,0,20.98368,0,21.10122,0,10.5803509,-0.523370743,-0.430989146,0,0,0,0,0,0,0,0,0,5,5.038751,5,5.00585842,5,5.072706,5.2,5.098846,5.3,5.09879351,4.9666667,5.054305,5.0333333,5.018102,4.977778,5.00301838,1e-7,11.8577566,0.0386533737,0.130786791,true,[object Object],
01-05-2015,19.41,19.74,19.23,19.48,108100,19.7359924,19.679,19.4399967,19.5402679,19.832859,19.81571,20.36534,20.279501,20.0159931,20.0083523,21.14133,20.7266426,21.103178,20.98368,20.9902267,21.10122,9.689922,10.5803509,-0.523370743,-0.410716385,0,0,0,0,0,0,0,0,0,5,5.058127,5,5.011717,5,5.096942,5.2,5.112967,5.3,5.12074757,4.9666667,5.05805,5.0333333,5.018716,4.977778,5.003086,1e-7,15.8103418,0.0522232056,0.129704058,false,[object Object],
30-04-2015,20,20.4,19.23,19.38,172800,19.873991,19.7785015,19.6766644,19.6005363,19.93143,19.9276142,20.5040054,20.3937149,20.1249943,20.1257629,21.2309971,20.8126183,21.1191769,21.0346527,21.0130062,21.1376514,5.81393862,10.87716,-0.4995556,-0.3839124,0,0,0,0,0,0,0,0,0,5,5.08719,5,5.02343369,5.428571,5.129256,5.2,5.129105,5.3,5.14758062,4.9666667,5.06205368,5.0333333,5.01935053,4.977778,5.003155,1e-7,21.0804558,0.06878424,0.126435488,true,[object Object],
29-04-2015,20,20.43,19.38,19.46,122400,19.9939919,19.9777527,19.9399967,19.8210735,20.0800018,20.1101532,20.65334,20.53853,20.3189945,20.2914886,21.3239975,20.9114189,21.1401768,21.0907421,21.0352287,21.1771488,3.18724775,12.5649,-0.451709747,-0.353111684,0,0,0,0,0,0,0,0,0,5,5.130785,5,5.04686737,5.428571,5.172341,5.2,5.14754868,5.3,5.180376,4.9666667,5.06633329,5.0333333,5.02000666,4.977778,5.00322628,1e-7,28.1072731,0.08892107,0.120424539,true,[object Object],
28-04-2015,20.11,20.25,19.94,20.19,84900,20.1359921,20.23663,20.1766644,20.182148,20.26286,20.32687,20.8053379,20.692606,20.4699955,20.476265,21.4126625,21.0115166,21.14851,21.14602,21.058672,21.2157364,19.8113346,15.6907845,-0.392213821,-0.321617335,0,0,0,0,0,0,0,0,0,5.6,5.19617748,5,5.09373474,5.428571,5.229788,5.2,5.168627,5.3,5.22045946,4.9666667,5.070908,5.0333333,5.02068472,4.977778,5.00329876,1e-7,37.4763641,0.113329411,0.111000746,false,[object Object],
27-04-2015,20.25,20.73,20.02,20.17,74200,20.1819916,20.2599449,20.1066647,20.1742935,20.3171444,20.3724937,20.9020042,20.7644062,20.5499954,20.5398788,21.47033,21.0681725,21.1353455,21.1784286,21.0651169,21.2387867,18.8679161,14.3172684,-0.384899139,-0.292411178,0,0,0,0,0,0,0,0,0,5.6,5.294266,5,5.18746948,5.428571,5.306384,5.2,5.192716,5.3,5.26945066,4.9666667,5.07579851,5.0333333,5.02138567,4.977778,5.00337267,1e-7,49.9684868,0.14283514,0.09735807,true,[object Object],
26-04-2015,0,0,0,0,0,0,20.3049164,0,20.1785851,0,20.4399929,0,20.8493214,0,20.6220741,0,21.1301155,0,21.2126122,0,21.262804,0,12.8003864,-0.367927551,-0.264017731,0,0,0,0,0,0,0,0,0,5.6,5.44139957,6,5.374939,5.428571,5.408512,5.2,5.220247,5.3,5.32932854,4.9666667,5.081026,5.0333333,5.02211046,4.977778,5.00344849,1e-7,66.62465,0.178418159,0.07852893,true,[object Object],
25-04-2015,0,0,0,0,0,0,20.3049164,0,20.1785851,0,20.4399929,0,20.8493214,0,20.6220741,0,21.1301155,0,21.2126122,0,21.262804,0,12.8003864,-0.367927551,-0.23751004,0,0,0,0,0,0,0,0,0,5.6,5.66209936,6,5.749878,5.428571,5.544683,4.9333334,5.25171041,5.3,5.40251255,4.9666667,5.086614,5.0333333,5.02286,4.977778,5.003526,57.14286,88.83286,0.221239567,0.05335384,true,[object Object],
24-04-2015,20.02,20.2,19.77,20.17,92300,20.2959919,20.3049164,20.1066647,20.1785851,20.48143,20.4399929,21.0060043,20.8493214,20.6799965,20.6220741,21.5063286,21.1301155,21.1368446,21.2126122,21.0747852,21.262804,17.2413654,12.8003864,-0.367927551,-0.203353241,8,8,8,10,1,8,8,8,8,5.6,5.99314928,6,6.499756,5.428571,5.726244,4.9333334,5.287669,5.3,5.49195957,4.9666667,5.09258747,5.0333333,5.023635,4.977778,5.00360537,100,99.3961945,0.272676945,0.02044524,true,[object Object],
23-04-2015,20.08,20.39,19.87,19.98,131300,20.3759918,20.3723736,20.1899986,20.18717,20.5957165,20.5299911,21.121336,20.9463673,20.8189964,20.7225361,21.5549965,21.196331,21.1320114,21.2479553,21.0842285,21.2873611,4.417619,11.3200607,-0.34091568,-0.167820185,0,0,0,0,0,0,0,0,0,5,4.98972368,5,4.99951172,5,4.96832561,4.733333,4.900193,5,4.93461752,4.866667,4.892076,4.983333,4.922741,4.94444466,4.93627071,100,99.19493,0.02890873,-0.02185546,true,[object Object],
22-04-2015,20.48,20.69,20.1,20.17,128200,20.6439934,20.56856,20.44333,20.39434,20.7400017,20.7133217,21.2593346,21.08442,20.982996,20.8875446,21.581665,21.2802162,21.1251774,21.2909374,21.0965614,21.31674,2.99143982,13.6208754,-0.282135,-0.129494563,0,0,0,0,0,0,0,0,0,5,4.98458529,5,4.99902344,5,4.95776749,4.733333,4.885935,5,4.92008829,4.866667,4.884633,4.983333,4.920122,4.94444466,4.934839,100,98.9265747,0.0228061676,-0.0415892079,true,[object Object],
21-04-2015,20.7,21.2,20.34,20.42,57300,20.8039932,20.76784,20.5766659,20.61868,20.9257164,20.8944283,21.3813343,21.2150517,21.1399956,21.046999,21.6153316,21.3567829,21.1193428,21.3289356,21.1082268,21.34251,5.60751247,17.16402,-0.222349167,-0.09053782,0,0,0,0,0,0,0,0,0,5,4.976878,5,4.998047,5,4.94369,4.733333,4.86964,5,4.90233,4.866667,4.87667656,4.983333,4.91741467,4.94444466,4.9333744,100,98.56877,0.0146856308,-0.0661717,true,[object Object],
20-04-2015,20.66,20.93,20.6,20.74,55400,20.9179935,20.94176,20.8766651,20.81736,21.0885735,21.05257,21.5126648,21.32863,21.2619972,21.1863327,21.6503315,21.4213886,21.1071739,21.3597469,21.1267815,21.3632412,19.2982635,21.01619,-0.168260574,-0.0546232872,0,0,0,0,0,0,0,0,0,5,4.96531725,5,4.99609375,5,4.92491961,4.733333,4.851017,4.6,4.88062525,4.866667,4.86817169,4.983333,4.914615,4.94444466,4.931877,100,98.0917,0.00410699844,-0.09658538,false,[object Object],
19-04-2015,0,0,0,0,0,0,21.0426388,0,20.8947182,0,21.1567612,0,21.41272,0,21.2855167,0,21.4683819,0,21.3807545,0,21.3772469,0,21.5888329,-0.129358292,-0.0247186031,0,0,0,0,0,0,0,0,0,5,4.94797564,5,4.9921875,5,4.899893,4.733333,4.829734,4.6,4.85409737,4.866667,4.85908031,4.983333,4.91172075,4.94444466,4.93034649,100,97.4556,-0.009454727,-0.1339994,true,[object Object],
18-04-2015,0,0,0,0,0,0,21.0426388,0,20.8947182,0,21.1567612,0,21.41272,0,21.2855167,0,21.4683819,0,21.3807545,0,21.3772469,0,21.5888329,-0.129358292,0.000863605062,0,0,0,0,0,0,0,0,0,5,4.921963,5,4.984375,5,4.86652374,4.733333,4.80541039,4.6,4.821675,4.866667,4.849362,4.983333,4.908728,4.94444466,4.928781,100,96.60747,-0.0266270638,-0.134551629,true,[object Object],
17-04-2015,21.16,21.16,20.3,20.57,93300,21.0639935,21.0426388,20.9533329,20.8947182,21.2142887,21.1567612,21.585331,21.41272,21.3609962,21.2855167,21.6723328,21.4683819,21.0935078,21.3807545,21.1371155,21.3772469,11.8421221,21.5888329,-0.129358292,0.0298606027,0,0,0,0,0,0,0,0,0,5,4.882945,5,4.96875,4.428571,4.8220315,4.733333,4.77761173,4.6,4.782047,4.866667,4.838973,4.983333,4.905634,4.94444466,4.927181,100,95.47662,-0.048157692,-0.133299351,true,[object Object],
16-04-2015,20.95,21.36,20.8,21.32,132100,21.2619934,21.27896,21.0933323,21.2194386,21.38143,21.3523483,21.6779976,21.5331078,21.4939938,21.44452,21.6926651,21.53034,21.08051,21.4082375,21.1526718,21.3953876,29.6088867,24.8377361,-0.0605163574,0.06232431,0,0,0,0,0,0,0,0,0,5,4.82441759,5,4.9375,4.428571,4.76270866,4.733333,4.745842,4.6,4.73361254,4.866667,4.82786751,4.983333,4.9024353,4.94444466,4.92554426,100,93.96883,-0.07493782,-0.129762068,false,[object Object],
15-04-2015,21.17,21.31,20.79,20.97,168000,21.3219948,21.2584381,21.1433334,21.1188774,21.4271431,21.3631325,21.72333,21.56355,21.5669937,21.4721928,21.6783333,21.5448456,21.0593452,21.4112282,21.1616726,21.3970814,10.0557823,23.2473526,-0.0481300354,0.08994293,0,0,0,0,0,0,0,0,0,4.2,4.736626,5,4.875,4.428571,4.683612,4.733333,4.70953369,4.6,4.674415,4.866667,4.815996,4.983333,4.899128,4.94444466,4.923871,100,91.9584351,-0.108029366,-0.123359784,true,[object Object],
