date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,18.54057,0,18.4953384,0,18.58045,0,18.6428585,0,18.6187649,0,18.6521626,0,18.6187153,0,18.5235367,0,21.5783844,-0.0180149078,0.0318879038,0,0,0,0,0,0,0,0,0,5,5.00112867,5,5.00000954,5,5.00709152,5,5.061904,5,5.02523232,5.16666651,5.13637972,5.25,5.185585,5.22222233,5.203905,100,68.71885,-0.08194399,-0.08372349,true,[object Object],
01-05-2015,18.5,18.5,18.45,18.47,1900,18.5279961,18.54057,18.4899979,18.4953384,18.5771332,18.58045,18.7486668,18.6428585,18.6799965,18.6187649,18.579998,18.6521626,18.6888332,18.6187153,18.8124428,18.5235367,7.97092533,21.5783844,-0.0180149078,0.0436859131,0,0,0,0,0,0,0,0,0,5,5.00169325,5,5.000019,5,5.00945568,5,5.07074738,5,5.03083944,5.16666651,5.14578533,5.25,5.191876,5.22222233,5.208487,100,58.2918,-0.08442879,-0.0817216262,true,[object Object],
30-04-2015,18.49,18.5,18.45,18.45,1000,18.5739956,18.5758553,18.53333,18.52068,18.642849,18.6172676,18.7646675,18.6675529,18.7319965,18.651825,18.5783329,18.6647263,18.6931667,18.6237564,18.8088875,18.52474,6.521754,26.1142025,-0.00290679932,0.0573948771,0,0,0,0,0,0,0,0,0,5,5.00253963,5,5.000038,5,5.01260757,5,5.080854,5,5.03769255,5.16666651,5.15583944,5.25,5.19838,5.22222233,5.213172,100,44.38907,-0.0863723755,-0.0779778659,true,[object Object],
29-04-2015,18.6,18.6,18.46,18.55,2400,18.6239967,18.6387825,18.5733318,18.5913582,18.72142,18.6730232,18.7879982,18.6986313,18.8119965,18.6966743,18.5796642,18.6795349,18.7043343,18.6296463,18.8034439,18.52642,13.7680244,32.64502,0.0184555054,0.0690920055,0,0,0,0,0,0,0,0,0,5,5.00380945,5,5.00007629,5,5.01681042,5,5.09240437,5,5.04606867,5.16666651,5.166587,5.25,5.205105,5.22222233,5.21796227,100,25.8520927,-0.08759689,-0.0720653,true,[object Object],
28-04-2015,18.57,18.6,18.55,18.6,600,18.6999969,18.6831741,18.6233311,18.6327152,18.76142,18.7140312,18.8113327,18.7198639,18.8369961,18.729269,18.5749989,18.6884689,18.7061672,18.6323471,18.8004436,18.52589,19.1489716,38.93735,0.0352726,0.07703272,0,0,0,0,0,0,0,0,0,5,5.005714,5,5.00015259,5,5.022414,5.33333349,5.105605,5,5.056306,5.16666651,5.178076,5.25,5.21205759,5.22222233,5.22286034,1e-7,1.13612461,-0.08788538,-0.06347052,false,[object Object],
27-04-2015,18.7,18.7,18.55,18.57,900,18.7799969,18.72476,18.6566639,18.66543,18.8171349,18.75204,18.79133,18.7369881,18.8559971,18.7579956,18.5649986,18.69457,18.7111683,18.6334438,18.79511,18.5242252,21.4764919,45.5334778,0.05113411,0.0831178054,0,0,0,0,0,0,0,0,0,5,5.008571,5,5.000305,5,5.029886,5.33333349,5.120692,5,5.06881857,5.16666651,5.19035673,5.25,5.219246,5.22222233,5.22786856,1e-7,1.51483274,-0.08697605,-0.05157725,true,[object Object],
26-04-2015,0,0,0,0,0,0,18.80214,0,18.76086,0,18.8127213,0,18.7608433,0,18.7997723,0,18.7031612,0,18.6355953,0,18.5231972,0,53.552475,0.07368851,0.08744049,0,0,0,0,0,0,0,0,0,5,5.012857,5,5.00061035,5,5.039848,5.33333349,5.13793325,5,5.08411169,5.33333349,5.20348454,5.25,5.226678,5.22222233,5.23298931,1e-7,2.019777,-0.0845499039,-0.0356468633,true,[object Object],
25-04-2015,0,0,0,0,0,0,18.80214,0,18.76086,0,18.8127213,0,18.7608433,0,18.7997723,0,18.7031612,0,18.6355953,0,18.5231972,0,53.552475,0.07368851,0.089257136,0,0,0,0,0,0,0,0,0,5,5.01928568,5,5.0012207,5,5.05313063,5.33333349,5.157638,5,5.102803,5.33333349,5.217518,5.25,5.23436165,5.22222233,5.238225,1e-7,2.693036,-0.08022356,-0.0147953564,true,[object Object],
24-04-2015,18.9,18.9,18.55,18.7,3000,18.8319969,18.80214,18.7766647,18.76086,18.914278,18.8127213,18.76333,18.7608433,18.8589973,18.7997723,18.562664,18.7031612,18.7141685,18.6355953,18.7854443,18.5231972,41.8994637,53.552475,0.07368851,0.08913485,0,0,0,0,0,0,0,0,0,5,5.02892828,5,5.00244141,5,5.070841,5.33333349,5.18015766,5,5.1256485,5.33333349,5.232519,5.25,5.242306,5.22222233,5.24357843,1e-7,3.59071469,-0.07353449,0.0120339394,true,[object Object],
23-04-2015,18.95,18.95,18.4,18.7,2600,18.8899956,18.8532085,18.8766651,18.821722,18.9285641,18.850296,18.74133,18.7695351,18.8599968,18.8219433,18.5563316,18.7033787,18.7206688,18.6334114,18.775444,18.5192242,41.8994637,57.43681,0.08816719,0.08347893,0,0,0,0,0,0,0,0,0,5,5.04339266,5,5.004883,5,5.094455,5.33333349,5.20589447,5.5,5.15357065,5.33333349,5.248555,5.25,5.25052,5.22222233,5.249052,1e-7,4.78761959,-0.06392717,0.04610284,true,[object Object],
