date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,23.9710751,0,23.922472,0,24.0034618,0,24.0809727,0,24.03734,0,24.21811,0,24.756752,0,25.5117321,0,25.44066,-0.122816086,-0.11552874,0,0,0,0,0,0,0,0,0,5,5.000035,5,5,5,5.00055552,5,5.01410627,5,5.003777,5.133333,5.03809357,5.0333333,5.05782461,5.077778,5.073047,100,96.90881,-0.0261731148,-0.0306933187,true,[object Object],
01-05-2015,23.91,24.17,23.69,23.88,341000,24.0299931,23.9710751,23.9133282,23.922472,24.04429,24.0034618,24.116663,24.0809727,24.0529976,24.03734,24.1250076,24.21811,24.596323,24.756752,24.663332,25.5117321,15.4470491,25.44066,-0.122816086,-0.114073649,0,0,0,0,0,0,0,0,0,5,5.00005245,5,5,5,5.00074053,5,5.01612139,5,5.00461626,5.133333,5.040721,5.0333333,5.059785,5.077778,5.074689,100,95.87842,-0.02750349,-0.0315169767,true,[object Object],
30-04-2015,23.94,24.07,23.7,23.82,537600,24.0319939,24.016613,24.0466614,23.9649448,24.0714321,24.0446167,24.133997,24.109684,24.0589962,24.0723057,24.1530075,24.2414265,24.58999,24.7864723,24.69578,25.5484,9.835984,28.7718639,-0.114768982,-0.114675522,0,0,0,0,0,0,0,0,0,5,5.00007868,5,5,5,5.00098753,5,5.01842451,5,5.005642,5.133333,5.04352951,5.0333333,5.06181145,5.077778,5.07636738,100,94.50456,-0.0288014412,-0.03210984,true,[object Object],
29-04-2015,24.14,24.25,23.98,24.04,905800,24.121994,24.11492,24.1499939,24.10989,24.0885754,24.1194878,24.1493282,24.1510677,24.1119957,24.1283741,24.21134,24.27049,24.6003227,24.8192348,24.7422218,25.5872421,26.6667843,35.0838242,-0.09671974,-0.116327077,0,0,0,0,0,0,0,0,0,5,5.00011826,5,5,5,5.00131655,5,5.02105665,5,5.00689554,5.133333,5.04653168,5.0333333,5.06390667,5.077778,5.07808352,100,92.6727448,-0.03003931,-0.0323994942,true,[object Object],
28-04-2015,24.1,24.32,23.91,24.28,441500,24.1279945,24.1523781,24.0999928,24.17978,24.1128578,24.1459827,24.14866,24.166935,24.1799965,24.1480122,24.22834,24.2863865,24.594656,24.84565,24.79322,25.6220112,46.66675,37.8895035,-0.0946750641,-0.1185023,0,0,0,0,0,0,0,0,0,5,5.00017738,5,5.00000048,5,5.001755,5,5.02406454,5,5.00842762,5.133333,5.049741,5.0333333,5.066073,5.111111,5.07983828,100,90.23033,-0.03118229,-0.0322979279,false,[object Object],
27-04-2015,24.01,24.3,24.01,24.13,307000,24.0599937,24.0885677,24.0966587,24.0795555,24.0642872,24.10131,24.1499939,24.1507835,24.1639957,24.118681,24.23634,24.2868271,24.5751553,24.8648243,24.8386669,25.6521683,34.16663,34.9637566,-0.115125656,-0.121880211,0,0,0,0,0,0,0,0,0,5,5.000266,5,5.000001,5,5.00234032,5,5.02750254,5,5.01030064,5.133333,5.053171,5.0333333,5.06831264,5.111111,5.08163261,100,86.97377,-0.03218746,-0.03169849,false,[object Object],
26-04-2015,0,0,0,0,0,0,24.067852,0,24.0291138,0,24.09175,0,24.1537533,0,24.1161652,0,24.2976437,0,24.8897343,0,25.6863747,0,35.2294655,-0.124279022,-0.12298584,0,0,0,0,0,0,0,0,0,5,5.000399,5,5.000002,5,5.00312042,5,5.03143167,5,5.01258945,5.133333,5.056838,5.0333333,5.070628,5.111111,5.083467,100,82.6317,-0.0330019,-0.03047233,true,[object Object],
25-04-2015,0,0,0,0,0,0,24.067852,0,24.0291138,0,24.09175,0,24.1537533,0,24.1161652,0,24.2976437,0,24.8897343,0,25.6863747,0,35.2294655,-0.124279022,-0.123074427,0,0,0,0,0,0,0,0,0,5,5.00059843,5,5.000004,5,5.004161,5,5.035922,5,5.015387,5.1,5.060758,5.0333333,5.07302237,5.111111,5.085343,100,76.84227,-0.0335621834,-0.028464105,true,[object Object],
24-04-2015,24.28,24.28,23.82,23.89,234800,24.0759945,24.067852,24.07666,24.0291138,24.0957165,24.09175,24.1719933,24.1537533,24.1599941,24.1161652,24.27234,24.2976437,24.565321,24.8897343,24.8901119,25.6863747,14.1666632,35.2294655,-0.124279022,-0.121151395,0,0,0,0,0,0,0,0,0,5,5.000898,5,5.00000763,5,5.005548,5,5.041054,5,5.01880646,5.1,5.06494856,5.0333333,5.07549763,5.111111,5.08726072,100,69.12303,-0.03378868,-0.0254867878,true,[object Object],
23-04-2015,24.04,24.32,23.94,24.27,336300,24.0859947,24.1567783,24.0933285,24.1682262,24.2142887,24.1589985,24.193327,24.191433,24.1849937,24.1664238,24.313673,24.3257561,24.5539875,24.923624,24.94178,25.7267418,45.8334,42.2504,-0.10972023,-0.121126175,0,0,0,0,0,0,0,0,0,5,5.001347,5,5.00001526,5,5.007397,5,5.046919,5,5.022986,5.1,5.069428,5.0333333,5.078057,5.111111,5.08922148,100,58.8307076,-0.0335860252,-0.0213159453,false,[object Object],
22-04-2015,23.95,24.11,23.72,24.07,293300,24.1019936,24.1001682,24.073328,24.066452,24.1928577,24.1219978,24.1759949,24.18021,24.1629944,24.1434059,24.3216743,24.3296013,24.5396538,24.9457817,24.9940014,25.7594776,37.5,41.05607,-0.128232956,-0.129126236,0,0,0,0,0,0,0,0,0,5,5.002021,5,5.00003052,5,5.009863,5,5.053622,5,5.028094,5.1,5.074216,5.0333333,5.080703,5.111111,5.09122658,100,45.10761,-0.0328393,-0.0156824328,false,[object Object],
21-04-2015,24.32,24.43,23.92,23.94,344500,24.2319946,24.1152534,24.0299969,24.0629044,24.195715,24.13933,24.1539936,24.1959534,24.1589947,24.1597176,24.3366737,24.3475056,24.5336552,24.97547,25.045557,25.7974434,27.9412422,42.2414246,-0.12963295,-0.13616626,0,0,0,0,0,0,0,0,0,5,5.00303125,5,5.000061,5,5.01315069,5,5.061282,5,5.034337,5.1,5.07933426,5.0333333,5.0834384,5.111111,5.0932765,100,26.8101444,-0.03140831,-0.00826390553,true,[object Object],
20-04-2015,24.05,24.25,23.94,24.21,448000,24.2679939,24.202879,24.1666622,24.1858082,24.224287,24.2057724,24.1553268,24.2325172,24.1949959,24.2085438,24.3646755,24.3756084,24.5254879,25.01057,25.1037788,25.8391838,47.7940674,47.008152,-0.116296768,-0.1438018,0,0,0,0,0,0,0,0,0,5,5.00454664,5,5.000122,5,5.01753426,5.266667,5.070037,5,5.04196739,5.1,5.08480549,5.0333333,5.086267,5.111111,5.09537268,1e-7,2.41352725,-0.0291252136,0.00132502452,false,[object Object],
19-04-2015,0,0,0,0,0,0,24.19932,0,24.1616173,0,24.2043629,0,24.2357349,0,24.2082214,0,24.38703,0,25.0377083,0,25.8757954,0,46.74618,-0.1250763,-0.152919129,0,0,0,0,0,0,0,0,0,5,5.00681973,5,5.000244,5,5.023379,5.266667,5.08004236,5,5.05129337,5.1,5.090654,5.0333333,5.08919144,5.111111,5.097516,1e-7,3.21803641,-0.0257873535,0.0135447187,true,[object Object],
18-04-2015,0,0,0,0,0,0,24.19932,0,24.1616173,0,24.2043629,0,24.2357349,0,24.2082214,0,24.38703,0,25.0377083,0,25.8757954,0,46.74618,-0.1250763,-0.161060974,0,0,0,0,0,0,0,0,0,5,5.01022959,5,5.00048828,5,5.031172,5.266667,5.091477,5,5.062692,5.1,5.09690571,5.0333333,5.092215,5.111111,5.0997076,1e-7,4.290715,-0.02115202,0.0289444923,true,[object Object],
17-04-2015,24.16,24.22,23.81,23.94,511100,24.2439957,24.19932,24.3366623,24.1616173,24.2014313,24.2043629,24.1473274,24.2357349,24.2199955,24.2082214,24.3870068,24.38703,24.5103226,25.0377083,25.15189,25.8757954,27.9412422,46.74618,-0.1250763,-0.170406342,0,0,0,0,0,0,0,0,0,5,5.015344,5,5.00097656,5,5.04156256,5.266667,5.104545,5,5.076624,5.1,5.103589,5.0333333,5.095341,5.111111,5.10194826,1e-7,5.72095346,-0.0149278641,0.0481792,true,[object Object],
16-04-2015,24.69,24.85,24.34,24.35,495400,24.2839947,24.32898,24.3966618,24.3832359,24.2142887,24.2924843,24.1399918,24.2779827,24.246994,24.2678261,24.4136734,24.41786,24.5048237,25.0749187,25.2081127,25.9192963,58.08828,53.0144958,-0.106971741,-0.179931641,0,0,0,0,0,0,0,0,0,5,5.02301645,5,5.00195265,5,5.05541658,5.266667,5.11948,5,5.09365129,4.9666667,5.110733,5.0333333,5.098573,5.111111,5.10423946,1e-7,7.627938,-0.00676631927,0.0720289052,true,[object Object],
15-04-2015,24.25,24.92,24.16,24.72,810300,24.2239952,24.31847,24.3099957,24.41647,24.2071438,24.2733116,24.1206589,24.2676945,24.2129936,24.2495651,24.4253426,24.42254,24.48199,25.099493,25.2612228,25.9545612,85.29407,51.3232346,-0.124052048,-0.191131383,0,0,0,0,0,0,0,0,0,5,5.034525,5,5.0039053,5,5.073889,5.266667,5.136549,5.4,5.114463,5.0666666,5.11836958,5.0333333,5.101915,5.111111,5.10658169,1e-7,10.1705837,0.00374889374,0.101422042,false,[object Object],
14-04-2015,24.06,24.19,23.99,24.12,747400,24.0859947,24.1177044,24.1166611,24.1129379,24.17,24.1244144,24.0873241,24.20308,24.114994,24.1450253,24.4466763,24.4020271,24.45249,25.1123581,25.3116665,25.9823036,59.57458,39.9996262,-0.181720734,-0.2027217,0,0,0,0,0,0,0,0,0,5,5.05178738,5,5.00781059,5,5.09851837,5.266667,5.156056,5.4,5.139899,5.0666666,5.126533,5.0333333,5.10536957,5.0666666,5.108977,1e-7,13.5607777,0.017115593,0.1374632,false,[object Object],
13-04-2015,24.16,24.33,23.97,24.09,350200,24.121994,24.1165562,24.0933285,24.1058731,24.1828575,24.125885,24.0879917,24.2149487,24.0989933,24.1505852,24.48901,24.4214764,24.42749,25.145998,25.362999,26.0241528,41.0852966,33.4746437,-0.19159317,-0.212266073,0,0,0,0,0,0,0,0,0,5,5.077681,5,5.015621,5,5.13135767,5.266667,5.17834949,5.4,5.170987,5.0666666,5.13525963,5.116667,5.10894156,5.0666666,5.111426,1e-7,18.0810375,0.03392744,0.136212826,true,[object Object],
12-04-2015,0,0,0,0,0,0,24.1298351,0,24.1217461,0,24.137846,0,24.2327976,0,24.16405,0,24.4443359,0,25.1817951,0,26.0676174,0,30.93776,-0.198352814,-0.220713511,0,0,0,0,0,0,0,0,0,5,5.11652136,5,5.03124237,5.571429,5.17514372,5.266667,5.203828,5.4,5.20898438,5.0666666,5.144588,5.116667,5.11263466,5.0666666,5.11392975,1e-7,24.10805,0.0548920631,0.132635653,true,[object Object],
11-04-2015,0,0,0,0,0,0,24.1298351,0,24.1217461,0,24.137846,0,24.2327976,0,24.16405,0,24.4443359,0,25.1817951,0,26.0676174,0,30.93776,-0.198352814,-0.228409871,0,0,0,0,0,0,0,0,0,5,5.17478228,5,5.06248474,5.571429,5.233525,5.266667,5.2329464,5.4,5.25542545,5.0666666,5.15455961,5.116667,5.11645269,5.0666666,5.11649,1e-7,32.1440659,0.08085203,0.126140654,true,[object Object],
10-04-2015,24.1,24.22,23.95,24.14,462700,24.1959953,24.1298351,24.073328,24.1217461,24.1714287,24.137846,24.1333256,24.2327976,24.0989933,24.16405,24.534008,24.4443359,24.41499,25.1817951,25.4137745,26.0676174,44.9612,30.93776,-0.198352814,-0.236106232,0,0,0,0,0,0,0,0,0,5.8,5.262173,5,5.12496948,5.571429,5.31136656,5.2,5.26622438,5.4,5.31218672,5.0666666,5.165219,5.116667,5.12040043,5.0666666,5.11910772,20,42.858757,0.112810612,0.116015911,false,[object Object],
09-04-2015,23.99,24.11,23.78,24.05,492500,24.2099953,24.124754,24.1266632,24.1034927,24.1142864,24.1371288,24.1719913,24.2460537,24.0679932,24.1693935,24.5793419,24.4653244,24.4083233,25.21711,25.471777,26.1109352,29.6969624,26.263279,-0.209184647,-0.2461088,0,0,0,0,0,0,0,0,0,5.8,5.39326,5,5.249939,5.571429,5.41515541,5.2,5.30425644,5.4,5.38156176,5.0666666,5.17661333,5.116667,5.12448168,5.0666666,5.121784,20,50.47834,0.151960373,0.101405516,false,[object Object],
