date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,50.6009636,0,48.4813042,0,52.2606049,0,56.3430862,0,54.16374,0,59.41211,0,59.9053,0,57.3528633,0,4.65496063,-3.74954987,-2.30979037,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999995,5,4.998238,5,4.999862,5,4.98200226,4.9,4.958241,4.9333334,4.95423,100,99.9939,0.0124940872,0.0169608854,true,[object Object],
01-05-2015,46.8,49.18,44.81,46.4,17000,51.4239922,50.6009636,48.63669,48.4813042,53.381443,52.2606049,57.96332,56.3430862,55.4909668,54.16374,61.33898,59.41211,63.40999,59.9053,60.137455,57.3528633,7.855731,4.65496063,-3.74954987,-2.02043962,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999994,5,4.99798632,5,4.99983168,5,4.980761,4.9,4.95682526,4.9333334,4.95320129,100,99.99187,0.0134425163,0.0182090327,true,[object Object],
30-04-2015,53.41,53.8,46.6,46.6,14500,53.73399,52.7014427,51.4100227,50.5626068,55.14573,54.214138,59.17199,57.7635269,56.9339676,55.88901,61.7943153,60.3094978,63.65549,60.3631058,60.141346,57.5989952,1e-7,3.58803678,-3.158146,-1.7045356,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999992,5,4.997699,5,4.999794,5,4.979434,4.9,4.955362,4.9333334,4.95215,100,99.98915,0.0144577026,0.01953729,true,[object Object],
29-04-2015,54.5,54.94,52.91,52.91,7900,56.13399,55.7521667,54.70669,54.5252151,57.2014427,56.7521858,60.47599,59.3583145,58.3789673,57.9532356,62.26865,61.254982,63.87765,60.82965,60.1377869,57.8461647,1e-7,4.784049,-2.37772369,-1.4206835,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999989,5,4.99737024,5,4.999748,5,4.978016,4.9,4.953849,4.9333334,4.9510746,100,99.9855347,0.0155434608,0.0209484622,true,[object Object],
28-04-2015,57.32,57.32,54.72,54.72,11900,57.30199,57.17325,56.38669,56.1404266,58.4285851,58.0329132,61.38799,60.2795029,59.46697,59.0739555,62.5263138,61.8304977,63.97682,61.098114,60.07445,57.95709,1e-7,6.378732,-1.98950958,-1.20494974,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999985,5,4.9969945,5,4.99969244,5,4.97649956,4.9,4.95228434,4.9333334,4.949975,100,99.98071,0.0167031288,0.0224449374,true,[object Object],
27-04-2015,57.81,58.8,56.49,56.49,8000,58.55599,58.39987,57.68002,57.5608521,59.301445,59.13722,62.14399,61.07372,60.4289665,60.0415,62.7056465,62.3208771,64.03216,61.31432,59.91912,58.02983,1e-7,8.504976,-1.64935684,-1.01368082,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.99998045,5,4.99656534,5,4.99962425,5,4.974879,4.9,4.950667,4.9333334,4.94885063,100,99.97429,0.0179400444,0.0240285136,true,[object Object],
26-04-2015,0,0,0,0,0,0,59.354805,0,58.6317062,0,60.0196228,0,61.7285347,0,60.8307228,0,62.7230072,0,61.4778557,0,58.0644341,0,11.3399677,-1.37142563,-0.8602066,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999974,5,4.99607468,5,4.999541,5,4.97314644,4.9,4.94899464,4.9333334,4.947701,100,99.96571,0.0192580223,0.02570025,true,[object Object],
25-04-2015,0,0,0,0,0,0,59.354805,0,58.6317062,0,60.0196228,0,61.7285347,0,60.8307228,0,62.7230072,0,61.4778557,0,58.0644341,0,11.3399677,-1.37142563,-0.7376137,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999965,5,4.995514,5,4.999439,5,4.9712944,4.9,4.94726563,4.9333334,4.94652557,100,99.9542847,0.0206599236,0.02746015,true,[object Object],
24-04-2015,58.63,59.04,57.5,57.95,9100,59.55799,59.354805,58.43335,58.6317062,59.9528732,60.0196228,62.75399,61.7285347,61.2329636,60.8307228,62.8226471,62.7230072,64.07399,61.4778557,59.7231178,58.0644341,3.634902,11.3399677,-1.37142563,-0.5831782,0,0,0,0,0,0,0,0,0,5,4.999999,5,5,5,4.99995375,5,4.994873,5,4.99931431,5,4.96931458,4.9,4.945478,4.9333334,4.945324,100,99.93904,0.022149086,0.0293069948,true,[object Object],
23-04-2015,59,59.55,58.6,58.6,6500,60.13399,60.05721,59.4466858,59.3134155,60.78716,60.7094955,63.5573235,62.2683258,61.89097,61.4708824,63.03865,63.05218,64.08149,61.5974426,59.52034,58.0670052,1e-7,13.9083233,-1.14539337,-0.390618652,0,0,0,0,0,0,0,0,0,5,4.99999857,5,5,5,4.99993849,5,4.99414063,5,4.99916172,5,4.96719837,4.9,4.94362974,4.9333334,4.944095,100,99.9187241,0.023727417,0.03123792,true,[object Object],
22-04-2015,60.75,61.8,58.7,58.75,5600,60.6239929,60.7858124,60.4133568,60.0268326,61.6071548,61.4126625,64.2486649,62.7923737,62.6469727,62.1088562,63.221653,63.35923,64.07766,61.69905,59.3258934,58.055027,0.442471176,18.5444317,-0.906414032,-0.206096649,0,0,0,0,0,0,0,0,0,5,4.99999762,5,5,5,4.999918,5,4.9933033,5,4.99897528,5,4.96493626,4.9,4.941719,4.9333334,4.94283867,100,99.89163,0.0253968239,0.0332481079,true,[object Object],
21-04-2015,59.75,61.39,59.75,60.99,1800,61.6319962,61.80372,61.10669,61.3036652,62.43287,62.3002167,64.81266,63.3698578,63.4309769,62.8552666,63.40065,63.67711,64.06349,61.79902,59.1411171,58.03941,12.0975771,24.5784187,-0.6034775,-0.03338538,0,0,0,0,0,0,0,0,0,5,4.999996,5,5,5,4.99989033,5,4.992347,5,4.998748,5,4.962518,4.9,4.93974352,4.9333334,4.941554,100,99.8555145,0.02715826,0.03533019,false,[object Object],
20-04-2015,61.78,61.98,60.18,61.5,8800,62.3019943,62.2105751,61.12669,61.6173248,62.9385872,62.7369537,65.212,63.70984,63.9379768,63.2697678,63.5963173,63.8624268,63.9976578,61.8264427,58.9518929,57.9731026,13.4419527,28.7387,-0.43611908,0.121286184,0,0,0,0,0,0,0,0,0,5,4.99999428,5,5,5,4.99985361,5,4.99125338,5,4.99846935,5,4.95993328,4.9,4.93770075,4.9333334,4.940241,100,99.80736,0.0290117264,0.0374737829,true,[object Object],
19-04-2015,0,0,0,0,0,0,62.56586,0,61.7346458,0,63.14927,0,64.02553,0,63.66305,0,64.02535,0,61.83751,0,57.8938446,0,33.837616,-0.2680893,0.257362366,0,0,0,0,0,0,0,0,0,5,4.99999142,5,5,5,4.999805,5,4.990004,5,4.99812937,4.866667,4.95717,4.9,4.935589,4.9333334,4.938898,100,99.74315,0.0309553146,0.0396646932,true,[object Object],
18-04-2015,0,0,0,0,0,0,62.56586,0,61.7346458,0,63.14927,0,64.02553,0,63.66305,0,64.02535,0,61.83751,0,57.8938446,0,33.837616,-0.2680893,0.374768585,0,0,0,0,0,0,0,0,0,5,4.999987,5,5,5,4.99974,5,4.988576,5,4.99771357,4.866667,4.954216,4.9,4.9334054,4.9333334,4.937525,100,99.65753,0.0329856873,0.0418841578,true,[object Object],
17-04-2015,60.73,62.29,60.19,60.83,7400,62.9079971,62.56586,61.8900261,61.7346458,63.6043,63.14927,65.41733,64.02553,64.3519745,63.66305,63.76765,64.02535,63.9496574,61.83751,58.7518921,57.8938446,6.523987,33.837616,-0.2680893,0.5108363,0,0,0,0,0,0,0,0,0,5,4.999981,5,5,5,4.99965334,5,4.986944,5,4.99720573,4.9333334,4.95105839,4.9,4.931148,4.9333334,4.936121,100,99.54337,0.0350971222,0.04410781,false,[object Object],
16-04-2015,63.5,63.81,61.04,61.05,10500,63.64799,63.4337921,63.0600243,62.63929,64.4271545,63.92236,65.6246643,64.48203,65.2689743,64.29262,64.00632,64.24572,63.88149,61.8716621,58.555,57.82786,0.111588418,42.9421577,0.0184936523,0.650737345,0,0,0,0,0,0,0,0,0,5,4.99997139,5,5,5,4.999538,5,4.985079,5,4.996585,4.9333334,4.94768333,4.9,4.928814,4.9333334,4.93468571,100,99.39117,0.0372815132,0.04630444,true,[object Object],
15-04-2015,64.21,64.54,63.3,63.79,3600,64.67,64.62569,64.2200241,64.2285843,65.14287,64.8798141,65.66067,64.97232,66.0609741,65.0132,64.220314,64.46612,63.81799,61.8995132,58.3632278,57.755455,35.177475,57.2190132,0.3616104,0.757221639,0,0,0,0,0,0,0,0,0,5,4.999957,5,5,5,4.999384,5,4.98294735,5,4.99582624,4.9333334,4.944075,4.9,4.92640066,4.9333334,4.933218,100,99.1882248,0.0395274162,0.04843463,true,[object Object],
14-04-2015,64.39,64.56,62.98,64.34,14600,65.2299957,65.04353,64.46668,64.66717,65.40716,65.24309,65.468,65.14122,66.40298,65.28502,64.37665,64.51275,63.6964874,61.83543,58.14745,57.6198463,48.4516945,64.56619,0.515304565,0.827990234,0,0,0,0,0,0,0,0,0,5,4.99993563,5,5,5,4.99917841,5,4.980511,5,4.994899,4.9333334,4.94021845,4.9,4.923906,4.9333334,4.9317174,100,98.91763,0.0418190956,0.0504490547,true,[object Object],
13-04-2015,64,65.05,63.3,64.53,8900,65.57399,65.3953,65.07336,64.99434,66.21573,65.54411,65.12867,65.25568,66.66698,65.4950256,64.51732,64.5246658,63.5348167,61.75053,57.9210052,57.46883,62.1976433,69.93769,0.647987366,0.8878937,0,0,0,0,0,0,0,0,0,5,4.999903,5,5,5,4.99890471,5,4.977727,5,4.99376535,4.9333334,4.93609571,4.9,4.921326,4.9333334,4.930183,100,98.55684,0.04413557,0.05228636,false,[object Object],
