date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,2.30488372,0,2.29518962,0,2.32497549,0,2.42042255,0,2.36169887,0,2.54528022,0,2.65387726,0,2.66099715,0,9.353487,-0.132569075,-0.126885727,0,0,0,0,0,0,0,0,0,5.8,5.572254,6,5.461067,5.857143,5.519706,4.5333333,5.23515034,5.2,5.394825,4.766667,5.05846262,5.016667,5.10016346,5.3,5.19281435,44.4444466,50.21895,0.2432375,0.0197201036,true,[object Object],
01-05-2015,2.26,2.31,2.25,2.31,11652500,2.30000162,2.30488372,2.283333,2.29518962,2.30428648,2.32497549,2.45666623,2.42042255,2.32500029,2.36169887,2.58766556,2.54528022,2.79466558,2.65387726,2.73211074,2.66099715,8.695643,9.353487,-0.132569075,-0.124187946,0,0,0,0,0,0,0,0,0,6.2,5.85838127,6.33333349,5.9221344,5.857143,5.69294071,4.33333349,5.26874352,5.4,5.482564,4.633333,5.06249475,5.0666666,5.103559,5.3,5.19714737,44.4444466,52.1437836,0.29545784,-0.01933111,false,[object Object],
30-04-2015,2.28,2.31,2.26,2.26,11426300,2.29800153,2.30232573,2.283333,2.2803793,2.30000067,2.32996726,2.4866662,2.43619728,2.35200024,2.37318754,2.60199881,2.56150651,2.80366564,2.665534,2.73499966,2.66888475,1.449274,9.572768,-0.135420322,-0.120081425,8,10,6,0,4,8,8,8,8,6.2,6.287572,6.33333349,6.844269,5.285714,5.92392063,4.6,5.30713558,5.3,5.58980036,4.66666651,5.066805,5.0666666,5.10706949,5.3,5.20157766,77.77778,54.71023,0.3578124,-0.06889346,false,[object Object],
29-04-2015,2.3,2.33,2.27,2.28,11864800,2.31200147,2.32348871,2.3099997,2.30075884,2.31285787,2.3532896,2.517333,2.46136832,2.413,2.39834023,2.61833215,2.58230019,2.811999,2.679281,2.73822212,2.67807317,4.34782171,12.2806,-0.131999254,-0.1131399,6,10,1,0,2,6,6,6,6,5.6,5.431358,6,5.688537,4.857143,5.231894,4.6,4.92244053,4.8,5.05420065,4.7,4.864516,5.016667,5.009004,5.3,5.138692,55.5555573,47.02105,0.126740456,-0.1537772,false,[object Object],
28-04-2015,2.36,2.37,2.31,2.31,11425800,2.31200147,2.345233,2.31666636,2.32151747,2.3428576,2.3777194,2.54599977,2.487278,2.45500016,2.424638,2.63466549,2.60314846,2.818499,2.692816,2.74122214,2.68701863,8.695643,14.924859,-0.127748966,-0.104038343,0,0,0,0,0,0,0,0,0,4.6,5.147037,5.66666651,5.37707424,5,4.97585869,4.866667,4.768503,4.3,4.844023,4.633333,4.78620672,5,4.975411,5.288889,5.11933661,44.4444466,44.1762123,0.033601284,-0.214630425,true,[object Object],
27-04-2015,2.3,2.36,2.29,2.34,13470300,2.3200016,2.36284947,2.323333,2.333035,2.3814292,2.4002924,2.57199955,2.51260328,2.49100018,2.450113,2.64966559,2.62336564,2.82283258,2.705793,2.74333334,2.695491,13.0434647,17.0012646,-0.123520613,-0.09366981,7,10,3,0,4,7,7,7,7,4.6,5.220556,5.66666651,5.754149,4.857143,4.96781158,5,4.735432,3.9,4.80936146,4.5,4.77146244,5,4.97457743,5.322222,5.12201834,66.66667,44.0868,0.0160512924,-0.255239934,true,[object Object],
26-04-2015,0,0,0,0,0,0,2.37427425,0,2.32607031,0,2.42039,0,2.537261,0,2.47458267,0,2.642908,0,2.71819258,0,2.70347953,0,18.3205318,-0.119381428,-0.0837710947,0,0,0,0,0,0,0,0,0,4.6,4.33083344,3.66666675,4.508298,4.285714,4.290416,4.866667,4.41192245,3.4,4.32255268,4.4333334,4.61777,4.983333,4.905919,5.27777767,5.07981634,44.4444466,36.5601768,-0.21021843,-0.258107275,true,[object Object],
25-04-2015,0,0,0,0,0,0,2.37427425,0,2.32607031,0,2.42039,0,2.537261,0,2.47458267,0,2.642908,0,2.71819258,0,2.70347953,0,18.3205318,-0.119381428,-0.07433229,0,0,0,0,0,0,0,0,0,4.4,3.99625039,3.66666675,4.01659632,3.71428561,4.053888,4.866667,4.32791138,3.8,4.172009,4.4666667,4.59140968,5.0666666,4.90273,5.266667,5.08160973,44.4444466,33.9320869,-0.29232645,-0.190133914,true,[object Object],
24-04-2015,2.36,2.38,2.3,2.3,14988800,2.35000157,2.37427425,2.303333,2.32607031,2.45714355,2.42039,2.59599972,2.537261,2.53500032,2.47458267,2.66333246,2.642908,2.8273325,2.71819258,2.74477768,2.70347953,7.24636936,18.3205318,-0.119381428,-0.06363615,1,1,1,0,3,1,1,1,1,4,3.49437547,4.33333349,3.03319263,3.142857,3.73851728,4.866667,4.231899,4.1,3.988011,4.4,4.563231,5.08333349,4.89943266,5.266667,5.08344364,1e-7,30.427969,-0.392874718,-0.06667023,true,[object Object],
23-04-2015,2.28,2.36,2.26,2.33,15121800,2.40600157,2.41141129,2.31999969,2.35214043,2.51428628,2.46051979,2.6219995,2.57115531,2.58100033,2.51337886,2.67866564,2.66655684,2.83283257,2.73236871,2.74722219,2.71254659,11.5941916,22.011919,-0.108289,-0.0545785949,0,0,0,0,0,0,0,0,0,4,4.74156332,5.33333349,5.06638527,3.28571439,4.651356,5.133333,4.69359875,5,4.6520133,4.5,4.808971,5.16666651,5.03161669,5.322222,5.17520666,44.4444466,40.5706253,-0.108223438,0.0466316268,false,[object Object],
