date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,63.53438,0,63.3293648,0,63.66737,0,63.8680077,0,63.7886925,0,63.6885529,0,62.9364166,0,62.1658325,0,44.49198,0.06424713,0.234855652,0,0,0,0,0,0,0,0,0,6,5.604489,5,5.27545547,6.142857,5.80202246,6.133333,6.041863,6.3,5.95386553,5.9666667,6.04246855,5.9,5.96123552,5.9666667,5.89058065,16.6666679,30.29364,-0.047753334,0.162445128,true,[object Object],
01-05-2015,63.42,63.67,62.8,63.11,2377600,63.6900024,63.53438,63.33667,63.3293648,63.8300171,63.66737,64.0866852,63.8680077,63.9190254,63.7886925,63.981987,63.6885529,63.03801,62.9364166,61.81244,62.1658325,32.77032,44.49198,0.06424713,0.26740095,0,0,0,0,0,0,0,0,0,6.6,5.906733,5.66666651,5.55091143,6.285714,6.069363,6.33333349,6.19070053,6.3,6.165836,5.9666667,6.11436272,5.9,5.99381971,5.9666667,5.91059351,16.6666679,34.8359642,0.0506687164,0.194884241,true,[object Object],
30-04-2015,63.64,64.09,62.99,63.04,3248300,63.906,63.7465744,63.7733345,63.54873,63.96716,63.85316,64.18069,63.9762955,64.00603,63.9395142,63.98132,63.7284546,62.9975052,62.93053,61.791,62.1446152,30.405468,48.3992043,0.143199921,0.303012431,0,0,0,0,0,0,0,0,0,6.6,6.36009932,6.66666651,6.101823,6.428571,6.42581749,6.4666667,6.36080074,6.7,6.42491055,5.9666667,6.19121552,5.9,6.02750874,5.9666667,5.9310565,16.6666679,40.892395,0.175554276,0.199514329,true,[object Object],
29-04-2015,63.09,64.21,62.14,63.86,3875200,64.1319962,64.09986,64.1,64.05746,64.0843,64.1242142,64.28002,64.110054,64.1500244,64.1394043,64.00065,63.7759323,62.931675,62.92682,61.7607765,62.1244926,58.10817,54.3971176,0.249015808,0.334273875,7,10,4,1,4,7,7,7,7,6.8,7.04014874,7.66666651,7.203646,6.857143,6.90108967,6.5333333,6.555201,6.7,6.741557,5.9666667,6.27336836,5.9,6.06233931,5.9333334,5.951979,50,48.9676361,0.332399845,0.202521965,true,[object Object],
28-04-2015,63.89,64.54,63.64,64.42,1523900,64.173996,64.2197952,64.21,64.25491,64.16859,64.21229,64.30535,64.1457748,64.23602,64.20149,63.9679832,63.770134,62.8368378,62.8951874,61.7075539,62.08549,59.2813721,53.1601028,0.296966553,0.3611128,8,8,8,0,1,8,8,8,8,6.6,7.060223,7,7.40729237,6.571429,6.86811924,6.4,6.491658,6.5,6.68412542,5.9,6.22325563,5.866667,6.03055429,5.911111,5.928428,66.66667,48.6235161,0.324120522,0.15816249,true,[object Object],
27-04-2015,64.32,64.52,63.94,64.02,1455700,64.0620041,64.1197,64.12667,64.08983,64.1057358,64.14305,64.26335,64.1066,64.25002,64.15293,63.9193153,63.7253151,62.7145042,62.8435,61.63411,62.03303,35.32916,51.11968,0.296829224,0.38451767,8,10,4,0,2,8,8,8,8,6.6,6.59033442,6.33333349,6.81458473,6.714286,6.49082565,6.2,6.27618074,6.2,6.391709,5.8,6.10072136,5.8166666,5.96379328,5.87777758,5.881876,66.66667,42.60913,0.20702076,0.121869408,false,[object Object],
26-04-2015,0,0,0,0,0,0,64.16955,0,64.15965,0,64.1840744,0,64.11897,0,64.18247,0,63.70499,0,62.8036156,0,61.98838,0,56.3831863,0.333065033,0.4079378,0,0,0,0,0,0,0,0,0,6,5.88550138,5.66666651,5.62916946,6.285714,5.987767,6,6.029921,6.2,6.034311,5.866667,5.96973658,5.766667,5.894769,5.84444427,5.83427763,20,34.58995,0.0545477867,0.107713014,true,[object Object],
25-04-2015,0,0,0,0,0,0,64.16955,0,64.15965,0,64.1840744,0,64.11897,0,64.18247,0,63.70499,0,62.8036156,0,61.98838,0,56.3831863,0.333065033,0.427331716,6,7,5,5,2,6,6,6,6,6.8,6.32825232,6.66666651,6.258339,6.285714,6.317023,6,6.1770525,6.4,6.264158,5.866667,6.036615,5.766667,5.92510033,5.822222,5.85302544,40,39.4532661,0.164597988,0.122016959,false,[object Object],
24-04-2015,64.28,64.41,63.93,64.19,1431600,64.148,64.16955,64.14333,64.15965,64.1714554,64.1840744,64.26002,64.11897,64.28502,64.18247,63.8563156,63.70499,62.6083374,62.8036156,61.5619965,61.98838,54.5002,56.3831863,0.333065033,0.453639984,6,7,4,10,13,6,6,6,6,6.6,6.49237871,6.33333349,6.516678,6.142857,6.422697,5.9333334,6.202346,6.4,6.32286,5.83333349,6.03914,5.75,5.922561,5.866667,5.849723,40,39.2710228,0.200849533,0.104559846,false,[object Object],
23-04-2015,63.84,64.42,63.73,64.17,1261200,64.106,64.15932,64.03333,64.12931,64.24717,64.1821,64.21935,64.1088257,64.31802,64.1808,63.804985,63.6715431,62.4945068,62.75662,61.4963264,61.9389076,53.4999847,57.01085,0.357154846,0.482195526,8,8,8,5,1,8,8,8,8,6.4,6.73856831,7.33333349,7.03335571,6.428571,6.56359625,6.133333,6.231252,6.3,6.39460659,5.9666667,6.0418396,5.8,5.919936,5.85555553,5.846346,75,39.02803,0.2441988,0.06944418,true,[object Object],
22-04-2015,64.05,64.16,63.46,64.07,1245400,64.1680145,64.15398,64.12667,64.08862,64.30288,64.18613,64.17935,64.10008,64.35402,64.1832047,63.71565,63.6371651,62.4001732,62.7087059,61.4452133,61.88877,48.50006,58.1811371,0.384750366,0.5072746,0,0,0,0,0,0,0,0,0,5.8,6.10785246,6.33333349,6.06671143,6.285714,6.084795,6.0666666,5.978574,6,6.037853,6.0333333,5.906794,5.75,5.84942532,5.84444427,5.79794931,1e-7,27.0373764,0.0923395157,0.0236136653,false,[object Object],
21-04-2015,64.62,64.81,63.43,63.86,1405300,64.29801,64.19597,64.0966644,64.107254,64.34574,64.22483,64.175354,64.10438,64.37102,64.20836,63.6149864,63.6073151,62.3160057,62.66256,61.3937721,61.839756,38.0001068,61.40816,0.424552917,0.5291341,9,9,9,2,1,9,9,9,9,6.4,6.66177845,6.33333349,7.133423,6.428571,6.446393,6.0666666,6.11837,6,6.2684865,6.16666651,5.96933174,5.75,5.8782196,5.84444427,5.815881,100,36.0498352,0.20262289,-0.00128687755,false,[object Object],
20-04-2015,64.33,64.69,64.25,64.45,930700,64.43801,64.36395,64.30334,64.3545,64.44002,64.34644,64.19802,64.13929,64.36402,64.2857742,63.56299,63.58989,62.2305069,62.6219673,61.3485527,61.7943573,67.49992,69.2108459,0.490566254,0.547585368,0,0,0,0,0,0,0,0,0,6,5.49266768,5,5.266846,5.857143,5.595191,5.8,5.70670843,5.6,5.66148329,6.0333333,5.76032,5.6833334,5.77239656,5.8,5.74432755,1e-7,14.7331152,-0.0668354,-0.0330502726,false,[object Object],
19-04-2015,0,0,0,0,0,0,64.32093,0,64.259,0,64.31193,0,64.0949,0,64.24928,0,63.53057,0,62.56,0,61.73468,0,69.78115,0.5076103,0.5587018,0,0,0,0,0,0,0,0,0,6.2,5.73900175,6,5.53369236,5.857143,5.793588,5.8,5.807667,5.6,5.80848,6.0333333,5.812756,5.766667,5.79857969,5.8,5.761054,1e-7,19.6441536,-0.00251722336,-0.0278585758,true,[object Object],
18-04-2015,0,0,0,0,0,0,64.32093,0,64.259,0,64.31193,0,64.0949,0,64.24928,0,63.53057,0,62.56,0,61.73468,0,69.78115,0.5076103,0.5679245,0,0,0,0,0,0,0,0,0,6.2,6.108503,6.66666651,6.06738424,5.857143,6.05811739,5.8,5.923048,6,5.988142,6.0333333,5.86880827,5.83333349,5.82565,5.8,5.77815628,1e-7,26.1922035,0.07961321,-0.0208268166,true,[object Object],
17-04-2015,64.17,64.26,63.6,63.98,1627600,64.42201,64.32093,64.39333,64.259,64.45145,64.31193,64.13802,64.0949,64.31602,64.24928,63.4866562,63.53057,62.14217,62.56,61.29888,61.73468,45.8937645,69.78115,0.5076103,0.5757904,8,9,7,5,2,8,8,8,8,6.2,6.66275454,7,7.13476849,5.857143,6.41082335,5.8,6.054912,6.2,6.20772934,6.0333333,5.928726,5.91666651,5.853638,5.822222,5.795643,75,34.92294,0.183283329,-0.0115488367,false,[object Object],
16-04-2015,64.68,64.81,64.35,64.48,1440900,64.53001,64.491394,64.58667,64.538,64.48859,64.42257,64.1060257,64.11131,64.27602,64.30913,63.4473267,63.4995766,62.0441742,62.5118675,61.2492142,61.6842232,71.29652,77.7436142,0.5698395,0.580876231,7,7,7,2,1,7,7,7,7,5.6,5.994132,6,6.269537,5.428571,5.881098,5.6,5.77704239,5.9,5.809447,5.8,5.78587961,5.866667,5.78088,5.788889,5.74610662,50,21.56392,0.007483959,-0.0447912738,false,[object Object],
15-04-2015,64.63,65.1,64.55,64.72,1282200,64.54,64.4970856,64.5499954,64.596,64.3900146,64.40343,64.0306854,64.05865,64.18502,64.27116,63.3763275,63.43196,61.93634,62.4451523,61.1931038,61.6213951,82.40753,79.89265,0.590065,0.5778855,6,6,6,2,1,6,6,6,6,5.2,5.491198,5.33333349,5.539074,5.714286,5.50813,5.4666667,5.602334,5.7,5.54487944,5.733333,5.702147,5.83333349,5.739554,5.766667,5.71792936,25,12.0852251,-0.11519146,-0.07525614,true,[object Object],
14-04-2015,64.41,64.86,64.26,64.56,1214600,64.444,64.38563,64.48333,64.472,64.2828751,64.2979,63.95602,63.9641647,64.11402,64.17142,63.2949944,63.343132,61.82734,62.36804,61.1373253,61.5517654,82.23324,79.05435,0.582866669,0.575378,0,0,0,0,0,0,0,0,0,5,5.236797,5,5.078148,5.857143,5.34417343,5.4,5.5455246,5.6,5.443742,5.7,5.68160534,5.883333,5.73072529,5.75555563,5.711591,1e-7,7.7803,-0.168275833,-0.0904194,false,[object Object],
13-04-2015,64.33,64.91,64.23,64.37,1709100,64.29,64.29845,64.47333,64.384,64.1428757,64.2105255,63.9093552,63.8790436,64.07802,64.08507,63.22866,63.25921,61.70734,62.2937355,61.08244,61.4841652,72.58885,77.99472,0.581485748,0.5742018,0,0,0,0,0,0,0,0,0,5.8,5.35519552,5,5.15629625,5.857143,5.45889759,5.4,5.623457,5.6,5.54235125,5.7,5.72861242,5.9666667,5.75549555,5.8,5.7275815,1e-7,10.3737335,-0.131765366,-0.0971449241,false,[object Object],
