date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,50.6842041,0,50.63185,0,50.6808929,0,50.52913,0,50.63755,0,50.3215675,0,50.6000443,0,51.2411079,0,56.7159424,0.254951477,0.2756903,0,0,0,0,0,0,0,0,0,6.6,6.12460375,6.66666651,5.84371758,6.428571,6.141284,5.66666651,5.9149127,6,6.05972672,5.5333333,5.66083431,5.33333349,5.45049143,5.22222233,5.35643959,37.5,55.38083,0.286915779,0.148525715,true,[object Object],
01-05-2015,50.44,50.68,49.9,50.56,761700,50.77001,50.6842041,50.7533379,50.63185,50.8342972,50.6808929,50.5500221,50.52913,50.66001,50.63755,50.16266,50.3215675,49.96901,50.6000443,51.7476654,51.2411079,46.988,56.7159424,0.254951477,0.267493367,0,0,0,0,0,0,0,0,0,7,6.68690538,7.66666651,6.687435,6.428571,6.5217123,5.4,6.04561472,6,6.29522133,5.5333333,5.706409,5.33333349,5.465762,5.22222233,5.3644495,44.4444466,61.3411064,0.411458969,0.107820354,false,[object Object],
30-04-2015,51.11,51.29,49.93,50.27,880100,50.9520149,50.7463074,50.8600044,50.7036972,50.7785835,50.72119,50.5606842,50.52472,50.5740128,50.6547852,50.1233253,50.3051224,50.0683441,50.6014023,51.7657776,51.2564125,35.3413849,59.9585876,0.27911377,0.257552683,10,10,10,0,1,10,10,10,10,7,7.530358,7.66666651,8.37487,6.428571,7.02894974,5.4,6.19498825,6,6.58304834,5.5333333,5.755127,5.33333349,5.48155069,5.22222233,5.372639,100,66.97333,0.5644369,0.0542972349,false,[object Object],
29-04-2015,50.55,51.88,50.5,51.43,1246400,51.0020142,50.9844627,51.00667,51.1373978,50.7471542,50.8715858,50.5500145,50.5611076,50.5750122,50.74029,50.10932,50.3075447,50.1836739,50.6126366,51.7877769,51.27858,81.9277,68.16432,0.3354149,0.246393844,8,10,5,1,2,8,8,8,8,6,6.29553652,6.66666651,6.7497406,5.714286,6.0386,5.4,5.65141535,5.5,5.8237257,5.366667,5.462377,5.25,5.328383,5.16666651,5.26865339,77.77778,55.96444,0.242390633,-0.0148075419,true,[object Object],
28-04-2015,50.51,50.88,49.83,50.88,667600,50.7500153,50.761692,51.0200043,50.8447952,50.6200142,50.6854477,50.458683,50.43698,50.5260124,50.5870247,50.0046539,50.2301331,50.27751,50.58493,51.7858849,51.275177,61.825798,63.57653,0.284294128,0.231920034,5,8,2,7,10,5,5,5,5,5.4,5.44330454,5.66666651,5.499481,5.285714,5.3848,5.5333333,5.315903,5.2,5.34010935,5.266667,5.287369,5.2,5.23781967,5.133333,5.207275,44.4444466,48.69333,0.03145361,-0.04622931,false,[object Object],
27-04-2015,51.5,51.57,50.28,50.71,692200,50.5840149,50.7025375,50.9000053,50.8095856,50.4514427,50.6205978,50.4046822,50.37369,50.50201,50.52192,49.9146576,50.1853142,50.36918,50.57493,51.7807732,51.2840576,54.7717743,64.16011,0.270908356,0.2210049,7,9,5,10,12,7,7,7,7,5.4,5.66495657,5.66666651,5.9989624,5.285714,5.513067,5.5333333,5.361032,5.2,5.415689,5.266667,5.307187,5.2,5.24588156,5.133333,5.21193266,66.66667,50.109623,0.0672183,-0.0517231077,false,[object Object],
26-04-2015,0,0,0,0,0,0,50.6988068,0,50.9091721,0,50.5907974,0,50.32565,0,50.48012,0,50.149128,0,50.57035,0,51.29696,0,67.28956,0.267192841,0.2115771,5,5,5,1,1,5,5,5,5,5,4.99743462,5,4.997925,5,5.017422,5.4,5.12689352,4.6,5.06361961,5.2,5.190441,5.16666651,5.18642,5.111111,5.1717515,44.4444466,44.5906067,-0.09174681,-0.05798287,true,[object Object],
25-04-2015,0,0,0,0,0,0,50.6988068,0,50.9091721,0,50.5907974,0,50.32565,0,50.48012,0,50.149128,0,50.57035,0,51.29696,0,67.28956,0.267192841,0.202562124,0,0,0,0,0,0,0,0,0,5,4.996152,5,4.99584961,5,5.0232296,5.4,5.145021,4.6,5.07775736,5.2,5.203575,5.16666651,5.19273949,5.111111,5.175611,44.4444466,44.639328,-0.08967352,-0.0425029844,true,[object Object],
24-04-2015,50.6,51.8,50.53,51.47,926200,50.5500145,50.6988068,50.720005,50.9091721,50.3900146,50.5907974,50.4080162,50.32565,50.44001,50.48012,49.8033257,50.149128,50.4743462,50.57035,51.7801056,51.29696,86.30714,67.28956,0.267192841,0.200041458,0,0,0,0,0,0,0,0,0,5,4.994228,5,4.991699,5,5.03097248,5.4,5.165738,5.1,5.095037,5.266667,5.21761465,5.16666651,5.199273,5.111111,5.17955732,44.4444466,44.70429,-0.08572245,0.0231257547,false,[object Object],
23-04-2015,50.25,50.62,50.09,50.52,563100,50.1960144,50.31321,50.2466736,50.3483429,50.3143,50.29773,50.3220177,50.16217,50.3650131,50.2601471,49.68766,50.058033,50.5573463,50.539856,51.7768822,51.29307,62.7778664,60.9503632,0.181179047,0.198853388,0,0,0,0,0,0,0,0,0,5,4.991342,5,4.98339844,4.428571,5.04129648,5.4,5.189415,5.6,5.11615658,5.33333349,5.23262262,5.16666651,5.206028,5.111111,5.18359232,44.4444466,44.7909,-0.07943249,0.10655541,false,[object Object],
