date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,148.15062,0,147.126633,0,148.799316,0,150.007874,0,149.408356,0,150.793945,0,150.333649,0,148.366867,0,41.6992874,-0.991912842,-0.495693624,0,0,0,0,0,0,0,0,0,4.8,4.858898,4,4.728554,5.142857,5.05099249,5.9333334,5.507477,5.7,5.28192759,5.7,5.75392246,5.983333,5.936035,6.133333,6.031698,44.4444466,35.7582932,-0.3213477,-0.002623717,true,[object Object],
01-05-2015,143.75,147.9,143.51,146.6,1671300,149.18396,148.15062,147.299942,147.126633,149.5114,148.799316,150.504074,150.007874,150.13504,149.408356,151.111069,150.793945,152.423386,150.333649,149.698166,148.366867,37.13556,41.6992874,-0.991912842,-0.416446269,0,0,0,0,0,0,0,0,0,5.2,4.78834724,4,4.45710754,5.285714,5.06799,5.9333334,5.5799737,5.7,5.34457827,5.866667,5.80591726,6.0666666,5.96776533,6.133333,6.05488253,44.4444466,32.86291,-0.307217121,0.0799276,false,[object Object],
30-04-2015,153.35,153.35,142.27,143.43,4783300,149.875961,148.925919,149.419937,147.653259,150.207123,149.53241,150.858719,150.4947,150.460037,150.03244,151.299072,151.083176,152.45372,150.4602,149.703064,148.40657,9.948453,43.2205276,-0.756835938,-0.331144542,2,5,1,10,9,2,2,2,2,5.2,4.682521,4.66666651,3.91421533,5.285714,5.090653,6.266667,5.662827,6,5.421151,6.0333333,5.861498,6.15,6.000571,6.177778,6.07858753,11.1111116,29.0023975,-0.2847128,0.1275649,true,[object Object],
29-04-2015,151.82,152.99,151.37,151.87,1388600,151.309967,151.673889,151.963272,151.876541,151.4214,151.566559,151.4334,151.503952,151.276031,151.499649,151.674072,151.610977,152.536728,150.698517,149.7144,148.5184,61.13203,54.31122,-0.123031616,-0.273713857,5,5,5,1,1,5,5,5,5,6,6.0237813,6.33333349,5.82843065,6.428571,6.12087059,6.4666667,6.186088,6.3,6.181407,6,6.127808,6.2,6.13618326,6.211111,6.17024136,16.6666679,34.96616,0.053606987,0.186511934,false,[object Object],
28-04-2015,150.85,153.58,149.81,152.96,2477100,151.22995,151.575836,151.35994,151.883087,151.349976,151.465408,151.373383,151.45166,151.324036,151.417358,151.699738,151.593109,152.466888,150.6588,149.59317,148.443085,81.69833,52.0376167,-0.171600342,-0.2937588,7,9,5,10,7,7,7,7,7,6,6.53567171,6.33333349,6.65686131,6.428571,6.49449444,6.4666667,6.35552931,6.7,6.443942,6,6.205588,6.2,6.174698,6.24444437,6.196539,50,41.06599,0.179192066,0.191158086,true,[object Object],
27-04-2015,149.95,152.18,148.69,151.06,2014700,151.023956,150.883743,150.573273,150.806168,150.905685,150.967209,151.254715,151.236176,151.212036,151.074539,151.688736,151.49884,152.3444,150.5808,149.413849,148.341583,45.8490257,42.15071,-0.342102051,-0.3105842,7,7,7,2,1,7,7,7,7,6.6,6.303508,6,6.31372261,6.571429,6.32599258,6.33333349,6.263462,6.5,6.32037354,5.9333334,6.1508007,6.16666651,6.14672136,6.233333,6.17848349,50,38.087986,0.133241653,0.194307745,true,[object Object],
26-04-2015,0,0,0,0,0,0,150.795609,0,150.552338,0,150.936279,0,151.261353,0,151.077774,0,151.5291,0,150.564545,0,148.2805,0,40.91794,-0.361282349,-0.308464885,0,0,0,0,0,0,0,0,0,6.2,5.95526171,5.33333349,5.627445,6.285714,6.101323,6.2,6.158242,6.3,6.16934538,5.866667,6.092235,6.2166667,6.117797,6.211111,6.16002226,16.6666679,34.1173134,0.07265425,0.17287524,true,[object Object],
25-04-2015,0,0,0,0,0,0,150.795609,0,150.552338,0,150.936279,0,151.261353,0,151.077774,0,151.5291,0,150.564545,0,148.2805,0,40.91794,-0.361282349,-0.304214478,6,6,6,4,1,6,6,6,6,6.8,6.43289232,7,6.254891,6.857143,6.468431,6.2,6.32370567,6.8,6.4291997,5.866667,6.16756153,6.2166667,6.15568829,6.266667,6.18609,33.3333359,39.9341965,0.1979022,0.165631235,false,[object Object],
24-04-2015,150.66,151.08,149.37,150.06,1071800,151.085953,150.795609,150.709946,150.552338,150.981415,150.936279,151.3234,151.261353,151.164032,151.077774,151.720062,151.5291,152.276581,150.564545,149.261185,148.2805,26.9810562,40.91794,-0.361282349,-0.285024017,0,0,0,0,0,0,0,0,0,6.6,6.64933825,6.66666651,6.509782,6.714286,6.62457466,6.133333,6.36994934,6.7,6.52457762,5.83333349,6.17911768,6.2,6.160966,6.25555563,6.190272,16.6666679,42.1344833,0.253067017,0.153976023,true,[object Object],
23-04-2015,151.22,151.49,150.03,150.6,618700,151.043945,151.163422,151.333267,151.044662,151.308548,151.228363,151.388718,151.432983,151.350037,151.30394,151.827728,151.630417,152.089417,150.58165,149.127853,148.240509,37.16992,45.5635643,-0.278686523,-0.2661438,10,10,10,4,2,10,10,10,10,7.4,7.474007,7.66666651,8.019564,6.714286,7.16609955,6.133333,6.56565666,6.7,6.863373,5.9666667,6.260436,6.2,6.20032072,6.25555563,6.21701956,100,50.6237526,0.42161417,0.09160752,false,[object Object],
