date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,20.46706,0,20.2833462,0,20.7019386,0,21.4960155,0,21.04638,0,21.9948311,0,21.688673,0,21.2955017,0,24.4216537,-0.6977825,-0.4293785,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000004,5,5.000001,5,5.000593,5,5.00718737,5.04444456,5.02688551,100,99.9999847,-0.0002770424,-0.000385602325,true,[object Object],
01-05-2015,20.21,20.59,20.02,20.3,5200,20.1640053,20.46706,20.2633324,20.2833462,20.7100029,20.7019386,21.7579975,21.4960155,21.1310024,21.04638,22.9509964,21.9948311,21.55116,21.688673,21.7118855,21.2955017,26.4116383,24.4216537,-0.6977825,-0.365008473,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00000429,5,5.000001,5,5.000634,5,5.007431,5.04444456,5.02748966,100,99.9999847,-0.000299453735,-0.0004166497,false,[object Object],
30-04-2015,20.7,20.7,20.04,20.04,3300,20.5700035,20.55059,20.16,20.2666931,20.8957176,20.8359184,21.9686642,21.6668758,21.3810024,21.21224,23.0786648,22.1117153,21.5179958,21.7357464,21.733551,21.317873,21.6757851,23.7583256,-0.6571045,-0.291792125,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000005,5,5.000001,5,5.000678,5,5.007683,5.04444456,5.028107,100,99.9999847,-0.00032377243,-0.000450187246,true,[object Object],
29-04-2015,20.03,20.78,19.85,20.45,4300,20.9260044,20.8058853,20.16,20.4933853,21.2100029,21.101223,22.2426643,21.8992863,21.6400032,21.4727383,23.17233,22.2545929,21.5289936,21.79323,21.8091068,21.34659,28.5714321,24.4525051,-0.569154739,-0.2092529,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00000525,5,5.000001,5,5.000725,5,5.007943,5.04444456,5.028739,100,99.9999847,-0.000349998474,-0.0004863739,false,[object Object],
28-04-2015,19.99,20,19.6,19.99,3800,21.156004,20.9838276,20.7866669,20.53677,21.50286,21.3182964,22.50933,22.1063271,21.8790016,21.7000122,23.24233,22.3790474,21.53816,21.8387623,21.8832188,21.3667374,20.35713,23.0795288,-0.490365982,-0.126196548,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000006,5,5.000001,5,5.000775,5,5.00821257,5.04444456,5.02938461,100,99.9999847,-0.000378131866,-0.0005254216,true,[object Object],
27-04-2015,22.24,22.24,18.85,20.04,18400,21.6060047,21.4807415,21.3966675,21.0835381,21.9042873,21.7610626,22.79933,22.408659,22.2050018,22.0800152,23.3746643,22.54381,21.5434952,21.901432,21.958662,21.3976746,21.2500076,23.9869957,-0.3358307,-0.0419913381,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000007,5,5.000001,5,5.00082827,5,5.008491,5.04444456,5.030045,100,99.9999847,-0.000408649445,-0.000567542156,true,[object Object],
26-04-2015,0,0,0,0,0,0,22.20111,0,22.1270752,0,22.3347511,0,22.7470379,0,22.5333519,0,22.716486,0,21.96453,0,21.4281845,0,24.8993263,-0.138795853,0.0250432752,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000008,5,5.000001,5,5.00088549,5,5.008779,5.04444456,5.03072,100,99.9999847,-0.0004415512,-0.0006129477,true,[object Object],
25-04-2015,0,0,0,0,0,0,22.20111,0,22.1270752,0,22.3347511,0,22.7470379,0,22.5333519,0,22.716486,0,21.96453,0,21.4281845,0,24.8993263,-0.138795853,0.07018513,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000009,5,5.000001,5,5.00094652,5,5.0090766,5.04444456,5.03141069,100,99.9999847,-0.000476837158,-0.000661902945,true,[object Object],
24-04-2015,21.82,22.33,21.07,22.33,2300,22.0980034,22.20111,21.916666,22.1270752,22.27429,22.3347511,23.0339966,22.7470379,22.555,22.5333519,23.4443321,22.716486,21.5419941,21.96453,22.03344,21.4281845,41.59779,24.8993263,-0.138795853,0.124140844,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00001049,5,5.000001,5,5.001012,5,5.009384,5.04444456,5.03211641,100,99.9999847,-0.000514984131,-0.0007147789,false,[object Object],
23-04-2015,21.6,22.2,21.6,21.82,2200,22.1920033,22.1366653,21.8866653,21.9241486,22.347147,22.3363342,23.16733,22.8066139,22.668,22.57854,23.4159966,22.74314,21.4981613,21.9521427,22.0426636,21.4079189,27.5482,19.3331718,-0.118452072,0.190709218,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000012,5,5.000001,5,5.00108147,5,5.009702,5.04444456,5.03283834,100,99.9999847,-0.000556468964,-0.0007718404,false,[object Object],
