date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,65.36688,0,65.18005,0,65.38985,0,65.1391754,0,65.29749,0,64.97359,0,64.3147659,0,62.9889221,0,56.36484,0.221961975,0.2448883,0,0,0,0,0,0,0,0,0,6,5.42335,5,5.177371,5.857143,5.56676769,5.866667,5.682936,5.9,5.657919,5.366667,5.69598961,5.91666651,5.80892658,6.088889,5.863077,37.5,45.9946861,-0.007308483,0.126376092,true,[object Object],
01-05-2015,64.48,65.86,64.19,65.3,795800,65.71397,65.36688,64.9,65.18005,66.1728439,65.38985,64.67998,65.1391754,65.58499,65.29749,64.85532,64.97359,64.9218445,64.3147659,64.27766,62.9889221,51.988678,56.36484,0.221961975,0.1981269,0,0,0,0,0,0,0,0,0,6.2,5.63502455,5,5.354742,5.857143,5.75569057,5.866667,5.7804985,6.2,5.804123,5.4333334,5.743989,5.9333334,5.836348,6.088889,5.882472,37.5,48.82625,0.0610775948,0.14356178,false,[object Object],
30-04-2015,64.91,65.65,63.84,64.06,1134400,66.31397,65.40032,65.29,65.06011,66.03141,65.4198,64.58931,65.1162,65.352,65.296936,64.95699,64.95107,64.9451752,64.2813644,64.17611,62.93699,34.37497,57.8235626,0.232131958,0.125737935,0,0,0,0,0,0,0,0,0,6.2,5.952537,6.66666651,5.709484,6,6.00758743,5.866667,5.89199829,6.2,5.9828167,5.4333334,5.79529858,6.016667,5.864699,6.0666666,5.90230274,37.5,52.60166,0.147474289,0.140782565,true,[object Object],
29-04-2015,66.15,66.52,63.97,65.34,1191000,66.76997,66.07049,66.4033356,66.06023,66.15569,65.87306,64.595314,65.26709,65.296,65.5718155,65.087326,65.01253,64.96384,64.28887,64.0903244,62.9117546,52.5567665,65.63976,0.3679886,0.0431679636,0,0,0,0,0,0,0,0,0,6.2,6.428806,7,6.41896772,6.285714,6.34344959,6,6.019427,6.3,6.20122051,5.5,5.850147,6.016667,5.89401054,6.1,5.92257929,37.5,57.63555,0.255602837,0.10124816,true,[object Object],
28-04-2015,67,67.19,65.58,66.47,816500,66.56397,66.43574,67.39001,66.7804642,65.8785553,66.05075,64.5599747,65.2566757,64.9640045,65.62333,65.20266,64.9899445,64.99684,64.25324,63.98688,62.85719,68.60797,70.00076,0.405715942,-0.07223765,10,10,10,1,1,10,10,10,10,6.4,7.1432085,7,7.83793545,6.714286,6.79126644,5.866667,6.165059,6.3,6.46815825,5.5,5.90877771,6.016667,5.924316,6.1,5.943311,100,64.3474045,0.3898964,0.0493151881,false,[object Object],
27-04-2015,68.22,68.68,67.15,67.4,1179800,66.25597,66.41861,67.34667,67.09093,65.3785553,65.9109955,64.312645,65.08334,64.57,65.43518,65.23933,64.88787,65.02017,64.1781,63.866993,62.776,81.8182,70.46503,0.33290863,-0.196085617,6,6,6,1,1,6,6,6,6,5.8,5.71481228,5.33333349,5.675871,6,5.72168827,5.5333333,5.61721039,5.8,5.68330431,5.33333349,5.62662458,5.9333334,5.786157,6.1,5.85214949,55.5555573,52.4632034,0.04654169,-0.0290006,false,[object Object],
26-04-2015,0,0,0,0,0,0,65.92791,0,66.7818451,0,65.41466,0,64.7523956,0,64.99856,0,64.71462,0,64.0688858,0,62.6720924,0,66.68063,0.1404419,-0.311843872,0,0,0,0,0,0,0,0,0,6.2,5.57221842,5.33333349,5.35174131,6,5.62891769,5.4666667,5.562526,5.7,5.61292744,5.4666667,5.60087442,5.9333334,5.77890825,6.14444447,5.848827,44.4444466,51.43242,0.0148921013,-0.07197258,true,[object Object],
25-04-2015,0,0,0,0,0,0,65.92791,0,66.7818451,0,65.41466,0,64.7523956,0,64.99856,0,64.71462,0,64.0688858,0,62.6720924,0,66.68063,0.1404419,-0.406216949,0,0,0,0,0,0,0,0,0,6.2,5.85832739,6,5.70348263,6,5.838557,5.266667,5.642887,5.7,5.74913359,5.5666666,5.642314,5.983333,5.80531168,6.1,5.867902,44.4444466,53.7617455,0.07609749,-0.114460468,true,[object Object],
24-04-2015,66.94,68.66,66.94,68.3,1530700,65.45597,65.92791,66.3166656,66.7818451,64.82141,65.41466,63.9793129,64.7523956,64.163,64.99856,65.21466,64.71462,65.0813446,64.0688858,63.75866,62.6720924,94.94382,66.68063,0.1404419,-0.500005066,6,10,2,5,3,6,6,6,6,6.4,6.287491,7,6.406965,6,6.118076,5,5.73472834,5.9,5.91560745,5.633333,5.68661165,6.0666666,5.83261061,6.1,5.8874054,55.5555573,56.86751,0.153110981,-0.167025626,true,[object Object],
23-04-2015,63.65,66.86,63.3,66.34,1997600,64.38997,64.74187,65.19333,65.2636948,63.924263,64.45288,63.63065,64.2456,63.727,64.26491,65.1749954,64.4673538,65.0880051,63.92546,63.6198845,62.5456238,90.22548,57.25957,-0.198890686,-0.5979046,7,10,5,8,5,7,7,7,7,6.2,6.43123627,6.66666651,6.81392956,5.857143,6.15743446,4.9333334,5.696832,5.6,5.89685345,5.6,5.66499853,6.133333,5.82693624,6.088889,5.8848753,66.66667,57.30483,0.147362709,-0.23168844,true,[object Object],
