date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,437.109833,0,435.389954,0,438.477875,0,441.96698,0,440.091949,0,444.1064,0,443.4909,0,441.158173,0,19.5367947,-2.85162354,-1.52137589,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000111,5,5.00000238,5,5.003866,5,5.016712,5.04444456,5.025289,100,99.99992,-0.00230646133,-0.00318818633,true,[object Object],
01-05-2015,434.01,439.88,430.33,435.03,5600,438.0961,437.109833,434.4133,435.389954,440.021484,438.477875,440.802582,441.96698,441.358948,440.091949,449.320984,444.1064,443.940033,443.4909,448.824127,441.158173,19.8648,19.5367947,-2.85162354,-1.27906966,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000127,5,5.000003,5,5.00413275,5,5.01727867,5.04444456,5.02585745,100,99.99989,-0.0024895668,-0.00343969138,false,[object Object],
30-04-2015,434.99,440.06,431.22,431.22,11200,440.0481,438.14975,436.809937,435.749878,441.5429,439.627167,441.9326,442.957977,441.655945,441.216827,449.209656,444.732361,444.356384,443.7777,448.6678,441.2959,1e-7,19.42746,-2.476532,-1.02793038,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000145,5,5.00000334,5,5.004418,5,5.017864,5.04444456,5.02643871,100,99.99986,-0.00268650055,-0.00371064083,true,[object Object],
29-04-2015,442.99,442.99,436.99,436.99,1300,442.7801,441.614624,441.409943,440.279755,443.8243,442.429565,444.345245,444.634827,442.834961,443.438354,449.333679,445.664246,444.867371,444.2034,448.532043,441.5223,10.2919188,25.9032784,-1.573822,-0.8152839,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00016546,5,5.00000429,5,5.0047226,5,5.01847,5.04444456,5.027033,100,99.99982,-0.00289917,-0.004002465,true,[object Object],
28-04-2015,441.58,446,440,442.22,3000,444.518066,443.926941,444.009979,443.569519,444.335754,444.242767,446.42926,445.726959,443.930969,444.871338,449.1287,446.262482,445.194733,444.447937,448.2477,441.624146,25.0935287,31.1070633,-0.9862366,-0.7150506,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.0001893,5,5.00000525,5,5.00504827,5.0666666,5.019096,5.04444456,5.02764034,100,99.9997559,-0.00312852859,-0.00431670062,false,[object Object],
27-04-2015,451.5,451.5,445.02,445.02,2200,445.512054,444.780426,444.896637,444.919067,443.7329,444.917023,447.947235,446.227966,443.108948,445.4605,448.583679,446.54126,445.555054,444.523468,447.753937,441.610748,33.1510468,33.1115761,-0.754455566,-0.6195882,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00021648,5,5.000006,5,5.00539637,5.0666666,5.01974344,5.04444456,5.02826166,100,99.99968,-0.00337553024,-0.00465499051,true,[object Object],
26-04-2015,0,0,0,0,0,0,444.660645,0,444.8181,0,444.8827,0,446.400543,0,445.5584,0,446.646179,0,444.506622,0,441.534149,0,33.09842,-0.732696533,-0.5498793,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00024748,5,5.00000763,5,5.005769,5.0666666,5.020413,5.04444456,5.028897,100,99.99957,-0.00364160538,-0.00501908176,true,[object Object],
25-04-2015,0,0,0,0,0,0,444.660645,0,444.8181,0,444.8827,0,446.400543,0,445.5584,0,446.646179,0,444.506622,0,441.534149,0,33.09842,-0.732696533,-0.482588023,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000283,5,5.00000954,5,5.00616646,5.0666666,5.021105,5.04444456,5.02954626,100,99.9994354,-0.00392866135,-0.00541083,true,[object Object],
24-04-2015,444.79,444.79,444.79,444.79,500,444.62207,444.660645,445.116669,444.8181,443.44577,444.8827,449.2659,446.400543,442.155945,445.5584,447.650024,446.646179,446.094055,444.506622,447.226959,441.534149,32.4892349,33.09842,-0.732696533,-0.308773458,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.0003233,5,5.000012,5,5.006592,5.0666666,5.02182,5.04444456,5.03021,100,99.99925,-0.004237652,-0.005832089,true,[object Object],
23-04-2015,443.74,444.88,443.74,444.88,1100,443.264069,444.595978,445.916656,444.846252,443.8972,444.913574,449.812561,446.6306,442.874939,445.729156,446.8267,446.7742,446.5234,444.497,446.81073,441.461,32.7482147,33.3014832,-0.6708679,-0.0570204,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00036955,5,5.00001431,5,5.007046,5.0666666,5.02255964,5.04444456,5.030889,100,99.99901,-0.00457000732,-0.00628492562,false,[object Object],
22-04-2015,448.57,448.57,445.68,445.68,900,442.890045,444.453979,444.47998,444.812469,442.342865,444.924744,450.755249,446.8807,445.12793,445.917847,446.026031,446.904846,446.972382,444.484039,446.457642,441.384155,35.05034,33.48591,-0.5913696,0.228976786,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00042248,5,5.00001764,5,5.007532,5.0666666,5.02332449,5.04444456,5.03158331,100,99.99868,-0.004928112,-0.0067715114,true,[object Object],
21-04-2015,445.61,451.97,445.61,447.19,2400,443.344055,443.840973,441.92,443.944946,440.887177,444.672974,451.4819,447.052246,447.384918,445.9707,445.0864,446.989319,447.460571,444.4435,446.0882,441.287628,39.39569,32.96443,-0.5627136,0.713362,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00048256,5,5.00002146,5,5.0080514,5.0666666,5.024115,5.04444456,5.032293,100,99.99824,-0.00531291962,-0.007294072,false,[object Object],
20-04-2015,440.57,440.57,440.57,440.57,800,440.706055,442.166443,440.526642,440.6999,441.571472,443.833954,452.2279,447.032562,449.1649,445.699738,444.4567,446.9755,448.0391,444.3504,445.674835,441.155,20.3453445,30.8206787,-0.6717224,1.436103,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000551,5,5.000026,5,5.008607,5.0666666,5.02493238,5.04444456,5.03301859,100,99.99765,-0.005727291,-0.007854992,true,[object Object],
19-04-2015,0,0,0,0,0,0,442.964661,0,440.829773,0,444.921936,0,447.95578,0,446.839661,0,447.417267,0,444.478546,0,441.168152,0,34.312458,-0.1270752,2.17095613,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00063,5,5.000032,5,5.00920057,5.0666666,5.02577734,5.04444456,5.03376055,100,99.99687,-0.006173134,-0.008456707,true,[object Object],
18-04-2015,0,0,0,0,0,0,442.964661,0,440.829773,0,444.921936,0,447.95578,0,446.839661,0,447.417267,0,444.478546,0,441.168152,0,34.312458,-0.1270752,2.84529281,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00072,5,5.000039,5,5.00983524,5.0666666,5.02665138,5.04444456,5.034519,100,99.9958344,-0.006652355,-0.009101708,true,[object Object],
17-04-2015,438.76,440,438,438,2000,439.690033,442.964661,442.986664,440.829773,445.405731,444.921936,452.869232,447.95578,451.5879,446.839661,443.839355,447.417267,448.650421,444.478546,445.254944,441.168152,12.9496393,34.312458,-0.1270752,3.63176465,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000823,5,5.00004768,5,5.01051331,5.0666666,5.027555,5.04444456,5.035295,100,99.9944458,-0.00716733932,-0.00979254,true,[object Object],
16-04-2015,440,443.9,440,443.01,2200,442.486023,445.447,441.65332,443.659546,449.727142,447.229248,453.492584,449.378021,453.0869,448.804016,443.741333,448.066742,449.033752,444.698151,444.8863,441.239349,27.3669338,41.4334,0.8316345,4.37556648,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000143,5,5.00094032,5,5.000058,5,5.01123857,5.0666666,5.028489,5.04444456,5.036088,100,99.9926,-0.00771999359,-0.0105318492,false,[object Object],
15-04-2015,437.04,453.99,435,447.95,3800,447.366028,446.6655,439.146637,444.309082,452.867157,448.635681,453.993866,450.28775,454.6879,450.091583,443.511017,448.4155,449.308746,444.755371,444.435028,441.199554,41.5827675,46.12222,1.533081,4.93826628,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000002,5,5.001075,5,5.000071,5,5.01201344,5.0666666,5.02945471,5.04444456,5.036899,100,99.99013,-0.008313179,-0.0113223391,false,[object Object],
14-04-2015,435.99,435.99,433.5,434,1100,451.426025,446.023254,440.49,440.668152,455.274323,448.864258,454.602539,450.6217,455.550873,450.5675,443.291351,448.4476,449.67627,444.647064,443.938141,441.047852,1.438849,47.63537,1.90310669,5.35519075,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000238,5,5.00122833,5,5.000087,5,5.0128417,5.0666666,5.030453,5.04444456,5.03772831,100,99.98684,-0.00894928,-0.0121665532,true,[object Object],
13-04-2015,445.01,445.21,435.49,435.49,5700,457.624023,452.034882,451.626678,447.3363,457.987152,453.819031,456.4352,452.996246,457.988861,454.249176,443.683,449.444,450.1596,445.008,443.638153,441.206238,1e-7,63.0342064,3.768097,5.63802767,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000334,5,5.001404,5,5.00010633,5,5.013727,5.0666666,5.03148556,5.04444456,5.038576,100,99.98245,-0.009631157,-0.0130671393,true,[object Object],
12-04-2015,0,0,0,0,0,0,460.307343,0,459.182617,0,459.9287,0,455.497131,0,458.417877,0,450.406342,0,445.330627,0,441.3347,0,84.04561,5.94195557,5.71364355,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000429,5,5.00160456,5,5.00013,5,5.01467371,5.0666666,5.03255272,5.04444456,5.039443,100,99.97661,-0.0103611946,-0.0140265357,true,[object Object],
11-04-2015,0,0,0,0,0,0,460.307343,0,459.182617,0,459.9287,0,455.497131,0,458.417877,0,450.406342,0,445.330627,0,441.3347,0,84.04561,5.94195557,5.54771948,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000572,5,5.001834,5,5.00015926,5,5.01568556,5.0666666,5.033656,5.04444456,5.04032946,100,99.96881,-0.0111427307,-0.0150470734,true,[object Object],
