date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,40.8761024,0,40.6468468,0,41.0377274,0,41.3889465,0,41.21384,0,41.41851,0,40.97117,0,40.50412,0,25.3916645,-0.152740479,0.0237363186,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00027847,5,5.000011,5,5.005601,5.05,5.021658,5.0333333,5.03385,100,99.99901,-0.00356197357,-0.004900826,true,[object Object],
01-05-2015,40.53,40.88,40.06,40.35,132900,41.0040054,40.8761024,40.7166634,40.6468468,41.1628723,41.0377274,41.4780121,41.3889465,41.36402,41.21384,41.9070053,41.41851,40.908493,40.97117,40.24144,40.50412,21.9177723,25.3916645,-0.152740479,0.060419295,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000318,5,5.00001335,5,5.005987,5.05,5.02239227,5.0333333,5.03461075,100,99.99868,-0.00384140015,-0.00528075965,true,[object Object],
30-04-2015,40.97,41.36,39.71,40.48,289000,41.2380028,41.1391525,41.10333,40.9436951,41.355732,41.26697,41.6233444,41.53737,41.49702,41.4058075,41.93734,41.4922,40.89449,40.9922256,40.2377739,40.5075836,24.1758289,26.54963,-0.06827927,0.101796895,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00036335,5,5.000016,5,5.0064,5.05,5.0231514,5.0333333,5.03538847,100,99.99824,-0.00414228439,-0.005688826,true,[object Object],
29-04-2015,41.31,41.47,40.66,41.32,154600,41.4620056,41.4687271,41.39666,41.40739,41.5385857,41.5292969,41.75468,41.68842,41.61402,41.61154,41.926342,41.5620041,40.8884926,41.00959,40.23344,40.5082,25.6410065,27.3408966,0.0272827148,0.138295487,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00041533,5,5.00001955,5,5.00684166,5.05,5.02393627,5.0333333,5.036184,100,99.99765,-0.00446558,-0.00612688065,false,[object Object],
28-04-2015,41.31,41.86,41.0801,41.51,144500,41.538002,41.54309,41.46333,41.49478,41.6414452,41.59906,41.8773422,41.74105,41.6350174,41.67633,41.9126778,41.5786934,40.859993,40.99907,40.2197762,40.48996,27.77765,27.9075279,0.06332779,0.168827474,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00047445,5,5.000024,5,5.00731373,5.05,5.024748,5.05555534,5.036997,100,99.99687,-0.004813671,-0.00659688329,false,[object Object],
27-04-2015,41.8,42.06,40.81,41.36,156400,41.5880051,41.5596352,41.49333,41.47957,41.66573,41.62875,41.9433441,41.77406,41.6500168,41.713295,41.8510132,41.58343,40.8363266,40.98175,40.1997757,40.4670372,19.985445,27.950819,0.08906937,0.197635651,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000542,5,5.000029,5,5.007818,5.05,5.02558661,5.05555534,5.03782845,100,99.9958344,-0.00518751144,-0.007100794,true,[object Object],
26-04-2015,0,0,0,0,0,0,41.6594543,0,41.5991325,0,41.7183342,0,41.83321,0,41.7918053,0,41.59884,0,40.96893,0,40.44697,0,30.6059437,0.1359024,0.223583639,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00061941,5,5.000036,5,5.00835752,5.05,5.026454,5.05555534,5.03867865,100,99.9944458,-0.005589485,-0.00764073245,true,[object Object],
25-04-2015,0,0,0,0,0,0,41.6594543,0,41.5991325,0,41.7183342,0,41.83321,0,41.7918053,0,41.59884,0,40.96893,0,40.44697,0,30.6059437,0.1359024,0.244327962,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000708,5,5.000044,5,5.008934,5.05,5.027351,5.05555534,5.039548,100,99.9926,-0.006021023,-0.008218765,true,[object Object],
24-04-2015,41.58,42.14,41.45,41.52,105000,41.7240028,41.6594543,41.60666,41.5991325,41.7071533,41.7183342,42.0873451,41.83321,41.71502,41.7918053,41.7980156,41.59884,40.7884941,40.96893,40.1849976,40.44697,23.404253,30.6059437,0.1359024,0.271535248,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000143,5,5.000809,5,5.00005341,5,5.00955,5.05,5.028278,5.05555534,5.04043674,100,99.99013,-0.00648450851,-0.008837011,true,[object Object],
23-04-2015,41.28,41.97,41.17,41.6,156800,41.756,41.7291832,41.686657,41.6782646,41.7085838,41.7844467,42.16601,41.8779526,41.8160172,41.8522072,41.7173462,41.6042747,40.7341576,40.95025,40.1736641,40.42286,26.24106,33.0065079,0.177406311,0.306715637,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000002,5,5.00092459,5,5.00006533,5,5.01020861,5.05,5.02923632,5.05555534,5.0413456,100,99.98684,-0.006981373,-0.009497589,false,[object Object],
22-04-2015,41.82,42.35,41.41,41.7,120700,41.766,41.7937737,41.8333244,41.75653,41.7171555,41.845932,42.2393456,41.91766,41.90102,41.9082527,41.6383476,41.60457,40.69749,40.9282227,40.13833,40.3964081,29.7872429,35.2616577,0.2196579,0.3480873,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000238,5,5.00105667,5,5.00008,5,5.01091242,5.05,5.030227,5.05555534,5.042275,100,99.98245,-0.007514,-0.0102026723,true,[object Object],
21-04-2015,42.24,42.24,41.46,41.76,176400,41.732,41.84066,41.8266563,41.8130646,41.76144,41.894577,42.2986832,41.9487534,42.04702,41.9545326,41.55168,41.59799,40.64249,40.90206,40.091217,40.367115,31.9148159,37.08646,0.26020813,0.396193177,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000334,5,5.00120735,5,5.00009775,5,5.011665,5.05,5.031252,5.05555534,5.043225,100,99.97661,-0.008084774,-0.0109542208,true,[object Object],
20-04-2015,41.9,42.34,41.36,42.04,103700,41.711998,41.8809929,41.78999,41.8661346,41.8714371,41.9394379,42.39335,41.97572,42.1210175,41.99776,41.4490166,41.5868149,40.6029854,40.87298,40.0282173,40.3358154,41.8439865,38.81034,0.302070618,0.4493667,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000429,5,5.00138,5,5.000119,5,5.01246929,5.05,5.03231144,5.05555534,5.044196,100,99.96881,-0.008695602,-0.0117541421,false,[object Object],
19-04-2015,0,0,0,0,0,0,41.801487,0,41.69227,0,41.90592,0,41.9665375,0,41.9883728,0,41.55556,0,40.83342,0,40.29752,0,37.7991257,0.322601318,0.497888774,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000572,5,5.00157738,5,5.000146,5,5.013329,5.05,5.03340673,5.05555534,5.04518938,100,99.95842,-0.009348869,-0.0126042366,true,[object Object],
18-04-2015,0,0,0,0,0,0,41.801487,0,41.69227,0,41.90592,0,41.9665375,0,41.9883728,0,41.55556,0,40.83342,0,40.29752,0,37.7991257,0.322601318,0.54412967,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000763,5,5.001803,5,5.00017834,5,5.01424837,5.05,5.034539,5.05555534,5.046205,100,99.9445648,-0.0100469589,-0.0135059357,true,[object Object],
