date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,47.1554337,0,47.0386047,0,47.3740425,0,48.17861,0,47.7293472,0,48.576767,0,47.9597969,0,47.150177,0,14.1666,-0.6142769,-0.363648742,0,0,0,0,0,0,0,0,0,5,4.99901438,5,4.99997,5,4.99722528,4.9333334,5.01595831,5,4.998716,5.2,5.076739,5.133333,5.107905,5.111111,5.120252,100,90.62137,-0.0603919029,-0.08089161,true,[object Object],
01-05-2015,46.96,47.3,46.39,47.13,11200,46.9259872,47.1554337,47.0500031,47.0386047,47.07141,47.3740425,48.69799,48.17861,47.6920052,47.7293472,49.7286568,48.576767,47.8553429,47.9597969,49.0941,47.150177,15.8920708,14.1666,-0.6142769,-0.282020152,0,0,0,0,0,0,0,0,0,5,4.998522,5,4.99994,5,4.9963,4.9333334,5.018238,5,4.99843025,5.2,5.08203125,5.133333,5.11156273,5.111111,5.12295437,100,87.49516,-0.06482887,-0.08652057,false,[object Object],
30-04-2015,47,47.42,46.18,46.77,17200,46.92199,47.168148,46.9333344,46.9472122,47.2085533,47.45539,48.91732,48.3284149,47.9400024,47.8625336,49.6843262,48.6765442,47.8588448,47.9879265,49.10377,47.15063,10.4947615,13.5914431,-0.5813484,-0.178474009,0,0,0,0,0,0,0,0,0,5,4.99778271,5,4.99988,5,4.995067,4.9333334,5.02084351,5,4.99808168,5.2,5.08768845,5.133333,5.11534452,5.111111,5.125717,100,83.32688,-0.06954956,-0.0924467,true,[object Object],
29-04-2015,46.8,47.45,46.55,47.25,7300,47.1199875,47.36722,46.91,47.1244278,47.6142654,47.6838531,49.1326523,48.5510445,48.365,48.10532,49.6463242,48.80803,47.8628464,48.029213,49.1049919,47.1591835,17.6911526,14.6236706,-0.4942093,-0.0548587367,0,0,0,0,0,0,0,0,0,5,4.996674,5,4.99975967,5,4.993423,4.9333334,5.023821,5,4.99765539,5.366667,5.093736,5.133333,5.11925459,5.111111,5.12854242,100,77.76917,-0.07456255,-0.09866587,false,[object Object],
28-04-2015,46.9,46.9,46.07,46.78,19700,47.2879868,47.42583,46.86333,46.9988556,47.9671249,47.8284721,49.3526535,48.736908,48.8510056,48.29539,49.5883255,48.9154778,47.85935,48.0556259,49.0786552,47.1571426,10.6446609,13.6011772,-0.424671173,0.07130517,0,0,0,0,0,0,0,0,0,5,4.99501133,5,4.99951935,5,4.99123049,4.9333334,5.02722359,5,4.997134,5.366667,5.10020065,5.133333,5.123297,5.111111,5.131431,100,70.3588943,-0.07987738,-0.105168715,true,[object Object],
27-04-2015,47.07,47.63,46.07,46.7,19700,47.8539848,47.74875,47.19,47.2177124,48.37141,48.1779633,49.6273232,49.0164642,49.2760048,48.6321449,49.57299,49.06275,47.8720131,48.09887,49.0415459,47.16562,9.445291,14.5866823,-0.28188324,0.2030733,0,0,0,0,0,0,0,0,0,5,4.992517,5,4.9990387,5,4.98830748,4.9333334,5.03111267,4.9,4.996497,5.366667,5.107111,5.133333,5.12747669,5.111111,5.13438463,100,60.4785233,-0.08549881,-0.111938953,true,[object Object],
26-04-2015,0,0,0,0,0,0,48.27312,0,47.735424,0,48.67062,0,49.3473854,0,49.06151,0,49.2257,0,48.14629,0,47.1760826,0,16.30048,-0.0873909,0.318976074,0,0,0,0,0,0,0,0,0,5,4.98877525,5,4.998078,5,4.98441,4.9333334,5.03555727,4.9,4.995719,5.266667,5.114498,5.133333,5.131798,5.111111,5.13740444,100,47.3046951,-0.09142971,-0.118952066,true,[object Object],
25-04-2015,0,0,0,0,0,0,48.27312,0,47.735424,0,48.67062,0,49.3473854,0,49.06151,0,49.2257,0,48.14629,0,47.1760826,0,16.30048,-0.0873909,0.413268626,0,0,0,0,0,0,0,0,0,5,4.983163,5,4.99615574,5,4.979213,5.0666666,5.040637,4.9,4.99476767,5.266667,5.12239456,5.133333,5.13626575,5.111111,5.140492,33.3333359,29.7395935,-0.0976705551,-0.114860006,true,[object Object],
24-04-2015,47.56,48.28,47.01,47.11,6800,48.4579849,48.27312,47.65333,47.735424,48.9885521,48.67062,49.9026566,49.3473854,49.5840034,49.06151,49.5533257,49.2257,47.93235,48.14629,49.0007668,47.1760826,1.74523962,16.30048,-0.0873909,0.524589539,0,0,0,0,0,0,0,0,0,5,4.97474432,5,4.992312,4.857143,4.97228432,5.0666666,5.046442,4.9,4.99360466,5.266667,5.13083553,5.133333,5.140885,5.111111,5.143649,33.3333359,28.54168,-0.104215145,-0.107966319,true,[object Object],
23-04-2015,48,48.8,47.53,47.76,15100,48.9579849,48.8546829,48.4866638,48.3608475,49.7028427,49.1908264,50.1413231,49.66701,49.9150047,49.4951744,49.52666,49.37161,47.9863472,48.18142,48.9456558,47.1775665,4.414576,21.1522274,0.1203804,0.6402156,0,0,0,0,0,0,0,0,0,5,4.96211672,5,4.984624,4.857143,4.963046,5.0666666,5.05307674,4.9,4.992183,5.266667,5.13985872,5.133333,5.1456604,5.111111,5.14687729,33.3333359,26.94446,-0.111052513,-0.09759707,true,[object Object],
