date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,77.5776749,0,77.5510254,0,77.65802,0,78.07079,0,77.8091,0,78.84328,0,80.59842,0,82.7783356,0,23.4917,-0.7187805,-0.7178285,1,1,1,0,0,1,1,1,1,5.4,4.40772057,3.66666675,3.35771823,6.142857,4.91305828,5.4666667,5.485176,5.9,5.261456,5.9,5.654994,5.8166666,5.755887,5.75555563,5.85397863,1e-7,43.47843,-0.252049923,0.0985116959,true,[object Object],
01-05-2015,77.85,77.89,77.31,77.68,3845500,77.45398,77.5776749,77.429985,77.5510254,77.62995,77.65802,78.2067,78.07079,77.63598,77.8091,78.871,78.84328,80.1623459,80.59842,82.8042145,82.7783356,24.78452,23.4917,-0.7187805,-0.71469456,5,9,2,0,11,5,5,5,5,6.8,6.111581,6,5.71543646,7,6.217411,5.6,6.12591553,6.4,6.2084465,6.0666666,5.976028,5.9,5.91710329,5.85555553,5.963057,44.4444466,57.97124,0.173724174,0.09793181,true,[object Object],
30-04-2015,77.04,77.68,76.98,77.45,6689000,77.515976,77.52651,77.36665,77.42204,77.7385254,77.6506958,78.33403,78.12662,77.59998,77.83778,78.99967,78.9235,80.26118,80.69735,82.97332,82.89291,19.827549,23.06076,-0.7524338,-0.7127389,5,8,1,0,14,5,5,5,5,7.4,6.66737127,7,6.430873,6.857143,6.62321472,5.66666651,6.28676033,6.4,6.47699,6.0666666,6.04334,5.883333,5.94819164,5.866667,5.984699,44.4444466,62.48017,0.307366848,0.0505146459,false,[object Object],
29-04-2015,77.13,77.47,77,77.16,4287900,77.6559753,77.5647659,77.37998,77.3941,77.71424,77.7176,78.44804,78.22328,77.9459839,77.92396,79.14668,79.02512,80.36584,80.80743,83.14799,83.01522,13.5776939,24.1384983,-0.7610245,-0.710695,8,10,4,0,11,8,8,8,8,7.8,7.50105667,8,7.861746,6.857143,7.16428661,5.8,6.470583,6.3,6.80521,6.0333333,6.11529446,5.883333,5.980334,5.85555553,6.006827,77.77778,68.49208,0.4734726,-0.02205483,true,[object Object],
28-04-2015,77.69,77.73,76.94,77.49,6474100,77.91197,77.76714,77.65665,77.62819,77.72424,77.9034653,78.55003,78.37518,78.20498,78.09373,79.27669,79.1537552,80.44866,80.93107,83.29554,83.1468,20.6896381,27.6587658,-0.731399536,-0.6980472,8,10,5,0,11,8,8,8,8,7,7.251585,8,7.72349167,6.571429,6.88571548,5.733333,6.25209475,6,6.539701,5.9333334,5.985315,5.85,5.91187048,5.83333349,5.96203661,77.77778,65.39684,0.373142242,-0.114359058,false,[object Object],
27-04-2015,77.83,77.96,77.04,77.49,6880100,77.86998,77.9057159,77.87665,77.76639,77.69996,78.04129,78.60603,78.50164,78.40498,78.22789,79.4103546,79.26849,80.50199,81.0477142,83.4149857,83.27392,20.6896381,29.9818077,-0.7165451,-0.674763143,8,10,5,2,11,8,8,8,8,6.4,6.87737751,7.66666651,7.446983,6.142857,6.514287,5.6,6.002394,5.5,6.21519,5.733333,5.846371,5.8166666,5.84108639,5.822222,5.91623974,77.77778,61.2698669,0.239656925,-0.185256854,false,[object Object],
26-04-2015,0,0,0,0,0,0,78.11358,0,78.0427856,0,78.22506,0,78.6461639,0,78.39187,0,79.39115,0,81.16831,0,83.40389,0,33.0791969,-0.6871643,-0.6531296,8,10,7,1,4,8,8,8,8,6,6.31606627,6.33333349,6.89396572,5.571429,6.01904964,5.4666667,5.717022,5,5.81856537,5.5666666,5.697845,5.8,5.767903,5.788889,5.869414,77.77778,55.7672272,0.0657949448,-0.239114121,false,[object Object],
25-04-2015,0,0,0,0,0,0,78.11358,0,78.0427856,0,78.22506,0,78.6461639,0,78.39187,0,79.39115,0,81.16831,0,83.40389,0,33.0791969,-0.6871643,-0.634760559,7,10,4,1,18,7,7,7,7,5.4,5.47409964,5.33333349,5.787932,5.142857,5.358733,5.4666667,5.39088249,4.8,5.333802,5.4666667,5.539076,5.7833333,5.69223833,5.77777767,5.82153559,66.66667,48.4303741,-0.157072544,-0.247811854,false,[object Object],
24-04-2015,78.3,78.33,77.77,77.99,3386700,77.81798,78.11358,78.19332,78.0427856,78.18853,78.22506,78.7486954,78.6461639,78.5829849,78.39187,79.51402,79.39115,80.5771561,81.16831,83.55443,83.40389,31.4655,33.0791969,-0.6871643,-0.5987888,4,7,1,0,5,4,4,4,4,4.8,4.711149,5,4.575864,4.571429,4.81164455,5.4,5.16100836,4.8,4.96353626,5.4,5.43832254,5.7833333,5.64790726,5.77777767,5.79505348,33.3333359,42.35161,-0.33743,-0.198743135,true,[object Object],
23-04-2015,78.06,78.37,77.74,78.15,4803600,77.68398,78.17537,77.95666,78.0955658,78.43996,78.30341,78.86269,78.7399,78.74298,78.48117,79.6330261,79.4877853,80.63949,81.2760544,83.69898,83.52555,34.9138565,33.6170959,-0.690574646,-0.58037734,5,9,2,2,32,5,5,5,5,5,5.066724,5.33333349,5.151727,4.428571,5.082193,5.733333,5.32686663,5.1,5.177655,5.4333334,5.537517,5.8166666,5.70376873,5.8,5.835392,44.4444466,45.3576965,-0.2572689,-0.121909618,false,[object Object],
22-04-2015,77.41,78.65,77.18,78.44,7311200,78.2359848,78.18805,77.6499939,78.04113,78.6313858,78.35455,78.9146957,78.8241653,78.84398,78.55476,79.67636,79.58005,80.71032,81.38202,83.8654251,83.64635,41.1638756,33.184845,-0.7011795,-0.5700336,6,10,2,1,19,6,6,6,6,4.6,5.10008574,5,5.3034544,4.571429,5.10959053,5.9333334,5.373562,5.2,5.217134,5.4333334,5.57458735,5.8,5.72762537,5.811111,5.854165,55.5555573,45.6621132,-0.2530303,-0.0560082868,true,[object Object],
