date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,25.114809,0,25.1890163,0,25.084,0,25.0216789,0,25.0573215,0,24.9473858,0,25.0054359,0,25.0895176,0,54.6605835,0.07921219,0.0734007061,0,0,0,0,0,0,0,0,0,5,5.000027,5,5,5,5.000485,5,5.019558,5,5.00395632,5.1,5.085572,5.2,5.154732,5.22222233,5.18425751,100,96.97562,-0.06053686,-0.07735983,true,[object Object],
01-05-2015,25.25,26.34,25.17,25.41,402100,25.0239964,25.114809,25.1666565,25.1890163,25.02429,25.084,25.07333,25.0216789,25.0340061,25.0573215,24.82033,24.9473858,24.9166775,25.0054359,24.52178,25.0895176,56.7441635,54.6605835,0.07921219,0.07497173,0,0,0,0,0,0,0,0,0,5,5.000041,5,5,5,5.00064659,5,5.022352,5,5.00483561,5.1,5.091473,5.2,5.15997744,5.22222233,5.188398,100,95.96748,-0.0644788742,-0.08162287,false,[object Object],
30-04-2015,25.03,25.19,24.75,25,189300,24.9519958,24.9672146,24.84999,24.9680328,24.981432,24.9753342,25.05933,24.9662056,25.010006,24.9789486,24.8066635,24.9154816,24.9006748,24.9917221,24.50967,25.0823154,54.3623848,53.9660568,0.04811287,0.0774870962,0,0,0,0,0,0,0,0,0,5,5.00006151,5,5,5,5.000862,5,5.025545,5,5.00591,5.1,5.09778166,5.2,5.16540051,5.22222233,5.19263172,100,94.6233139,-0.0685720444,-0.0858767852,true,[object Object],
29-04-2015,24.39,25.25,24.19,25.09,213300,24.9519958,24.9508228,24.903326,24.9360638,24.99143,24.9671135,25.03733,24.9613781,25.0370064,24.97427,24.8016624,24.9096527,24.893177,24.9914417,24.5025616,25.0841656,60.402668,53.8339462,0.04946518,0.0832542852,0,0,0,0,0,0,0,0,0,5,5.000092,5,5,5,5.00114965,5,5.02919436,5,5.007223,5.1,5.104525,5.2,5.171007,5.22222233,5.19696045,100,92.8310852,-0.0727992058,-0.09005727,false,[object Object],
28-04-2015,25.28,25.28,24.41,24.46,398100,24.9559975,24.8812351,24.8899918,24.7821274,24.9771461,24.9261513,25.0533314,24.9430027,25.0460052,24.9485531,24.7993279,24.8972149,24.87751,24.9881,24.489336,25.084034,16.43833,51.64437,0.0413093567,0.08890215,0,0,0,0,0,0,0,0,0,5,5.000138,5,5,5,5.001533,5,5.033365,5,5.008828,5.1,5.111734,5.2,5.176804,5.22222233,5.20138645,100,90.4414444,-0.07713556,-0.0940832049,true,[object Object],
27-04-2015,24.812,25.47,24.799,25.16,291800,25.0779972,25.0918522,25.0699921,25.1042538,25.0785732,25.0815353,25.0406628,25.0120029,25.1100063,25.0571213,24.8003273,24.9273682,24.8606777,25.0060024,24.4848938,25.0980568,64.38355,63.37972,0.0944442749,0.0962386653,0,0,0,0,0,0,0,0,0,5,5.00020647,5,5.00000048,5,5.002044,5,5.038131,5,5.01079,5.1,5.1194396,5.2,5.18279743,5.22222233,5.205912,100,87.25526,-0.08154869,-0.09785329,false,[object Object],
26-04-2015,0,0,0,0,0,0,25.05778,0,25.0485077,0,25.0553818,0,24.99086,0,25.03426,0,24.9113255,0,25.000782,0,25.0966644,0,63.04511,0.0896167755,0.0976713,0,0,0,0,0,0,0,0,0,5,5.00030947,5,5.000001,5,5.0027256,5,5.04357862,5,5.01318741,5.1,5.127677,5.2,5.188994,5.22222233,5.21053934,100,83.00701,-0.0859952,-0.101241961,true,[object Object],
25-04-2015,0,0,0,0,0,0,25.05778,0,25.0485077,0,25.0553818,0,24.99086,0,25.03426,0,24.9113255,0,25.000782,0,25.0966644,0,63.04511,0.0896167755,0.09964032,0,0,0,0,0,0,0,0,0,5,5.000464,5,5.000002,5,5.00363445,5,5.049804,5,5.016118,5.1,5.13648224,5.2,5.19540071,5.22222233,5.21527052,100,77.34268,-0.09041977,-0.104094557,true,[object Object],
24-04-2015,25.13,25.261,24.81,25.05,192700,25.0439968,25.05778,25.0533237,25.0485077,25.0942879,25.0553818,25.02533,24.99086,25.0980053,25.03426,24.7733269,24.9113255,24.8253441,25.000782,24.472784,25.0966644,56.84927,63.04511,0.0896167755,0.100398168,0,0,0,0,0,0,0,0,0,5,5.00069571,5,5.000004,5,5.004846,5,5.056919,5,5.0197,5.233333,5.145895,5.2,5.20202446,5.27777767,5.220108,100,69.79024,-0.09475231,-0.106221408,true,[object Object],
23-04-2015,24.87,25.268,24.87,25,417700,25.067997,25.06167,25.05999,25.0470181,25.11286,25.0571766,24.9906635,24.98241,25.1130047,25.0307617,24.7576618,24.901762,24.7851772,24.9991131,24.47334,25.0977135,55.5555573,65.11039,0.0933513641,0.09832297,0,0,0,0,0,0,0,0,0,5,5.001044,5,5.00000763,5,5.00646162,5,5.06505,5,5.024078,5.4,5.15595675,5.2,5.208873,5.27777767,5.22505426,100,59.72032,-0.09890413,-0.107390933,false,[object Object],
