date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,57.0101471,0,57.1329651,0,56.9724731,0,56.8178329,0,56.9299774,0,56.3636322,0,55.64097,0,55.2021675,0,48.5125122,0.403278351,0.466300964,0,0,0,0,0,0,0,0,0,4.8,5.02493,5,5.15679741,4.857143,4.990157,5.0666666,5.037785,5,5.00040531,4.9333334,5.08565426,5.2,5.11027145,5.077778,5.127225,44.4444466,44.3350868,-0.06209421,-0.035598278,true,[object Object],
01-05-2015,56.9,58.03,56.8,57.74,13360100,56.8960457,57.0101471,56.893322,57.1329651,56.88859,56.9724731,57.1846771,56.8178329,56.89499,56.9299774,56.1926765,56.3636322,55.4241562,55.64097,54.5756874,55.2021675,64.64292,48.5125122,0.403278351,0.484853536,7,10,3,7,18,7,7,7,7,4.8,5.037395,4.33333349,5.31359529,4.857143,4.98687649,5.266667,5.043183,4.9,5.00049543,4.9666667,5.09156132,5.2,5.11400938,5.12222242,5.130084,66.66667,44.2986336,-0.0654029846,-0.0160152651,true,[object Object],
30-04-2015,56.28,56.72,55.93,56.29,7196700,56.7460442,56.6452179,56.5799866,56.5259247,56.7228775,56.71663,57.1080132,56.6860924,56.86399,56.7499733,56.12301,56.26871,55.3203239,55.5698166,54.5539055,55.1451378,12.8571672,43.13571,0.34910202,0.50906837,3,5,1,10,12,3,3,3,3,4.4,4.05609274,4,3.62719083,4.571429,4.31583548,5.33333349,4.76363754,4.5,4.556161,5.0666666,4.95994473,5.16666651,5.05007744,5.088889,5.08806324,22.2222233,36.84262,-0.2723112,-0.0021004146,false,[object Object],
29-04-2015,56.62,56.9,56.36,56.65,10140800,56.8380432,56.8228264,56.81665,56.7618523,56.7728767,56.85884,57.1080132,56.7426758,57.0509872,56.85219,56.1273422,56.2672424,55.23766,55.5454025,54.53968,55.11941,38.4616165,53.22856,0.422512054,0.54744935,3,5,1,10,12,3,3,3,3,4.8,4.58413935,4.66666651,4.25438166,5,4.75444746,5.266667,5.015586,5.1,4.90197468,5.0666666,5.09511328,5.2,5.11957169,5.111111,5.134986,22.2222233,41.7160873,-0.125167847,0.0496299528,false,[object Object],
28-04-2015,56.62,57.18,56.6,56.8,8797600,56.8240433,56.9092369,56.92999,56.873703,56.8957329,56.92845,57.02801,56.7559166,57.21299,56.8971176,56.09901,56.2408447,55.1344948,55.5079575,54.51046,55.0850143,49.4764252,58.15088,0.473407745,0.5862702,6,8,3,4,6,6,6,6,6,5.2,5.376209,5.33333349,5.50876331,5.142857,5.33926344,5.5333333,5.303527,5.3,5.32463551,5.2,5.239604,5.1833334,5.19142151,5.1,5.18296337,55.5555573,48.2140427,0.06446171,0.114934869,true,[object Object],
27-04-2015,56.91,57.35,56.8,57,7757300,56.79204,56.9638557,56.91332,56.947403,56.9857368,56.9712677,56.9066772,56.74962,57.28299,56.9186974,56.07001,56.202282,55.002327,55.46416,54.4669037,55.0464745,54.71205,61.042366,0.516212463,0.619318247,0,0,0,0,0,0,0,0,0,5.2,5.064313,5,5.01752663,4.714286,5.119018,5.33333349,5.20403051,5.2,5.17455435,5.16666651,5.187163,5.133333,5.164012,5.14444447,5.164603,44.4444466,45.7668724,0.000105381012,0.128737077,false,[object Object],
26-04-2015,0,0,0,0,0,0,56.94578,0,56.89481,0,56.9616928,0,56.7138519,0,56.90063,0,56.1472664,0,55.4120979,0,55.0025749,0,63.15247,0.542972565,0.6476101,0,0,0,0,0,0,0,0,0,5,5.0964694,5,5.035053,5.285714,5.158691,5.33333349,5.23317766,5.5,5.213344,5.16666651,5.200071,5.2,5.169572,5.1,5.168302,44.4444466,46.20768,0.019780159,0.155794308,true,[object Object],
25-04-2015,0,0,0,0,0,0,56.94578,0,56.89481,0,56.9616928,0,56.7138519,0,56.90063,0,56.1472664,0,55.4120979,0,55.0025749,0,63.15247,0.542972565,0.6729287,0,0,0,0,0,0,0,0,0,4.6,5.144704,5.33333349,5.07010555,5.285714,5.211588,5.33333349,5.26648855,5.8,5.26075363,5.1,5.21386862,5.266667,5.17532,5.1,5.17208433,44.4444466,46.79542,0.0446043,0.188063085,true,[object Object],
24-04-2015,57.1,57.17,56.85,56.99,5806000,56.8940353,56.94578,56.77332,56.89481,57.15145,56.9616928,56.801342,56.7138519,57.32899,56.90063,56.0133476,56.1472664,54.87333,55.4120979,54.4277954,55.0025749,60.18311,63.15247,0.542972565,0.697756052,0,0,0,0,0,0,0,0,0,5.4,5.217056,5,5.14021063,5.285714,5.282117,5.5333333,5.30455828,5.5,5.318699,5.2,5.228618,5.2,5.18126345,5.1,5.17595148,44.4444466,47.57908,0.0756402,0.192574978,true,[object Object],
23-04-2015,56.52,56.79,56.24,56.75,9687000,56.9820366,56.92367,56.65665,56.7996178,57.33431,56.9522552,56.6780128,56.6744,57.2889938,56.88077,55.9670143,56.0891457,54.74366,55.35861,54.3951225,54.9579124,54.69108,64.14226,0.570251465,0.712459564,6,10,1,2,4,6,6,6,6,5.4,5.32558346,4.33333349,5.28042126,5.714286,5.376156,5.5333333,5.348067,5.7,5.38952065,5.133333,5.244385,5.2,5.187408,5.05555534,5.17990541,55.5555573,48.6239548,0.114152908,0.161593333,true,[object Object],
