date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,4.94988871,0,4.8997016,0,5.019272,0,5.19548035,0,5.107599,0,5.27368259,0,5.31012154,0,5.337547,0,26.8898048,-0.113080025,-0.0265443064,0,0,0,0,0,0,0,0,0,5,5.074105,5,5.044853,5.142857,5.047022,4.33333349,4.952035,5.1,4.994746,5,4.957835,5.116667,5.02825928,5.211111,5.02031755,44.4444466,44.9684067,0.02148676,-0.106553264,true,[object Object],
01-05-2015,4.92,4.92,4.92,4.92,300,4.87399769,4.94988871,4.87666655,4.8997016,4.96285725,5.019272,5.40400028,5.19548035,5.20600128,5.107599,5.312999,5.27368259,5.3030014,5.31012154,5.370113,5.337547,20.1550579,26.8898048,-0.113080025,0.00138092041,0,0,0,0,0,0,0,0,0,6,5.11115742,5,5.089706,5.142857,5.0626955,4.33333349,4.945183,4.8,4.993579,5.0333333,4.95492744,5.15,5.02921724,5.211111,5.020774,44.4444466,45.14306,0.020280838,-0.1514942,true,[object Object],
30-04-2015,4.85,5,4.85,4.85,6300,4.851998,4.96483326,4.853333,4.879403,5.09,5.05236244,5.43933344,5.23483467,5.28900146,5.149287,5.321999,5.29807472,5.311835,5.323346,5.376335,5.34693,14.7286873,29.13472,-0.0986595154,0.0313837267,0,0,0,0,0,0,0,0,0,5.2,5.166736,5,5.179412,5.142857,5.08359432,4.66666651,4.9373517,4.8,4.99215174,5.133333,4.951819,5.133333,5.03020763,5.22222233,5.02124071,44.4444466,45.375927,0.0184464455,-0.206651658,true,[object Object],
29-04-2015,5,5,4.86,4.86,2200,4.99399757,5.02225,4.86666632,4.908807,5.21857166,5.119817,5.476667,5.289811,5.38100147,5.21579552,5.33166552,5.32897663,5.32533455,5.33939171,5.38455725,5.358097,15.5038986,33.93673,-0.07169151,0.05935404,0,0,0,0,0,0,0,0,0,5.2,5.25010443,6.66666651,5.35882425,5.142857,5.111459,4.9333334,4.928402,4.4,4.99040747,5.133333,4.948496,5.133333,5.0312314,5.22222233,5.021718,44.4444466,45.68642,0.0158371925,-0.2401074,true,[object Object],
28-04-2015,4.88,4.88,4.85,4.85,300,5.183997,5.103375,4.849999,4.957614,5.34714365,5.20642233,5.502667,5.3512125,5.47200155,5.29486132,5.338999,5.36132,5.33566856,5.35564232,5.38889074,5.36929035,14.7286873,40.0810051,-0.03724575,0.08421019,0,0,0,0,0,0,0,0,0,5.2,5.375157,5.33333349,5.71764851,4.714286,5.148612,4.9333334,4.918174,4.4,4.988276,5.266667,4.944944,5.133333,5.03229,5.233333,5.022206,44.4444466,46.10041,0.0122761726,-0.279316664,true,[object Object],
27-04-2015,4.86,4.94,4.85,4.89,4300,5.36399746,5.23006248,5.08666563,5.06522846,5.475715,5.32522964,5.524,5.42281437,5.56800175,5.393719,5.34833241,5.39658356,5.3498354,5.37278271,5.39333534,5.38096,17.82946,48.5317764,0.008279324,0.104729973,10,10,10,4,1,10,10,10,10,5.2,5.56273556,5.33333349,6.435297,4.714286,5.19814968,4.9333334,4.9064846,4,4.98567057,5.266667,4.941147,5.15,5.033385,5.233333,5.0227046,100,46.6523972,0.00755262375,-0.280046582,true,[object Object],
26-04-2015,0,0,0,0,0,0,5.400094,0,5.24045753,0,5.470306,0,5.498931,0,5.50565672,0,5.43152046,0,5.389148,0,5.39199257,0,58.7658844,0.0621929169,0.120191418,1,1,1,2,1,1,1,1,1,3.6,3.34410334,3.66666675,2.87059355,3.42857146,3.59753275,4.6,4.17883968,3.5,3.871375,5.0333333,4.59226036,5.0666666,4.865025,5.22222233,4.91085529,1e-7,28.8698616,-0.5076771,-0.276904881,true,[object Object],
25-04-2015,0,0,0,0,0,0,5.400094,0,5.24045753,0,5.470306,0,5.498931,0,5.50565672,0,5.43152046,0,5.389148,0,5.39199257,0,58.7658844,0.0621929169,0.129662454,0,0,0,0,0,0,0,0,0,4.4,4.51615524,5,4.741187,4,4.463377,4.866667,4.63295937,4.4,4.50945854,5.133333,4.84000254,5.08333349,4.99604273,5.266667,4.99873972,44.4444466,38.49315,-0.241549015,-0.167048961,true,[object Object],
24-04-2015,5.38,5.42,4.66,4.81,18200,5.53799725,5.400094,5.393332,5.24045753,5.60142946,5.470306,5.55133343,5.498931,5.669002,5.50565672,5.353666,5.43152046,5.36166859,5.389148,5.39677954,5.39199257,11.6279144,58.7658844,0.0621929169,0.138358653,0,0,0,0,0,0,0,0,0,3.6,4.274233,4,4.48237467,3.42857146,4.28450251,4.6,4.580525,4.8,4.40044928,5.0333333,4.828968,5.016667,4.99590874,5.266667,4.99871159,44.4444466,36.5093842,-0.305633068,-0.0696556047,true,[object Object],
23-04-2015,5.63,5.63,5.56,5.56,300,5.72599745,5.69514132,5.70666552,5.67091465,5.738572,5.69040775,5.58200026,5.59734964,5.733002,5.66024733,5.36166573,5.474384,5.372835,5.40878057,5.39944649,5.40507126,51.25,74.47854,0.138247013,0.145612508,0,0,0,0,0,0,0,0,0,3.6,3.9113493,4,3.964749,3.42857146,4.04600334,4.9333334,4.5206,4.8,4.26721573,4.9333334,4.81717253,5.016667,4.99577,5.27777767,4.9986825,44.4444466,33.8643646,-0.382981777,-0.000898705563,true,[object Object],
