date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,0.07851989,0,0.07969162,0,0.07727778,0,0.07514173,0,0.0760006458,0,0.0754166543,0,0.07686751,0,0.07768093,0,67.17635,0.000285312533,-0.00154744834,0,0,0,0,0,0,0,0,0,5,5.00000143,5,5,5,5.00007,5,5.007712,5,5.00105953,5,5.043205,5.08333349,5.088348,5.133333,5.11245251,100,99.76588,-0.0311546326,-0.0410404727,true,[object Object],
01-05-2015,0.07,0.08,0.07,0.08,20000,0.08,0.07851989,0.08000002,0.07969162,0.07857145,0.07727778,0.07199998,0.07514173,0.07300001,0.0760006458,0.075666666,0.0754166543,0.0778332055,0.07686751,0.07688882,0.07768093,74.9999847,67.17635,0.000285312533,-0.001982809,0,0,0,0,0,0,0,0,0,5,5.00000238,5,5,5,5.00009346,5,5.00881338,5,5.001295,5,5.04618454,5.08333349,5.091343,5.133333,5.11497974,100,99.6878357,-0.03334999,-0.0436891466,false,[object Object],
30-04-2015,0.08,0.08,0.08,0.08,0,0.0779999942,0.07777984,0.08000002,0.07938324,0.07571431,0.07637037,0.07133331,0.07444769,0.07100001,0.0751119,0.075666666,0.07510056,0.0778332055,0.07676133,0.07688882,0.07762881,74.9999847,64.5684738,-0.000148616731,-0.0025681688,0,0,0,0,0,0,0,0,0,5,5.00000334,5,5,5,5.000125,5,5.010072,5,5.00158262,5,5.04937,5.116667,5.09443951,5.12222242,5.11756372,100,99.58378,-0.0356669426,-0.04643435,true,[object Object],
29-04-2015,0.07,0.08,0.07,0.08,10000,0.0779999942,0.07666976,0.08000002,0.07876648,0.07285718,0.0751604959,0.07133331,0.0736545,0.06900001,0.07402566,0.075666666,0.07476267,0.0778332055,0.07665154,0.07688882,0.07757553,74.9999847,61.0913,-0.0007003099,-0.00306245266,0,0,0,0,0,0,0,0,0,5,5.00000525,5,5,5,5.00016642,5,5.01151133,5,5.001934,5,5.05277443,5.116667,5.097641,5.133333,5.1202054,100,99.44504,-0.0381054878,-0.04926284,false,[object Object],
28-04-2015,0.07,0.08,0.07,0.08,3500,0.074,0.0750046447,0.07666669,0.07753296,0.07000004,0.073547326,0.07133331,0.0727480054,0.06900001,0.07269803,0.075666666,0.0744014755,0.0778332055,0.0765380338,0.07688882,0.07752104,74.9999847,56.45507,-0.0013942793,-0.00343329948,0,0,0,0,0,0,0,0,0,5,5.000008,5,5,5,5.00022173,5,5.013156,5,5.00236368,5.0333333,5.056414,5.116667,5.10095072,5.12222242,5.12290668,100,99.2600555,-0.04066372,-0.0521565,false,[object Object],
27-04-2015,0.07,0.08,0.07,0.08,27100,0.07000001,0.07250697,0.07666669,0.07506592,0.0671429,0.07139643,0.07133331,0.071712,0.06800001,0.0710753649,0.075666666,0.07401537,0.0778332055,0.07642068,0.07688882,0.07746533,74.9999847,50.2734337,-0.002259761,-0.003641203,0,0,0,0,0,0,0,0,0,5,5.0000124,5,5,5,5.00029564,5,5.015035,5,5.00288868,5.1,5.06030464,5.116667,5.104373,5.111111,5.12566853,100,99.0134048,-0.043337822,-0.0550912768,false,[object Object],
26-04-2015,0,0,0,0,0,0,0.06876046,0,0.07013184,0,0.06852858,0,0.070528,0,0.06909211,0,0.07360264,0,0.07629935,0,0.07740837,0,42.03125,-0.00333156437,-0.003752942,0,0,0,0,0,0,0,0,0,5,5.0000186,5,5,5,5.000394,5,5.017183,5,5.0035305,5.16666651,5.06446362,5.1,5.107911,5.111111,5.12849236,100,98.68454,-0.0461201668,-0.0580358,true,[object Object],
25-04-2015,0,0,0,0,0,0,0.06876046,0,0.07013184,0,0.06852858,0,0.070528,0,0.06909211,0,0.07360264,0,0.07629935,0,0.07740837,0,42.03125,-0.00333156437,-0.0037455915,0,0,0,0,0,0,0,0,0,5,5.00002766,5,5,5,5.00052547,5,5.01963758,5,5.004315,5.1,5.068909,5.1,5.111569,5.133333,5.1313796,100,98.24605,-0.04900074,-0.0609500147,true,[object Object],
24-04-2015,0.07,0.09,0.07,0.07,91700,0.06600001,0.06876046,0.07000002,0.07013184,0.0642857552,0.06852858,0.07133331,0.070528,0.06800001,0.06909211,0.075666666,0.07360264,0.0778332055,0.07629935,0.07688882,0.07740837,49.9999924,42.03125,-0.00333156437,-0.00362340524,0,0,0,0,0,0,0,0,0,5,5.00004148,5,5,5,5.000701,5,5.022443,5,5.005274,5.133333,5.07366133,5.116667,5.11535072,5.14444447,5.134332,100,97.66139,-0.05196476,-0.06378312,true,[object Object],
23-04-2015,0.06,0.08,0.05,0.08,1125600,0.06400001,0.06814069,0.06666669,0.07026367,0.06571432,0.0680381,0.07199998,0.07060343,0.06800001,0.0688903555,0.076,0.07385109,0.07799987,0.07651288,0.07699993,0.07757486,74.9999847,39.375,-0.003632933,-0.003351041,0,0,0,0,0,0,0,0,0,5,5.000062,5,5,5,5.0009346,5,5.025649,5,5.006446,5.16666651,5.07874155,5.116667,5.119261,5.12222242,5.137351,100,96.88186,-0.0549926758,-0.06647142,false,[object Object],
