date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000003,5,5.000001,5,5.00080538,5,5.00683641,5,5.008117,100,99.9999847,-0.000359535217,-0.00049940747,true,[object Object],
01-05-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00000334,5,5.000001,5,5.00086069,5,5.007068,5,5.0083,100,99.9999847,-0.000388622284,-0.0005394618,true,[object Object],
30-04-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000004,5,5.000001,5,5.00092,5,5.00730753,5,5.00848627,100,99.9999847,-0.0004196167,-0.000582695,true,[object Object],
29-04-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00000429,5,5.000001,5,5.000983,5,5.007555,5,5.008677,100,99.9999847,-0.000453472137,-0.000629425049,true,[object Object],
28-04-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000005,5,5.000001,5,5.001051,5,5.007811,5.0333333,5.008872,100,99.9999847,-0.000489711761,-0.00067986385,true,[object Object],
27-04-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00000572,5,5.000001,5,5.00112343,5,5.00807571,5.0333333,5.00907135,100,99.9999847,-0.0005288124,-0.0007343822,true,[object Object],
26-04-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00000668,5,5.000001,5,5.00120068,5,5.00834942,5.0333333,5.009275,100,99.9999847,-0.0005712509,-0.000793298066,true,[object Object],
25-04-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00000763,5,5.000001,5,5.00128365,5,5.00863266,5.088889,5.00948334,100,99.9999847,-0.0006170273,-0.0008568764,true,[object Object],
24-04-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00000858,5,5.000001,5,5.00137234,5,5.00892544,5.088889,5.00969648,100,99.9999847,-0.000666618347,-0.000925487955,true,[object Object],
23-04-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00001,5,5.000001,5,5.001467,5,5.009228,5.088889,5.0099144,100,99.9999847,-0.0007200241,-0.0009995566,true,[object Object],
22-04-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00001144,5,5.000001,5,5.00156832,5,5.009541,5.088889,5.010137,100,99.9999847,-0.0007777214,-0.00107950636,true,[object Object],
21-04-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00001335,5,5.000001,5,5.00167656,5,5.00986433,5.088889,5.010365,100,99.9999847,-0.0008401871,-0.00116581388,true,[object Object],
20-04-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00001526,5,5.000001,5,5.00179243,5,5.01019859,5.088889,5.01059771,100,99.9999847,-0.0009074211,-0.00125890307,true,[object Object],
19-04-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00001764,5,5.000001,5,5.001916,5,5.0105443,5.088889,5.01083565,100,99.9999847,-0.0009803772,-0.0013593568,true,[object Object],
18-04-2015,0,0,0,0,0,0,14.2252331,0,14.2223463,0,14.2112293,0,14.1496458,0,14.1864243,0,14.08225,0,14.0346384,0,14.0067682,0,70.19032,0.0775632858,0.0775632858,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00002,5,5.000001,5,5.002048,5,5.010902,5.088889,5.01107931,100,99.9999847,-0.00105905533,-0.00146775774,true,[object Object],
