date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,53.4505959,0,53.6627541,0,53.28699,0,52.2436676,0,52.9633827,0,50.2077675,0,48.01239,0,46.7850456,0,75.79639,2.01447678,2.191928,0,0,0,0,0,0,0,0,0,6,5.741969,6.66666651,5.62500858,5.714286,5.71237373,5.33333349,5.59118843,5.5,5.64796638,5.7,5.55919838,5.516667,5.542852,5.5333333,5.518743,1e-7,27.5330162,0.05559969,-0.09144068,true,[object Object],
01-05-2015,52.72,54.5,52.64,54.42,208900,53.3240051,53.4505959,53.3933144,53.6627541,53.29002,53.28699,53.1853371,52.2436676,53.182,52.9633827,49.0693245,50.2077675,46.9449921,48.01239,45.44522,46.7850456,83.38028,75.79639,2.01447678,2.23108625,0,0,0,0,0,0,0,0,0,6,6.11295366,6.66666651,6.25001669,5.714286,5.949832,5.33333349,5.675644,5.5,5.791959,5.7,5.59776354,5.516667,5.56125355,5.5333333,5.53040028,1e-7,36.71069,0.122990131,-0.118350826,false,[object Object],
30-04-2015,52.62,53.77,52.25,52.62,283200,53.1360054,52.9658966,53.03998,52.90551,53.0714531,52.90932,53.04467,51.9327621,52.965004,52.63969,48.71899,49.91727,46.77966,47.79518,45.2914429,46.613472,52.0080376,73.268425,1.99972916,2.27469134,10,10,10,1,1,10,10,10,10,6,6.66943073,6.66666651,7.50003338,5.714286,6.2664423,5.33333349,5.77216434,5.5,5.96794939,5.7,5.63898849,5.516667,5.580279,5.5333333,5.5423193,100,48.9475861,0.207215786,-0.1509765,false,[object Object],
29-04-2015,53,53.5,52.5,53.14,153600,53.1980057,53.1388435,53.1933174,53.1910172,53.0114555,53.00576,52.8553352,51.8345871,52.975,52.6440659,48.45866,49.7308769,46.65749,47.63163,45.1904449,46.4784927,71.23079,80.3552246,2.135086,2.322173,0,0,0,0,0,0,0,0,0,5,5.004146,5,5.00006676,5,5.021923,5,5.168188,5,5.071938,5.5333333,5.338229,5.4333334,5.43045759,5.5333333,5.442147,100,31.9301128,-0.197386742,-0.1904227,false,[object Object],
28-04-2015,53,54.54,52.71,53.36,323900,53.1480026,53.1382637,53.3066521,53.2420349,53.0914574,52.9610138,52.3553352,51.648098,53.0279961,52.53386,48.1673241,49.4957657,46.5149956,47.4449043,45.089222,46.3287964,84.5505753,83.3967,2.22385025,2.361356,0,0,0,0,0,0,0,0,0,5,5.006219,5,5.000134,5,5.029231,5.266667,5.192215,5,5.08792448,5.5333333,5.361555,5.4333334,5.44504929,5.5666666,5.45208263,1e-7,9.24015,-0.201844692,-0.1814349,false,[object Object],
27-04-2015,53.84,54.39,52.88,53.08,282300,52.9160042,53.0273933,53.16332,53.12407,52.932888,52.82802,51.772,51.40354,53.0509949,52.3502731,47.8563271,49.2292671,46.34666,47.2443924,44.9626656,46.17079,81.92886,83.01208,2.282402,2.37828946,0,0,0,0,0,0,0,0,0,5,5.00932837,5,5.000268,5,5.038975,5.266667,5.219674,5,5.10746336,5.5333333,5.38649,5.4333334,5.460136,5.5666666,5.46224165,1e-7,12.3202,-0.204598427,-0.16732417,true,[object Object],
26-04-2015,0,0,0,0,0,0,53.0010872,0,53.16814,0,52.7440224,0,51.1640472,0,52.18811,0,48.9637,0,47.0465736,0,46.01553,0,83.3731461,2.3524437,2.38871717,0,0,0,0,0,0,0,0,0,5,5.01399231,5,5.00053644,5,5.051966,5.266667,5.251056,5,5.13134432,5.5333333,5.413144,5.4333334,5.47573376,5.5666666,5.472629,1e-7,16.4269333,-0.20513773,-0.146879941,true,[object Object],
25-04-2015,0,0,0,0,0,0,53.0010872,0,53.16814,0,52.7440224,0,51.1640472,0,52.18811,0,48.9637,0,47.0465736,0,46.01553,0,83.3731461,2.3524437,2.39136243,0,0,0,0,0,0,0,0,0,5,5.02098846,5,5.001073,5,5.06928825,5.266667,5.2869215,5,5.160532,5.5333333,5.44163656,5.4333334,5.49186039,5.5666666,5.48325,1e-7,21.9025764,-0.202842236,-0.118649215,true,[object Object],
24-04-2015,53.11,53.5,52.43,53.48,162000,53.04,53.0010872,53.099987,53.16814,52.88146,52.7440224,51.21467,51.1640472,53.1159973,52.18811,47.515995,48.9637,46.19899,47.0465736,44.85044,46.01553,85.79388,83.3731461,2.3524437,2.39076138,0,0,0,0,0,0,0,0,0,5,5.0314827,5,5.002146,5,5.09238434,5.6,5.32791042,5,5.19620562,5.5333333,5.472094,5.4333334,5.50853348,5.5666666,5.49410963,1e-7,29.203434,-0.19696188,-0.0808906555,false,[object Object],
23-04-2015,52.61,53.36,52.07,52.93,148100,52.794,52.76163,52.67332,52.85628,52.9086,52.4986954,50.6120033,50.8331947,52.999,51.9010239,47.1489944,48.65223,46.03699,46.82849,44.742775,45.84779,81.05648,82.56624,2.3669014,2.37690639,0,0,0,0,0,0,0,0,0,5,5.047224,5,5.00429153,5,5.12317944,5.733333,5.374755,5.4,5.239807,5.5333333,5.504652,5.4333334,5.525772,5.5666666,5.50521326,37.5,38.937912,-0.186591625,-0.03152042,false,[object Object],
