date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,128.443665,0,128.194031,0,128.5122,0,128.100037,0,128.4105,0,127.201416,0,125.106667,0,122.065521,0,51.20063,0.847602844,1.011706,0,0,0,0,0,0,0,0,0,5,5.06895876,4.66666651,4.943573,5.428571,5.20486259,5.733333,5.54157639,5.5,5.36522245,5.9,5.78199959,6.0333333,5.90118265,5.94444466,5.91134,44.4444466,46.7021332,-0.294399261,-0.118787341,true,[object Object],
01-05-2015,126.1,130.13,125.3,128.95,57195000,129.189957,128.443665,127.579956,128.194031,129.414261,128.5122,127.991989,128.100037,128.903015,128.4105,126.784653,127.201416,126.66333,125.106667,121.752846,122.065521,44.5436554,51.20063,0.847602844,0.9978477,5,8,1,2,44,5,5,5,5,5.2,5.103438,4.66666651,4.88714552,5.571429,5.27315,5.8,5.61894464,5.6,5.446383,5.9,5.835931,6.05,5.931731,5.95555544,5.93182,44.4444466,47.4546967,-0.2724867,-0.08601088,false,[object Object],
30-04-2015,128.64,128.64,124.58,125.15,82475900,129.455963,128.190491,128.116623,127.438049,129.367111,128.366272,127.86866,127.978615,128.483017,128.290619,126.73632,127.080826,126.506828,124.976387,121.562065,121.910812,6.84526634,53.4196243,0.8483963,0.9619285,4,8,1,6,130,4,4,4,4,5.6,5.15515661,5,4.774291,5.571429,5.3642,5.866667,5.70736551,5.8,5.54557943,5.9666667,5.89358139,6.0666666,5.96331549,5.95555544,5.95275974,33.3333359,48.4581146,-0.240554333,-0.05423816,true,[object Object],
29-04-2015,130.16,131.59,128.3,128.64,62410800,130.359955,129.710724,130.616623,129.7261,129.618546,129.43837,127.962662,128.3827,128.585022,128.988525,126.846992,127.213989,126.398491,124.970505,121.42318,121.83802,41.46828,68.94441,1.22398376,0.908795655,5,9,2,7,148,5,5,5,5,6,5.732735,5.66666651,5.548582,5.857143,5.81893349,6,5.951275,6,5.88904142,6.0333333,6.02417326,6.1,6.0298686,5.98888874,5.996642,44.4444466,53.49971,-0.09448004,-0.0242088642,true,[object Object],
28-04-2015,134.46,134.54,129.57,130.56,118580700,130.355942,130.2461,131.163284,130.8122,129.469955,129.7045,127.759995,128.345947,128.399017,129.065979,126.793663,127.115646,126.231659,124.846115,121.209518,121.685165,60.515892,78.10312,1.33022308,0.810819864,6,10,3,10,268,6,6,6,6,6,6.099103,6.33333349,6.09716463,6,6.09191132,6.0666666,6.087171,6,6.086606,6.0333333,6.09480572,6.116667,6.06477928,5.98888874,6.01903868,55.5555573,56.51813,-0.008480072,-0.01946783,false,[object Object],
27-04-2015,132.31,133.13,131.15,132.65,84783100,129.625946,130.089142,130.866623,131.064377,128.639969,129.419342,127.456665,128.029648,127.973022,128.733978,126.606659,126.878105,126.008324,124.652428,120.944962,121.485733,94.46355,83.96553,1.25098419,0.6887097,6,10,3,10,120,6,6,6,6,6,6.14865446,6.33333349,6.19432926,6.142857,6.122548,6,6.099624,6.1,6.10585165,6.0333333,6.101344,6.08333349,6.066975,6,6.0194664,55.5555573,56.83899,-0.000407218933,-0.0244464874,true,[object Object],
26-04-2015,0,0,0,0,0,0,128.808716,0,129.47876,0,128.342453,0,127.369591,0,127.863754,0,126.480042,0,124.381325,0,121.234848,0,80.4661942,0.91885376,0.575403869,7,10,4,6,18,7,7,7,7,6,6.222982,6,6.388659,6.142857,6.16339731,6.0666666,6.11385632,6.1,6.129374,6.0333333,6.108333,6.0666666,6.06924534,5.98888874,6.01990366,66.66667,57.2668,0.009902477,-0.01913235,false,[object Object],
25-04-2015,0,0,0,0,0,0,128.808716,0,129.47876,0,128.342453,0,127.369591,0,127.863754,0,126.480042,0,124.381325,0,121.234848,0,80.4661942,0.91885376,0.499001384,6,9,3,6,27,6,6,6,6,6,5.834473,5.66666651,5.777318,5.857143,5.88452959,6.0666666,5.987264,6,5.93590164,6.0666666,6.04683876,6.0333333,6.03769445,5.98888874,5.997879,55.5555573,54.1335068,-0.0789008141,-0.0233844128,false,[object Object],
24-04-2015,130.49,130.63,129.23,130.28,44103400,128.615936,128.808716,129.5233,129.47876,127.714249,128.342453,127.103325,127.369591,127.393021,127.863754,126.304665,126.480042,125.77916,124.381325,120.67363,121.234848,94.44435,80.4661942,0.91885376,0.438729167,5,9,1,9,104,5,5,5,5,6,5.75170946,5.66666651,5.55463648,6,5.8460393,6.0666666,5.98544455,6,5.92165756,6.1,6.050069,6.05,6.03897238,6.01111126,5.99783134,44.4444466,53.65949,-0.08928013,-0.01715835,true,[object Object],
23-04-2015,128.3,130.42,128.14,129.67,45412000,127.509933,128.073074,128.399963,128.677536,127.214249,127.696609,126.772659,126.953819,127.075012,127.326813,126.110329,126.217979,125.529663,124.181366,120.445305,121.031586,87.96147,75.80681,0.7228775,0.382372528,6,9,3,5,60,6,6,6,6,6,6.127564,6.33333349,6.109273,6.142857,6.128052,6.2,6.126222,6.1,6.12647,6.16666651,6.12248755,6.08333349,6.07419157,6.0333333,6.02025461,55.5555573,56.73117,0.0005888939,-0.008962101,true,[object Object],
22-04-2015,126.99,128.87,126.32,128.62,37393900,126.809937,127.274612,127.709961,127.685074,126.732826,127.038818,126.411324,126.565796,126.764,126.806107,125.862663,125.979912,125.1875,123.995308,120.244751,120.837463,95.667244,71.75525,0.524330139,0.345222473,6,9,2,2,31,6,6,6,6,6.2,6.19134569,6.33333349,6.218546,6.142857,6.17073631,6.133333,6.14425373,6,6.15457439,6.16666651,6.13093472,6.0666666,6.07670641,6.0333333,6.02071,55.5555573,57.12304,0.0134677887,-0.009683503,true,[object Object],
21-04-2015,128.1,128.2,126.67,126.91,32274400,126.44194,126.601921,126.41996,126.750153,126.479965,126.511765,126.131989,126.272339,126.462,126.403023,125.72567,125.797836,124.928833,123.838539,120.059525,120.662575,69.65263,63.784584,0.3702011,0.3316574,7,10,3,3,39,7,7,7,7,6.2,6.2870183,6,6.43709135,6.142857,6.22764826,6.133333,6.16486168,6.1,6.18892431,6.16666651,6.13996458,6.0666666,6.0793066,6.0333333,6.02117538,66.66667,57.64553,0.02970934,-0.0104635023,false,[object Object],
20-04-2015,125.57,128.12,125.17,127.6,46934400,126.319946,126.447876,126.1733,126.5903,126.507095,126.379013,126.095985,126.181244,126.371994,126.290359,125.73333,125.721138,124.696663,123.734421,119.917412,120.522186,82.26678,61.8285675,0.342201233,0.3302909,6,10,2,4,25,6,6,6,6,6,5.930527,6,5.8741827,6,5.97019768,6.133333,6.045556,6.1,6.008685,6.133333,6.08065176,6.0333333,6.04809666,6.01111126,5.99917936,55.5555573,54.63848,-0.05181074,0.000006304847,true,[object Object],
