date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,20.2171078,0,20.0023842,0,20.446867,0,21.1247787,0,20.74207,0,21.8899975,0,22.6208115,0,22.8787537,0,17.75598,-0.8156414,-0.612081945,0,0,0,0,0,0,0,0,0,3.8,4.353955,4.66666651,4.58427143,3.71428561,4.35276031,5.133333,4.687483,4.6,4.474096,5.2,5.048529,5.41666651,5.31384563,5.633333,5.43003035,44.4444466,37.1697769,-0.415373325,-0.235697374,true,[object Object],
01-05-2015,19.93,20.11,19.82,19.98,27346000,19.9580021,20.2171078,19.9266682,20.0023842,20.5371513,20.446867,21.371336,21.1247787,21.012,20.74207,22.065,21.8899975,23.2143421,22.6208115,23.4991055,22.8787537,11.3636494,17.75598,-0.8156414,-0.5649327,0,0,0,0,0,0,0,0,0,3.2,4.030932,3.66666675,4.168543,3.71428561,4.13701344,5.0666666,4.64283752,4.8,4.35722828,5.2,5.051876,5.5,5.32448435,5.633333,5.439694,44.4444466,34.74489,-0.4928689,-0.13993226,false,[object Object],
30-04-2015,19.92,19.92,19.65,19.79,33158200,20.3220024,20.3356628,19.9466686,20.0247669,20.8700085,20.60249,21.5393353,21.2883186,21.163,20.9114189,22.2016678,22.02172,23.2750072,22.710331,23.55366,22.9438934,5.19486237,19.8867569,-0.7863941,-0.5206604,4,9,1,0,3,4,4,4,4,3.2,3.546398,3,3.33708572,3.71428561,3.84935141,5,4.591814,4.8,4.21439028,5.2,5.055454,5.5,5.335484,5.6,5.44957447,33.3333359,31.5117,-0.584612846,-0.0722315,true,[object Object],
29-04-2015,19.95,20.01,19.63,20.01,31243000,20.798,20.6084938,20.0066681,20.2595329,21.2271519,20.8733177,21.7206688,21.5023651,21.372,21.1606236,22.3543358,22.1756325,23.3360062,22.8093243,23.61166,23.0147667,12.337697,24.7840538,-0.7182789,-0.484219223,2,2,1,0,2,2,2,2,2,3.4,3.319597,2.33333325,2.67417169,4.571429,3.79913521,5.0666666,4.676359,5.1,4.26203251,5.3,5.12824345,5.516667,5.38075447,5.6,5.482149,11.1111116,30.9044876,-0.591389656,-0.00739632733,false,[object Object],
28-04-2015,20.13,20.49,19.99,20.04,55671600,21.258,20.90774,20.6033344,20.5090656,21.4771519,21.1610889,21.8786678,21.71556,21.6260014,21.416317,22.4943352,22.3249855,23.3835068,22.9042168,23.6611023,23.0822887,13.0293665,28.9328384,-0.6432915,-0.460227132,3,6,1,4,29,3,3,3,3,4,3.97939563,3.33333325,3.34834337,5.285714,4.398847,5.33333349,5.05869627,5.4,4.764706,5.4,5.343984,5.5666666,5.49535656,5.62222242,5.56039953,22.2222233,37.50228,-0.38780117,0.06415139,true,[object Object],
27-04-2015,20.53,20.55,19.64,19.97,218115400,21.708,21.34161,21.3133335,20.97813,21.6842937,21.5347843,22.008667,21.9549255,21.842001,21.7221642,22.6453362,22.48257,23.430172,23.0013084,23.7034378,23.1506538,10.7491846,34.2339973,-0.541278839,-0.4439886,2,5,1,10,49,2,2,2,2,5.4,4.46909332,4,3.69668674,5.571429,4.86512947,5.66666651,5.3527956,5.8,5.156863,5.4666667,5.505638,5.6,5.579945,5.677778,5.61793661,11.1111116,42.5956345,-0.224125385,0.0979735553,true,[object Object],
26-04-2015,0,0,0,0,0,0,22.0274143,0,21.9862614,0,22.05638,0,22.2384872,0,22.1115341,0,22.6558514,0,23.1040649,0,23.22213,0,42.0622673,-0.39607048,-0.4390848,0,0,0,0,0,0,0,0,0,6.4,5.70364046,5,5.39337349,6.285714,5.82017231,5.866667,5.831766,6,5.85838842,5.733333,5.74740648,5.65,5.701299,5.766667,5.699239,44.4444466,53.090477,0.08986235,0.1170916,true,[object Object],
25-04-2015,0,0,0,0,0,0,22.0274143,0,21.9862614,0,22.05638,0,22.2384872,0,22.1115341,0,22.6558514,0,23.1040649,0,23.22213,0,42.0622673,-0.39607048,-0.450315267,0,0,0,0,0,0,0,0,0,6.4,6.055461,6.66666651,5.786747,6.285714,6.093563,5.866667,5.95058966,5.9,6.04914141,5.733333,5.79895163,5.65,5.725072,5.766667,5.714952,44.4444466,55.9724846,0.18386364,0.08322435,true,[object Object],
24-04-2015,22.27,22.35,21.75,21.8,14286800,22.066,22.0274143,22.0933323,21.9862614,21.9571514,22.05638,22.1546669,22.2384872,22.078001,22.1115341,22.78767,22.6558514,23.4910049,23.1040649,23.741436,23.22213,32.0894737,42.0622673,-0.39607048,-0.456949443,0,0,0,0,0,0,0,0,0,6.8,6.58319139,7.33333349,6.573494,6.571429,6.458084,5.866667,6.086388,5.9,6.282284,5.733333,5.85405159,5.65,5.74965048,5.766667,5.73101854,44.4444466,59.8151627,0.301168919,0.05010001,true,[object Object],
23-04-2015,22.14,22.24,21.95,22.17,9194900,22.004,22.14112,22.2566662,22.1725235,22.0642948,22.14184,22.186,22.3011284,22.148,22.1807652,22.8533382,22.7148762,23.5173378,23.14827,23.7621021,23.2540874,59.7015152,45.38653,-0.3912983,-0.461392522,10,10,10,1,1,10,10,10,10,6.8,7.37478733,7.33333349,8.146988,6.428571,6.944112,5.866667,6.241586,6,6.56723547,5.633333,5.912952,5.65,5.77506256,5.822222,5.747446,100,64.938736,0.4465127,0.01840565,true,[object Object],
