date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,11.9160738,0,12.0342236,0,11.8676682,0,11.8810291,0,11.85169,0,12.1070452,0,12.5437565,0,12.7633333,0,53.0807877,-0.178632736,-0.253544927,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999998,5,4.999999,5,4.999968,5,4.999268,5,4.998796,100,99.9999847,0.00001001358,0.0000143580965,true,[object Object],
01-05-2015,12.22,12.33,11.97,12.27,48408,11.7739973,11.9160738,11.9666557,12.0342236,11.7057123,11.8676682,11.852005,11.8810291,11.7740021,11.85169,12.0170012,12.1070452,12.857666,12.5437565,13.40245,12.7633333,84.6667,53.0807877,-0.178632736,-0.261301249,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999998,5,4.999999,5,4.99996567,5,4.99924326,5,4.998769,100,99.9999847,0.0000109672546,0.0000156296628,false,[object Object],
30-04-2015,11.64,12.43,11.64,12,61953,11.5979977,11.73911,11.7766562,11.7984476,11.6442823,11.7335577,11.8506718,11.8254614,11.6990013,11.7587328,12.0083351,12.0958071,12.8893318,12.5530367,13.4328938,12.77442,66.66667,42.55215,-0.234855652,-0.268150747,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999998,5,4.999999,5,4.99996328,5,4.99921751,5,4.998741,100,99.9999847,0.000011920929,0.0000170071926,false,[object Object],
29-04-2015,11.52,11.77,11.52,11.63,19759,11.5339975,11.6086655,11.5333223,11.5968952,11.6328535,11.6447439,11.860671,11.8005276,11.7060013,11.7051182,12.0053358,12.1024141,12.9279985,12.571784,13.4643383,12.7918224,42.0000076,34.5139771,-0.2757101,-0.269017428,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999998,5,4.999999,5,4.999961,5,4.999191,5,4.998713,100,99.9999847,0.0000128746033,0.0000184906858,false,[object Object],
28-04-2015,11.33,11.76,11.24,11.7,32538,11.5759974,11.5979977,11.4533224,11.5637894,11.6914263,11.6496582,11.8933372,11.8248892,11.7460012,11.7218113,12.0090017,12.1349945,12.9654989,12.6037092,13.49656,12.8179312,46.6666565,32.01863,-0.2861719,-0.26619488,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999998,5,4.999999,5,4.999958,5,4.999163,5,4.998684,100,99.9999847,0.0000138282776,0.0000200801423,false,[object Object],
27-04-2015,11.35,11.6,11,11.27,113845,11.619997,11.5469961,11.4466553,11.4275789,11.6657124,11.6328773,11.9140034,11.8427305,11.7910023,11.7266579,12.0176678,12.1649942,12.9996653,12.6343431,13.5174494,12.8430529,18.00003,27.1359558,-0.302490234,-0.264248,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999998,5,4.999999,5,4.999955,5,4.99913454,5,4.99865437,100,99.9999847,0.0000152587891,0.0000218285459,true,[object Object],
26-04-2015,0,0,0,0,0,0,11.6854935,0,11.5851574,0,11.7538357,0,11.9245491,0,11.8281374,0,12.2267179,0,12.6805916,0,12.8784027,0,30.181263,-0.275136948,-0.260487974,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999998,5,4.999999,5,4.999952,5,4.999105,5,4.99862432,100,99.9999847,0.0000166893,0.0000236829128,true,[object Object],
25-04-2015,0,0,0,0,0,0,11.6854935,0,11.5851574,0,11.7538357,0,11.9245491,0,11.8281374,0,12.2267179,0,12.6805916,0,12.8784027,0,30.181263,-0.275136948,-0.2597672,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999998,5,4.999999,5,4.9999485,5,4.99907446,5,4.99859333,100,99.9999847,0.000018119812,0.0000256962248,true,[object Object],
24-04-2015,11.65,11.68,11.24,11.39,33642,11.7739973,11.6854935,11.6366549,11.5851574,11.7799988,11.7538357,11.9740028,11.9245491,11.8910017,11.8281374,12.0393353,12.2267179,13.0534983,12.6805916,13.5392265,12.8784027,11.9048052,30.181263,-0.275136948,-0.25533092,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999998,5,4.999999,5,4.999945,5,4.999043,5,4.998562,100,99.9999847,0.0000195503235,0.000027868482,true,[object Object],
23-04-2015,11.73,11.91,11.47,11.68,22483,11.7999973,11.83324,11.8133211,11.7803154,11.8714275,11.8751135,12.03867,12.0009136,11.9770021,11.9255009,12.0593348,12.2844229,13.095664,12.72434,13.558671,12.91185,20.38836,36.2734146,-0.248439789,-0.251994342,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999998,5,4.999999,5,4.99994135,5,4.99901056,5,4.99852943,100,99.9999847,0.0000214576721,0.0000302526678,true,[object Object],
