date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,49.07129,0,49.3027763,0,48.91396,0,48.5255928,0,48.74173,0,48.13702,0,48.10705,0,48.53619,0,81.9239349,0.4400406,0.329032063,0,0,0,0,0,0,0,0,0,5.4,5.13676929,4.33333349,5.00634766,5.285714,5.21098,5.33333349,5.24536371,5.3,5.252356,5,5.179512,5.08333349,5.1993413,5.366667,5.25160837,44.4444466,47.7450676,0.0655055046,0.163861647,true,[object Object],
01-05-2015,48.91,49.93,48.91,49.78,4619600,49.00002,49.07129,49.2033539,49.3027763,48.7828369,48.91396,48.44601,48.5255928,48.582,48.74173,47.916008,48.13702,47.59865,48.10705,48.19141,48.53619,93.56217,81.9239349,0.4400406,0.30991447,0,0,0,0,0,0,0,0,0,5.4,5.205154,5.66666651,5.01269531,5.285714,5.28130674,5.33333349,5.28041553,5.3,5.308435,5,5.191892,5.0333333,5.20609856,5.366667,5.25726271,44.4444466,48.8452759,0.0967855453,0.133378878,false,[object Object],
30-04-2015,48.88,49.43,48.66,48.88,4186700,48.6860161,48.7169342,48.87002,48.8255539,48.54284,48.62528,48.3246841,48.3463936,48.432,48.511,47.80634,48.0237122,47.53815,48.0503426,48.21875,48.50824,69.94543,78.04452,0.359992981,0.290747762,3,3,2,5,2,3,3,3,3,5.4,5.30773067,5.66666651,5.02539063,6,5.375076,5.33333349,5.320475,5.5,5.376976,4.9333334,5.20512629,5.0333333,5.213085,5.366667,5.263044,22.2222233,50.3122177,0.135302544,0.137784272,true,[object Object],
29-04-2015,48.69,49.15,48.44,48.95,3183200,48.56402,48.6354,48.7800179,48.7711029,48.40855,48.54037,48.25935,48.2701645,48.374,48.429,47.74934,47.9646568,47.53615,48.0222168,48.2440872,48.4998856,87.09675,80.74422,0.344223022,0.281903148,9,9,9,2,1,9,9,9,9,5.8,6.46159649,6.33333349,7.050781,5.714286,6.1667676,5.4666667,5.65197134,5.7,5.905193,4.866667,5.357204,5.0666666,5.288105,5.366667,5.313899,88.88889,59.67555,0.38613224,0.141403034,true,[object Object],
28-04-2015,48.45,48.81,48.32,48.78,2267900,48.39402,48.4781,48.53335,48.5922,48.3156929,48.4038277,48.2180176,48.1730461,48.3189964,48.3132248,47.6593437,47.8967,47.52315,47.9907646,48.25175,48.48977,97.5204544,78.6267,0.311962128,0.277990133,0,0,0,0,0,0,0,0,0,6,5.19239473,5,5.10156155,5.142857,5.222357,5.2,5.17368174,5.3,5.217458,4.9,5.10597658,5,5.162278,5.322222,5.23106527,44.4444466,49.937767,0.08975649,0.0987126,false,[object Object],
27-04-2015,48.35,48.75,48.3,48.61,2488800,48.22602,48.3271523,48.3633537,48.4044037,48.2442627,48.27844,48.17668,48.086338,48.2419968,48.2095,47.5830078,47.8357849,47.4873161,47.9640121,48.25775,48.4832458,87.82616,72.32878,0.2835579,0.277147919,0,0,0,0,0,0,0,0,0,5.2,5.288592,5,5.20312357,5.428571,5.29647541,5.2,5.19849348,5.3,5.265782,4.9,5.113285,5,5.167779,5.322222,5.23625755,44.4444466,51.7688751,0.117440224,0.08804083,false,[object Object],
26-04-2015,0,0,0,0,0,0,48.18573,0,48.1988029,0,48.16792,0,48.011528,0,48.1205,0,47.78239,0,47.9421158,0,48.4803963,0,67.1629944,0.260490417,0.279461741,0,0,0,0,0,0,0,0,0,5.2,5.43288755,6.66666651,5.406247,5.428571,5.395301,5.2,5.22684956,5.3,5.32484436,4.9,5.121098,5,5.173466,5.322222,5.24156666,44.4444466,54.21035,0.15106678,0.07313924,true,[object Object],
25-04-2015,0,0,0,0,0,0,48.18573,0,48.1988029,0,48.16792,0,48.011528,0,48.1205,0,47.78239,0,47.9421158,0,48.4803963,0,67.1629944,0.260490417,0.284338623,0,0,0,0,0,0,0,0,0,5.6,5.64933157,5.33333349,5.81249428,5.428571,5.52706766,5.2,5.25925636,5.3,5.39703226,4.9,5.12945,5.05,5.17934656,5.322222,5.246995,44.4444466,57.4656525,0.19178915,0.05305555,true,[object Object],
24-04-2015,48.39,48.59,48.1,48.21,2741100,48.16402,48.18573,48.1933479,48.1988029,48.1999741,48.16792,48.1580162,48.011528,48.169,48.1205,47.50601,47.78239,47.4758148,47.9421158,48.27131,48.4803963,61.70206,67.1629944,0.260490417,0.288294047,10,10,10,5,2,10,10,10,10,5.6,5.973997,5.33333349,6.62498856,5.428571,5.702757,5.2,5.29629326,5.3,5.485262,4.9,5.138377,5.08333349,5.185426,5.322222,5.25254536,100,61.8060532,0.240976334,0.0266497936,false,[object Object],
23-04-2015,47.93,48.54,47.85,48.27,2254100,48.17802,48.1735954,48.10335,48.1876068,48.2271156,48.1538925,48.10068,47.9831772,48.1439972,48.10061,47.45368,47.7529,47.4638138,47.9330368,48.2895355,48.4864731,65.95747,68.98331,0.267982483,0.2903684,1,1,1,5,2,1,1,1,1,4.6,3.9609952,4.33333349,3.24997663,4.714286,4.270343,4.866667,4.62433529,4.8,4.481987,4.733333,4.803093,5.05,5.02222,5.266667,5.145861,1e-7,49.0747375,-0.208839417,-0.00744115,false,[object Object],
