date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,69.95251,0,68.76967,0,70.81419,0,72.3638458,0,71.65845,0,72.20903,0,68.99508,0,65.0346756,0,21.3446312,-0.427078247,0.6111416,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.99998856,5,4.999999,5,5.00076532,5,5.01507044,5.0333333,5.039655,100,99.9999847,-0.0002579689,-0.000359323283,true,[object Object],
01-05-2015,67.8,68.17,66.5,67.83,139900,70.43601,69.95251,68.59999,68.76967,71.76855,70.81419,73.53335,72.3638458,72.7240143,71.65845,73.21166,72.20903,69.51534,68.99508,64.323555,65.0346756,12.53536,21.3446312,-0.427078247,0.820862651,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999987,5,4.999999,5,5.00081825,5,5.015581,5.0333333,5.04054642,100,99.9999847,-0.000278949738,-0.000388463348,false,[object Object],
30-04-2015,70.21,70.47,67.04,67.31,212700,71.718,71.0137558,70.29333,69.7093353,72.95569,71.80892,74.11802,73.0115356,73.25401,72.50922,73.41233,72.51103,69.3006744,69.03458,64.1098862,64.97186,2.618785,24.2810555,-0.034576416,1.03174591,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999985,5,4.999999,5,5.00087452,5,5.01610947,5.0333333,5.04145765,100,99.9999847,-0.000301361084,-0.000420040567,true,[object Object],
29-04-2015,72.53,73.31,70.63,70.66,107700,73.4480057,72.86564,72.34666,72.10867,74.01855,73.30856,74.59269,73.82604,74.13701,73.6646,73.63466,72.86973,69.0955048,69.09303,63.9017754,64.91932,0.446523875,31.501812,0.5198517,1.19608736,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.99998331,5,4.999999,5,5.0009346,5,5.01665545,5.0333333,5.04238939,100,99.9999847,-0.000325679779,-0.000454266876,true,[object Object],
28-04-2015,73.16,74.75,72.05,72.91,117300,74.54401,73.96845,73.5399857,73.55735,74.4914,74.1914139,74.90869,74.2783356,74.68501,74.33228,73.7273254,73.0221252,68.8165054,69.03992,63.63766,64.79031,16.22644,41.8535728,0.878852844,1.308476,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999981,5,4.999999,5,5.000999,5,5.01722,5.0333333,5.043342,100,99.9999847,-0.000351905823,-0.0004913542,true,[object Object],
27-04-2015,74.25,74.95,72.06,73.47,120100,74.912,74.49767,74.5566559,74.2047,74.52283,74.61855,74.937355,74.47381,74.8630142,74.6483459,73.67733,73.02986,68.5295,68.90873,63.327774,64.60785,26.65413,50.39595,1.095192,1.39964211,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999978,5,4.999999,5,5.001068,5,5.01780367,5.0333333,5.04431629,100,99.9999847,-0.000380516052,-0.0005315675,true,[object Object],
26-04-2015,0,0,0,0,0,0,75.0115051,0,74.93939,0,75.0014,0,74.61721,0,74.9102,0,72.9995041,0,68.75411,0,64.4087,0,58.30989,1.29837036,1.46677065,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999975,5,4.999999,5,5.00114155,5,5.01840734,5.0333333,5.045312,100,99.9999847,-0.000411510468,-0.000575171551,true,[object Object],
25-04-2015,0,0,0,0,0,0,75.0115051,0,74.93939,0,75.0014,0,74.61721,0,74.9102,0,72.9995041,0,68.75411,0,64.4087,0,58.30989,1.29837036,1.51132369,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.99997139,5,4.99999857,5,5.00122,5,5.01903152,5.0333333,5.04633,100,99.99998,-0.000444889069,-0.0006224844,true,[object Object],
24-04-2015,76.33,76.33,73.55,74.24,113200,75.01201,75.0115051,75.4466553,74.93939,74.90426,75.0014,75.0333557,74.61721,75.082016,74.9102,73.60899,72.9995041,68.2541656,68.75411,63.01444,64.4087,31.7981949,58.30989,1.29837036,1.586458,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.99996758,5,4.999998,5,5.001304,4.9666667,5.01967669,5.0333333,5.047371,100,99.99997,-0.0004811287,-0.000673876842,true,[object Object],
23-04-2015,76.15,76.82,75.55,75.96,97000,74.79001,75.39726,75.61666,75.63878,75.1757,75.25521,74.95535,74.6711,75.3180161,75.0591354,73.635994,72.9139557,67.93367,68.56815,62.7064362,64.1877747,73.16604,67.1471252,1.46041107,1.66338181,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999963,5,4.99999762,5,5.00139427,4.9666667,5.020344,5.0333333,5.048435,100,99.9999542,-0.00052022934,-0.0007296668,true,[object Object],
22-04-2015,74.82,76.2,74.26,76.14,71000,74.82601,75.1159,74.95332,75.3175659,74.99426,75.02028,74.7440262,74.48697,75.1650162,74.85894,73.51199,72.70388,67.576004,68.31758,62.38344,63.923233,78.31544,65.1408157,1.470871,1.72136772,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.99995756,5,4.999997,5,5.00149059,4.9666667,5.02103329,5.0333333,5.049524,100,99.99994,-0.0005631447,-0.000790278136,false,[object Object],
21-04-2015,74.5,74.94,73.67,74.75,100000,74.826004,74.60384,73.94999,74.49513,74.9257,74.64703,74.58135,74.250824,75.09102,74.57426,73.3,72.4669,67.22283,68.0524139,62.0427666,63.6487,53.40506,60.7492752,1.44449615,1.790201,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.99995136,5,4.99999666,5,5.00159359,4.9666667,5.021746,5.0333333,5.050637,100,99.9999161,-0.0006093979,-0.000856081664,false,[object Object],
20-04-2015,73.81,74.6,73.23,73.97,125500,74.81401,74.53076,74.41332,74.2402649,75.18998,74.61272,74.45003,74.17951,74.95001,74.5352,73.195,72.30945,66.89467,67.82538,61.7334366,63.3992348,40.1770554,63.19735,1.53134918,1.86294043,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.99994469,5,4.99999571,5,5.00170326,4.91666651,5.02248335,5.0333333,5.0517745,100,99.9998856,-0.0006594658,-0.0009276602,false,[object Object],
19-04-2015,0,0,0,0,0,0,74.81114,0,74.51053,0,74.82695,0,74.20944,0,74.6608047,0,72.19492,0,67.61709,0,63.16169,0,70.87078,1.69934845,1.92602968,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.99993658,5,4.99999475,5,5.00182056,5,5.02324533,5.088889,5.052938,100,99.99985,-0.0007138252,-0.00100554363,true,[object Object],
18-04-2015,0,0,0,0,0,0,74.81114,0,74.51053,0,74.82695,0,74.20944,0,74.6608047,0,72.19492,0,67.61709,0,63.16169,0,70.87078,1.69934845,1.97045219,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.99992752,5,4.999994,5,5.001946,5,5.024033,5.088889,5.05412769,100,99.9998,-0.000772953033,-0.00109036767,true,[object Object],
17-04-2015,75.34,75.59,72.79,73.13,105200,75.15201,74.81114,75.13666,74.51053,75.25569,74.82695,74.32336,74.20944,75.04402,74.6608047,73.03433,72.19492,66.57534,67.61709,61.41988,63.16169,41.1436234,70.87078,1.69934845,2.00209379,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999917,5,4.99999237,5,5.00208,5,5.02484751,5.088889,5.055344,100,99.99974,-0.00083732605,-0.001182768,true,[object Object],
16-04-2015,75.76,76.94,75.25,76.14,80500,75.84601,75.65171,75.6566544,75.89105,75.57998,75.3926,74.15736,74.36365,75.03802,75.0009842,72.97534,72.13043,66.23801,67.43021,61.12677,62.9376831,86.2029648,80.77983,1.97457886,2.038765,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999905,5,4.999991,5,5.00222349,5,5.0256896,5.088889,5.0565877,100,99.99965,-0.0009074211,-0.00128343375,false,[object Object],
15-04-2015,75.29,77.1,74.2,76.14,110100,75.5040054,75.40757,75.49666,75.64211,75.179985,75.14347,73.71935,74.10988,74.70302,74.74787,72.8013458,71.85391,65.86101,67.13496,60.8049927,62.6410027,86.2029648,78.9721146,1.99068451,2.03702044,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.99989176,5,4.999989,5,5.002377,5,5.02656031,5.088889,5.05785942,100,99.99953,-0.0009832382,-0.00139326521,false,[object Object],
14-04-2015,75.66,76.66,74.6,74.69,145600,75.356,75.04136,75.6499939,75.1442261,75.00427,74.8112946,73.3720245,73.81986,74.4590149,74.43851,72.59068,71.55832,65.46651,66.8297043,60.47321,62.3376541,69.66936,76.56183,1.98228455,2.04362655,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.9998765,5,4.99998665,5,5.002541,5,5.02746058,5.088889,5.05915976,100,99.99937,-0.001065731,-0.00151316321,true,[object Object],
13-04-2015,76.96,77.11,75.57,75.66,73600,75.0860062,75.21704,75.563324,75.59844,74.77284,74.85173,73.05068,73.69556,74.26802,74.38262,72.4673538,71.34234,65.07168,66.5632553,60.1629868,62.0600739,80.88241,78.859314,2.09037018,2.04303312,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999859,5,4.999984,5,5.00271654,5,5.02839136,5.088889,5.060489,100,99.99915,-0.00115537643,-0.00164418749,true,[object Object],
12-04-2015,0,0,0,0,0,0,74.99556,0,75.53688,0,74.5823059,0,73.4149246,0,74.09876,0,71.04457,0,66.25489,0,61.7544556,0,78.1849442,2.09915161,2.03043032,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999839,5,4.99998045,5,5.002904,5,5.02935362,5.088889,5.06184864,100,99.99887,-0.00125360489,-0.0017875036,true,[object Object],
11-04-2015,0,0,0,0,0,0,74.99556,0,75.53688,0,74.5823059,0,73.4149246,0,74.09876,0,71.04457,0,66.25489,0,61.7544556,0,78.1849442,2.09915161,2.01685166,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999816,5,4.999976,5,5.003104,5,5.030349,5.088889,5.06323862,100,99.99849,-0.00136041641,-0.001944436,true,[object Object],
10-04-2015,74.93,77.35,74.57,76.6,105100,74.9360046,74.99556,75.4766541,75.53688,74.36285,74.5823059,72.8900146,73.4149246,73.90901,74.09876,72.26402,71.04457,64.66834,66.25489,59.84221,61.7544556,91.51583,78.1849442,2.09915161,2.003273,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.99978971,5,4.999971,5,5.00331831,5.05,5.03137732,5.088889,5.0646596,100,99.9979858,-0.00147724152,-0.00211641518,false,[object Object],
09-04-2015,75.15,75.74,74.19,74.43,101100,74.23,74.1933441,74.3899841,74.4737549,73.94856,73.90974,72.70668,72.9599152,73.31302,73.54293,71.97902,70.66144,64.25551,65.9042053,59.5357628,61.42085,79.03871,73.74132,1.98412323,1.99693549,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.99999857,5,4.99975967,5,4.99996471,5,5.003547,5.05,5.032441,5.088889,5.06611252,100,99.9973145,-0.001604557,-0.002305084,true,[object Object],
08-04-2015,73.18,75.5,73.02,75.4,157400,73.90201,74.07501,74.54999,74.51752,73.7128448,73.73631,72.6766739,72.7499,72.82702,73.3458,71.72569,70.401535,63.8933449,65.6152,59.2643166,61.12851,91.98934,71.9755249,2.02938843,2.01248837,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999998,5,4.99972534,5,4.999957,5,5.003792,5.05,5.03354073,5.088889,5.06759834,100,99.9964142,-0.00174331665,-0.002512349,false,[object Object],
07-04-2015,75,76,73.15,73.34,136700,73.5620041,73.41251,73.77332,73.63503,73.23713,73.18175,72.54601,72.371315,72.38002,72.88931,71.45136,70.0568161,63.542347,65.28351,58.9818726,60.8078,64.4859161,65.30425,1.95887756,2.02091122,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.99999762,5,4.99968624,5,4.99994755,5,5.004053,5.05,5.03467751,5.088889,5.06911755,100,99.995224,-0.00189590454,-0.00274043623,true,[object Object],
06-04-2015,73.19,75.69,72.9,74.91,138200,73.4500046,73.44878,73.58999,73.93007,72.8514252,73.129,72.41735,72.23293,72.03302,72.78916,71.21502,69.83039,63.2563438,65.01041,58.72132,60.5261765,89.1365051,65.577034,2.05014038,2.041493,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.99999666,5,4.99964142,5,4.99993563,5,5.00433254,5.05,5.035853,5.088889,5.0706706,100,99.99364,-0.00206232071,-0.00299162325,false,[object Object],
05-04-2015,0,0,0,0,0,0,72.71816,0,72.9501343,0,72.5353241,0,71.8504944,0,72.31786,0,69.48007,0,64.67483,0,60.2029457,0,57.723877,1.976944,2.05193424,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.99999571,5,4.9995904,5,4.99992132,5,5.00463152,5.05,5.03706837,5.088889,5.072259,100,99.9915161,-0.00224494934,-0.00326871872,true,[object Object],
04-04-2015,0,0,0,0,0,0,72.71816,0,72.9501343,0,72.5353241,0,71.8504944,0,72.31786,0,69.48007,0,64.67483,0,60.2029457,0,57.723877,1.976944,2.07050824,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.99999428,5,4.99953175,5,4.99990368,5,5.004951,5.05,5.038325,5.088889,5.07388258,100,99.98869,-0.002445221,-0.00357484818,true,[object Object],
03-04-2015,0,0,0,0,0,0,72.71816,0,72.9501343,0,72.5353241,0,71.8504944,0,72.31786,0,69.48007,0,64.67483,0,60.2029457,0,57.723877,1.976944,2.09916949,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.99999237,5,4.999465,5,4.999882,5,5.00529242,5.05,5.039624,5.088889,5.075543,100,99.9849243,-0.00266599655,-0.00391361443,true,[object Object],
02-04-2015,73.06,73.82,72.17,73.07,148100,72.882,72.71816,73.18665,72.9501343,72.08857,72.5353241,72.1846848,71.8504944,71.86702,72.31786,70.9476852,69.48007,62.9068451,64.67483,58.43588,60.2029457,64.31594,57.723877,1.976944,2.1532712,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.99999,5,4.99938869,5,4.999856,5,5.005657,5.05,5.04096746,5.088889,5.07724047,100,99.9799042,-0.00290822983,-0.004289044,false,[object Object],
01-04-2015,73.59,74.16,71.77,72.79,213000,72.396,72.542244,73.08999,72.83026,71.78285,72.3571,72.31668,71.67628,71.945015,72.15073,70.79968,69.23249,62.6025124,64.39024,58.1531029,59.9138,60.3667259,55.52652,2.04211426,2.24796724,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.99998665,5,4.99930143,5,4.999824,5,5.00604725,5.05,5.042356,5.088889,5.078976,100,99.9732056,-0.00317525864,-0.004705906,true,[object Object],
31-03-2015,72.58,74.62,72.58,73.7,304900,71.752,72.4183655,72.84998,72.8705139,71.36571,72.2128,72.280014,71.51717,72.06401,72.00867,70.28768,68.9871445,62.3021774,64.10551,57.8758774,59.6244469,73.20166,53.9131165,2.12409973,2.36727738,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999982,5,4.999202,5,4.999785,5,5.00646448,5.05,5.043792,5.088889,5.080751,100,99.96428,-0.003469944,-0.00516955042,false,[object Object],
30-03-2015,72.13,74.07,71.7,72.78,153800,71.1980057,71.77755,71.82999,72.04102,71.30142,71.7170639,72.0186844,71.2053452,72.03801,71.63282,69.72768,68.66212,61.99501,63.78027,57.6057663,59.3081436,60.2256546,47.4836,2.105194,2.52509212,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.99997568,5,4.999088,5,4.99973726,5,5.00691032,5.05,5.045276,5.088889,5.082566,100,99.95237,-0.00379610062,-0.005686177,false,[object Object],
29-03-2015,0,0,0,0,0,0,71.27632,0,71.30205,0,71.3627548,0,70.98039,0,71.37789,0,68.37813,0,63.475193,0,59.0054054,0,43.236248,2.14411163,2.68500781,0,0,0,0,0,0,0,0,0,5,4.999999,5,5,5,4.99996758,5,4.99895763,5,4.999679,5,5.00738668,5.05,5.046811,5.088889,5.084421,100,99.93649,-0.00415658951,-0.00626283232,true,[object Object],
28-03-2015,0,0,0,0,0,0,71.27632,0,71.30205,0,71.3627548,0,70.98039,0,71.37789,0,68.37813,0,63.475193,0,59.0054054,0,43.236248,2.14411163,2.840599,0,0,0,0,0,0,0,0,0,5,4.99999857,5,5,5,4.999957,5,4.998809,5,4.999608,5,5.007896,5.05,5.048398,5.088889,5.08631849,100,99.91532,-0.004556179,-0.006907728,true,[object Object],
27-03-2015,71.02,72.35,70.18,72.07,157600,70.6160049,71.27632,70.75999,71.30205,71.45428,71.3627548,71.94002,70.98039,71.90101,71.37789,69.21068,68.37813,61.703846,63.475193,57.3382149,59.0054054,50.2115555,43.236248,2.14411163,3.01299715,0,0,0,0,0,0,0,0,0,5,4.99999762,5,5,5,4.999943,5,4.99863863,5,4.999521,5,5.00844049,5.05,5.050039,5.088889,5.08825827,100,99.88709,-0.00500011444,-0.00763040129,false,[object Object],
26-03-2015,69.52,70.82,68.58,70.64,239300,70.852005,70.87948,70.37999,70.5340958,71.7271347,71.12701,71.74535,70.82473,71.8360062,71.22409,68.62668,68.12352,61.41801,63.1838455,57.1009979,58.71182,30.04229,40.9111443,2.2348938,3.19408584,0,0,0,0,0,0,0,0,0,5,4.99999666,5,5,5,4.99992371,5,4.998444,5,4.99941444,5,5.00902271,5.05,5.051735,5.088889,5.09024143,100,99.84946,-0.00549411774,-0.008441819,false,[object Object],
25-03-2015,71.25,71.89,69.37,69.57,147200,71.494,70.99922,70.12332,70.42819,72.1271439,71.2893448,71.79335,70.85112,72.277,71.35389,68.04868,67.94997,61.14101,62.9310951,56.88144,58.44377,14.9506073,44.5340958,2.46385956,3.36861,0,0,0,0,0,0,0,0,0,5,4.999995,5,5,5,4.999898,5,4.998222,5,4.99928427,4.9333334,5.009645,5.05,5.05348873,5.088889,5.09226942,100,99.79927,-0.00604486465,-0.009354698,true,[object Object],
24-03-2015,69.86,71.2,69.65,70.93,144000,72.37601,71.71384,71.34998,71.28639,72.39,71.86246,71.88335,71.0341339,72.544,71.75031,67.53635,67.83824,60.8788452,62.7060471,56.6826668,58.1937447,34.1325722,54.395256,2.82920837,3.52214813,0,0,0,0,0,0,0,0,0,5,4.999993,5,5,5,4.999864,5,4.99796772,5,4.999125,4.9333334,5.01031,5.05,5.055302,5.088889,5.09434271,100,99.73236,-0.00665998459,-0.0103838183,false,[object Object],
23-03-2015,71.53,71.53,68.51,69.87,318500,72.878006,72.10575,72.3233261,71.64279,72.46,72.17328,71.80935,71.04901,72.429,71.9326,66.9553452,67.6250153,60.5695152,62.42727,56.4856644,57.9075356,19.1819649,61.1494827,3.11590576,3.65752745,0,0,0,0,0,0,0,0,0,5,4.999989,5,5,5,4.999819,5,4.99767733,5,4.99893045,4.9333334,5.011021,5.05,5.05717659,5.088889,5.09646273,100,99.64314,-0.00734806061,-0.0115462942,true,[object Object],
22-03-2015,0,0,0,0,0,0,73.2236252,0,73.41559,0,72.94104,0,71.2174454,0,72.39096,0,67.47019,0,62.1749725,0,57.6387177,0,75.13866,3.54443359,3.76105165,0,0,0,0,0,0,0,0,0,5,4.99998331,5,5,5,4.99975872,5,4.99734545,5,4.998693,4.9333334,5.011781,5.05,5.059115,5.088889,5.09863043,100,99.5241852,-0.008119583,-0.0128620462,true,[object Object],
