date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,327.372223,0,326.908081,0,327.897369,0,329.858154,0,328.7056,0,331.5351,0,332.213745,0,332.785583,0,34.1997147,-2.05639648,-1.67268884,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000495,5,5.0000205,5,5.01015043,5.05,5.03553057,5.088889,5.04601955,100,99.9976349,-0.006418705,-0.00882917,true,[object Object],
01-05-2015,321.6,328.65,321.6,326.8,9200,327.21405,327.372223,327.6902,326.908081,327.265625,327.897369,329.461975,329.858154,329.113068,328.7056,334.434723,331.5351,331.816833,332.213745,333.974152,332.785583,33.1552048,34.1997147,-2.05639648,-1.55313444,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00056553,5,5.00002527,5,5.01085043,5.05,5.036735,5.088889,5.047054,100,99.99685,-0.006921768,-0.009513166,false,[object Object],
30-04-2015,328.09,329.4,324.85,324.85,11100,327.432068,327.658325,327.4902,327.0162,327.498474,328.263153,329.942,330.295044,329.663055,329.129059,334.5284,331.861664,331.9543,332.397278,334.192139,332.9201,27.02704,34.5478821,-1.975769,-1.37760413,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000646,5,5.000031,5,5.01159859,5.05,5.03798,5.088889,5.04811144,100,99.9958,-0.007463455,-0.0102478135,true,[object Object],
29-04-2015,331,332,325.11,331.42,8200,327.842072,329.0625,328.140167,329.1824,328.839874,329.400879,330.645325,331.0729,331.148041,330.079956,334.660431,332.3452,332.127,332.6531,334.459259,333.10144,47.67445,37.05483,-1.64559937,-1.15612459,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00073862,5,5.00003767,5,5.01239872,5.05,5.03926754,5.088889,5.04919243,100,99.99439,-0.008045673,-0.011036396,false,[object Object],
28-04-2015,325.03,330.43,325.03,326.2,2500,327.244049,327.883728,326.963531,326.9448,329.722717,328.7278,331.233978,331.023315,331.206055,329.782166,334.714752,332.409027,332.260681,332.694916,334.5546,333.139221,29.5867119,33.5149536,-1.86920166,-0.9670037,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000844,5,5.00004625,5,5.01325369,5.05,5.040599,5.088889,5.05029774,100,99.99252,-0.008671761,-0.0118824113,false,[object Object],
27-04-2015,340,340,325.07,326.8,7000,328.852051,328.7256,327.196869,327.689575,330.594177,329.5704,332.0133,331.712341,330.601044,330.5782,335.023071,332.83725,332.407349,332.91507,334.6743,333.295166,31.30559,34.8243675,-1.59591675,-0.7856174,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000143,5,5.00096464,5,5.00005674,5,5.014168,5.05,5.041975,5.088889,5.051428,100,99.990036,-0.009345531,-0.0127894618,true,[object Object],
26-04-2015,0,0,0,0,0,0,329.6884,0,328.579132,0,330.493866,0,332.414124,0,331.4178,0,333.2536,0,333.122375,0,333.441132,0,35.99729,-1.28497314,-0.6345961,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000002,5,5.00110245,5,5.00006962,5,5.015145,5.05,5.043398,5.088889,5.05258369,100,99.98671,-0.01006937,-0.0137610966,true,[object Object],
25-04-2015,0,0,0,0,0,0,329.6884,0,328.579132,0,330.493866,0,332.414124,0,331.4178,0,333.2536,0,333.122375,0,333.441132,0,35.99729,-1.28497314,-0.518124044,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000238,5,5.00126,5,5.000085,5,5.016189,5.05,5.044869,5.088889,5.0537653,100,99.9822845,-0.010846138,-0.0148010785,true,[object Object],
24-04-2015,328.92,331.98,324.01,327.89,27300,331.012024,329.6884,327.7402,328.579132,332.437,330.493866,333.3853,332.414124,330.586029,331.4178,335.1344,333.2536,332.586517,333.122375,334.765381,333.441132,34.54009,35.99729,-1.28497314,-0.3828939,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000334,5,5.00144,5,5.000104,5,5.01730537,5.133333,5.04639,5.088889,5.0549736,100,99.97638,-0.0116801262,-0.015913222,true,[object Object],
23-04-2015,325.6,329.25,325.6,326.9,3700,331.894,330.587555,329.856842,329.26825,333.024139,331.361816,334.058624,333.060425,331.197021,332.201721,335.2801,333.6235,332.706024,333.299744,334.8444,333.5659,31.6023445,36.4830246,-0.9804077,-0.307328969,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000429,5,5.00164557,5,5.00012732,5,5.018499,5.133333,5.04796267,5.088889,5.056209,100,99.9685059,-0.0125746727,-0.0171012357,false,[object Object],
