date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,31.6867352,0,32.41803,0,31.282093,0,30.6849785,0,30.96209,0,30.3363438,0,30.4470921,0,30.7160053,0,54.6285629,0.4400463,0.09918679,0,0,0,0,0,0,0,0,0,5.2,5.039241,5.33333349,5.094116,4.571429,4.987855,5.2,4.972403,4.7,4.95822763,5.2,5.086413,5.3,5.18419361,5.211111,5.183417,44.4444466,44.1981125,-0.100721359,-0.195225924,true,[object Object],
01-05-2015,33.33,33.9,32.79,33.26,2631400,31.0319824,31.6867352,32.3566475,32.41803,30.5128441,31.282093,30.6886578,30.6849785,30.2340031,30.96209,29.9663353,30.3363438,30.56934,30.4470921,29.9047718,30.7160053,88.08188,54.6285629,0.4400463,0.0662449747,0,0,0,0,0,0,0,0,0,5.2,5.05886126,5.33333349,5.18823242,4.571429,4.98380661,4.9333334,4.96846056,4.7,4.948945,5.2,5.09237242,5.3,5.19043732,5.211111,5.18753862,44.4444466,44.116,-0.113044739,-0.187581122,true,[object Object],
30-04-2015,31.95,33.68,30.04,33.38,5063100,30.1279812,30.9001026,30.98998,31.5760651,29.9414158,30.6227913,30.5293236,30.3171177,29.951,30.4514427,29.777668,30.1347122,30.5018387,30.35174,29.87366,30.6588364,93.44894,43.47746,0.227851868,0.04080052,6,10,1,10,2,6,6,6,6,4.4,5.088292,5.33333349,5.376465,4.571429,4.978409,4.9333334,4.963955,4.7,4.93759966,5.2,5.098743,5.3,5.19689274,5.211111,5.191753,55.5555573,44.00652,-0.127130032,-0.175095141,true,[object Object],
29-04-2015,29.08,30.83,28.92,30.43,2658900,29.38998,29.6601524,29.5066471,29.7721272,29.3699856,29.70372,30.401989,29.8795624,29.8520012,29.8006516,29.6453323,29.9109,30.4360065,30.2490864,29.81866,30.5976868,36.6088524,26.8203011,-0.0585174561,0.0530262,0,0,0,0,0,0,0,0,0,4.2,4.632438,5,4.75293,4.428571,4.63787842,4.866667,4.81594849,4.7,4.701511,5.16666651,5.036587,5.2833333,5.16966867,5.2,5.17359,44.4444466,40.15684,-0.245076656,-0.156611651,false,[object Object],
28-04-2015,28.75,29.33,28.59,29.16,1508900,29.1559811,29.2752285,28.9433136,29.114254,29.32427,29.4616261,30.4359913,29.8009281,30.1410027,29.6607952,29.5623341,29.8751,30.40584,30.2429543,29.7896614,30.6014557,12.138711,23.5574512,-0.122814178,0.113154732,0,0,0,0,0,0,0,0,0,4.2,4.44865751,3.66666675,4.50586033,4.428571,4.517171,4.866667,4.789655,5.2,4.63518,5.16666651,5.03911066,5.2833333,5.17542028,5.2,5.177491,44.4444466,38.72764,-0.29023695,-0.1194289,false,[object Object],
27-04-2015,28.97,29.35,28.79,28.93,1571700,29.1999817,29.3328419,29.11998,29.0685062,29.5056973,29.5621681,30.55999,29.8924885,30.3510036,29.7720833,29.5216675,29.9244156,30.3961716,30.279665,29.7644386,30.6338482,7.70712137,27.3636971,-0.07378578,0.191917837,0,0,0,0,0,0,0,0,0,4.2,4.17298651,3.66666675,4.01172066,4.428571,4.356228,4.866667,4.759606,5.2,4.55410862,5.16666651,5.041808,5.2833333,5.181367,5.2,5.18148,44.4444466,36.8220329,-0.3436556,-0.08154615,true,[object Object],
26-04-2015,0,0,0,0,0,0,29.5342617,0,29.2070122,0,29.77289,0,30.0299873,0,29.9592133,0,29.9929962,0,30.3254166,0,30.6721363,0,33.91589,0.0132846832,0.265233368,1,1,1,5,1,1,1,1,1,4.2,3.75948,3.66666675,3.02344179,4.571429,4.14163733,4.866667,4.725264,4.8,4.45502138,5.3,5.04469156,5.2833333,5.187515,5.2,5.18555832,1e-7,34.2812271,-0.4068389,-0.08857356,true,[object Object],
25-04-2015,0,0,0,0,0,0,29.5342617,0,29.2070122,0,29.77289,0,30.0299873,0,29.9592133,0,29.9929962,0,30.3254166,0,30.6721363,0,33.91589,0.0132846832,0.328874379,0,0,0,0,0,0,0,0,0,5,5.13922,5,5.04688358,5.857143,5.18885,5.133333,5.257445,5.2,5.222804,5.4333334,5.32363558,5.4333334,5.32946444,5.24444437,5.279616,44.4444466,45.7083054,-0.07429314,-0.09625472,true,[object Object],
24-04-2015,29.51,29.63,28.53,28.74,1563200,29.4359837,29.5342617,29.22998,29.2070122,29.9999847,29.77289,30.672657,30.0299873,30.517004,29.9592133,29.4776669,29.9929962,30.3728371,30.3254166,29.74033,30.6721363,4.04622459,33.91589,0.0132846832,0.402614176,0,0,0,0,0,0,0,0,0,5.2,5.20883036,5,5.09376764,5.857143,5.2518,5.133333,5.294223,5.2,5.272316,5.4333334,5.34595537,5.4333334,5.340633,5.24444437,5.285899,44.4444466,46.12959,-0.0560359955,-0.1046586,true,[object Object],
23-04-2015,29.39,29.94,29.24,29.69,1386500,29.773983,29.9313927,29.4433136,29.6740265,30.6542683,30.1171875,30.651989,30.2142715,30.7300053,30.23015,29.4753342,30.07941,30.3613377,30.37916,29.7231064,30.7155552,31.6949215,43.8724442,0.143569946,0.465975881,0,0,0,0,0,0,0,0,0,6.2,5.313246,5,5.18753529,5.285714,5.33573341,5.133333,5.3362546,5.2,5.332831,5.4333334,5.3698144,5.4333334,5.35218,5.24444437,5.292324,44.4444466,46.6913033,-0.03191805,-0.113862723,false,[object Object],
