date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,58.818428,0,58.0812225,0,59.337986,0,60.2266121,0,59.82343,0,60.5214577,0,60.35365,0,59.97367,0,31.6507912,-0.4753914,0.0997818857,0,0,0,0,0,0,0,0,0,5.2,4.85178328,5.33333349,4.625,5.142857,4.952695,5.0666666,5.04981232,5.1,5.01328945,5.133333,5.12522,5.3166666,5.242944,5.44444466,5.31626,44.4444466,63.15261,-0.0729651451,-0.0400240161,true,[object Object],
01-05-2015,57.11,57.68,56.75,57.59,2038600,59.0439949,58.818428,57.9866638,58.0812225,60.0871468,59.337986,60.846,60.2266121,60.53901,59.82343,60.5546532,60.5214577,60.709,60.35365,59.72666,59.97367,17.71595,31.6507912,-0.4753914,0.199433222,1,1,1,5,1,1,1,1,1,5.2,4.77767467,5.33333349,4.24999952,5.142857,4.93692636,5.0666666,5.056928,5.1,5.0162425,5.133333,5.133856,5.3166666,5.251179,5.44444466,5.32336664,1e-7,69.3886642,-0.07555914,-0.0447006226,false,[object Object],
30-04-2015,58.9,58.92,56.38,56.83,4988600,60.0539932,59.4326439,59.01,58.57245,60.7357178,59.9206467,61.18933,60.60327,60.8150024,60.3197479,60.6683235,60.72363,60.68983,60.44733,59.752327,60.0272369,6.588593,36.29574,-0.26537323,0.2894533,10,10,10,5,1,10,10,10,10,6,6.666512,6.66666651,7.499999,5.714286,6.249235,5.33333349,5.63648939,5.5,5.908741,5.266667,5.418949,5.45,5.395287,5.48888874,5.420521,100,92.51822,0.329501629,-0.0500194244,false,[object Object],
29-04-2015,60.37,60.97,59.05,59.54,2291400,61.2379951,60.7339668,60.2666626,60.31489,61.41857,60.95086,61.5879974,61.14231,61.2979965,61.09525,60.8283234,60.992157,60.6579971,60.56995,59.7815475,60.0990868,11.7788868,46.19812,0.08393097,0.350318074,0,0,0,0,0,0,0,0,0,5,4.999768,5,4.999998,5,4.99898,5,5.01313066,5,4.99957228,5.1,5.10301447,5.366667,5.239195,5.4333334,5.317611,100,90.02429,-0.07464981,-0.101333037,true,[object Object],
28-04-2015,60.64,61.22,60.2,60.66,1784900,61.7559929,61.33095,61.3,61.0897827,61.6328545,61.4211426,61.7406654,61.371212,61.4950027,61.44086,60.8913231,61.0923042,60.5676651,60.6048622,59.7534332,60.11165,27.7620373,57.671196,0.2526207,0.370368958,0,0,0,0,0,0,0,0,0,5,4.99965143,5,4.99999571,5,4.99864,5,5.01500654,5,4.99947739,5.1,5.110119,5.35,5.247303,5.4333334,5.32474852,100,86.69905,-0.08031702,-0.108788222,false,[object Object],
27-04-2015,62,62.17,60.35,60.6,3419500,61.9459953,61.6664276,61.9966621,61.51956,61.58857,61.67486,61.74267,61.4728127,61.6300049,61.6143875,60.919323,61.12212,60.4568329,60.602993,59.7086525,60.0993271,30.2138481,67.6409149,0.350219727,0.375142425,0,0,0,0,0,0,0,0,0,5,4.99947739,5,4.99999142,5,4.998187,5,5.0171504,5,4.99936152,5.1,5.11771345,5.35,5.25568628,5.4333334,5.332046,100,82.2653961,-0.08638239,-0.116721362,true,[object Object],
26-04-2015,0,0,0,0,0,0,62.1996422,0,62.4391251,0,62.0331421,0,61.5975,0,61.83981,0,61.1581268,0,60.603096,0,60.0880775,0,80.1166,0.4758072,0.369071543,0,0,0,0,0,0,0,0,0,5,4.999216,5,4.99998331,5,4.99758244,5,5.01960039,5,4.99922,5.2,5.1258316,5.35,5.26435375,5.4333334,5.33950758,100,76.35386,-0.0928673744,-0.125149086,true,[object Object],
25-04-2015,0,0,0,0,0,0,62.1996422,0,62.4391251,0,62.0331421,0,61.5975,0,61.83981,0,61.1581268,0,60.603096,0,60.0880775,0,80.1166,0.4758072,0.3490465,0,0,0,0,0,0,0,0,0,5,4.998824,5,4.99996662,5,4.99677658,5,5.02240038,5,4.999047,5.2,5.13450956,5.35,5.273315,5.4333334,5.347137,100,68.47181,-0.09979391,-0.134085551,true,[object Object],
24-04-2015,62.95,62.95,62.11,62.64,931500,62.0339966,62.1996422,62.5066643,62.4391251,61.7399979,62.0331421,61.68334,61.5975,61.74701,61.83981,60.9153252,61.1581268,60.3695,60.603096,59.6820946,60.0880775,86.86636,80.1166,0.4758072,0.340773255,0,0,0,0,0,0,0,0,0,5,4.998236,5,4.99993372,5,4.995702,4.733333,5.02560043,5,4.998835,5.2,5.143786,5.383333,5.28258,5.4333334,5.354938,100,57.9624138,-0.10718298,-0.143541336,true,[object Object],
23-04-2015,61.87,63.21,61.84,62.75,1237400,61.5759964,61.9794655,62.16333,62.23825,61.5785751,61.8308563,61.49534,61.44857,61.7570076,61.66199,60.83199,61.0559273,60.2353363,60.53405,59.640316,60.03073,90.25425,77.86668,0.421470642,0.332030833,0,0,0,0,0,0,0,0,0,5,4.997354,5,4.99986744,5,4.99426937,5.0666666,5.029258,5,4.998576,5.2,5.15370226,5.383333,5.292159,5.4333334,5.362914,44.4444466,43.9498863,-0.115054607,-0.153522432,false,[object Object],
