date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,85.36749,0,85.4843,0,85.32326,0,85.3718,0,85.31542,0,85.63065,0,85.77082,0,85.41661,0,57.6762428,-0.237251282,-0.3116896,0,0,0,0,0,0,0,0,0,5.8,5.2132597,4,5.001831,5.571429,5.35679245,5.9333334,5.559901,5.4,5.480966,5.4333334,5.557809,5.4,5.5361805,5.633333,5.57921076,37.5,34.01854,-0.0402407646,0.12184424,true,[object Object],
01-05-2015,84.53,86.28,84.52,86.03,2081200,85.25402,85.36749,85.31999,85.4843,85.2914352,85.32326,85.2306747,85.3718,85.22501,85.31542,85.62068,85.63065,86.50915,85.77082,85.86844,85.41661,80.294136,57.6762428,-0.237251282,-0.322486877,0,0,0,0,0,0,0,0,0,5.8,5.31988955,5.66666651,5.00366259,5.571429,5.47572327,5.9333334,5.639887,5.4,5.587847,5.366667,5.59627867,5.41666651,5.554356,5.633333,5.59222651,37.5,32.8580551,0.0100607872,0.163904026,false,[object Object],
30-04-2015,85.22,86,84.32,84.54,2166300,85.04802,85.03624,85.17999,84.9386,85.1885757,85.08768,85.2513351,85.27778,84.9750061,85.1566238,85.66535,85.60311,86.51832,85.76203,85.85377,85.4028244,35.5300446,50.1369438,-0.327384949,-0.3401447,2,2,2,0,1,2,2,2,2,5.8,5.47983456,6.33333349,5.007325,5.571429,5.63429737,5.9333334,5.7312994,5.9,5.71848,5.3,5.637401,5.41666651,5.573148,5.633333,5.605535,1e-7,31.3107414,0.07411718,0.215203553,true,[object Object],
29-04-2015,85.08,85.94,84.76,85.39,1909100,85.29402,85.2843552,85.23333,85.337204,85.26857,85.27024,85.3886642,85.38318,85.0590057,85.2936554,85.75902,85.67643,86.52832,85.80346,85.86644,85.42221,59.88532,55.00591,-0.2859497,-0.350699544,10,10,10,0,1,10,10,10,10,6.4,7.219752,7.33333349,8.01465,6,6.84573,6.133333,6.26434231,6.7,6.54480934,5.5,5.88825655,5.4666667,5.69427156,5.66666651,5.68655825,100,41.747654,0.460252762,0.2775501,true,[object Object],
28-04-2015,84.8,85.65,84.37,85.61,1639400,85.2780151,85.23154,85.1033249,85.28442,85.18428,85.23032,85.46732,85.3822,85.09601,85.27225,85.80068,85.69618,86.49582,85.8174744,85.85866,85.4229355,66.18908,53.37944,-0.315452576,-0.3665161,7,10,3,0,2,7,7,7,7,5.4,5.82962751,5.66666651,6.02929974,5.285714,5.79430628,5.8,5.73067665,6.2,5.77698946,5.33333349,5.604688,5.383333,5.54831457,5.611111,5.589627,57.14286,22.3302059,0.131862164,0.2625849,true,[object Object],
27-04-2015,85.42,85.46,84.52,84.7,1461400,85.17601,85.042305,85.15666,84.95883,84.88714,85.10377,85.48399,85.3496552,85.09701,85.19719,85.85868,85.7021255,86.44448,85.82451,85.82866,85.41873,40.1144638,49.10956,-0.370918274,-0.375808716,0,0,0,0,0,0,0,0,0,5,5.24444151,5,5.05859947,5.714286,5.39240837,5.66666651,5.549345,6,5.50520945,5.266667,5.50845957,5.41666651,5.499105,5.55555534,5.557933,1e-7,10.7259884,0.0162529945,0.23966445,true,[object Object],
26-04-2015,0,0,0,0,0,0,85.21346,0,85.2176743,0,85.23836,0,85.44247,0,85.30768,0,85.77124,0,85.8626251,0,85.43488,0,52.1079254,-0.343666077,-0.378938466,0,0,0,0,0,0,0,0,0,5,5.3666625,5,5.117199,6.428571,5.523211,5.66666651,5.627823,6,5.61747837,5.266667,5.5435257,5.5,5.51602364,5.5666666,5.570471,1e-7,14.3013182,0.07209396,0.229549885,true,[object Object],
25-04-2015,0,0,0,0,0,0,85.21346,0,85.2176743,0,85.23836,0,85.44247,0,85.30768,0,85.77124,0,85.8626251,0,85.43488,0,52.1079254,-0.343666077,-0.385096222,0,0,0,0,0,0,0,0,0,6,5.549994,5,5.23439741,6.428571,5.69761467,5.66666651,5.717512,6,5.754696,5.266667,5.58101034,5.5,5.533516,5.5666666,5.58329058,1e-7,19.0684242,0.142318726,0.213301077,true,[object Object],
24-04-2015,85.65,85.65,84.32,85,1185800,85.1960144,85.21346,85.35999,85.2176743,84.9842758,85.23836,85.587326,85.44247,85.21901,85.30768,85.89802,85.77124,86.4386444,85.8626251,85.80733,85.43488,48.7105446,52.1079254,-0.343666077,-0.3720983,0,0,0,0,0,0,0,0,0,7,5.824991,5,5.468795,6.428571,5.930153,5.66666651,5.820014,6,5.922406,5.4333334,5.62108,5.5,5.55160141,5.5666666,5.59639835,1e-7,25.4245663,0.229880333,0.189459056,true,[object Object],
23-04-2015,85.12,86.1,85.02,85.77,998500,84.9020157,85.32019,85.39333,85.43535,85.09285,85.31781,85.64867,85.50568,85.35301,85.37605,85.94434,85.82443,86.43081,85.89187,85.77955,85.44466,70.7735,53.240387,-0.33442688,-0.355214447,0,0,0,0,0,0,0,0,0,7,6.237487,6.66666651,5.937589,6.428571,6.240204,5.866667,5.937159,6,6.127385,5.4333334,5.663913,5.5,5.57029963,5.5666666,5.60980034,1e-7,33.89942,0.338297367,0.156272247,false,[object Object],
