date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,54.521965,0,55.28463,0,54.02778,0,53.27067,0,53.5995445,0,53.00828,0,52.6599846,0,52.0861855,0,58.1844864,0.387081146,-0.112153374,0,0,0,0,0,0,0,0,0,5.6,5.21304035,5,5.16836643,5.142857,5.18827152,5,5.168366,4.7,5.16047144,5.3,5.271634,5.45,5.39428473,5.51111126,5.461819,44.4444466,46.5180435,-0.0880641937,-0.2314983,true,[object Object],
01-05-2015,55.52,56.21,55.46,56.16,1102400,54.0319939,54.521965,55.45335,55.28463,53.36858,54.02778,52.71532,53.27067,52.8290024,53.5995445,52.943,53.00828,53.0471535,52.6599846,52.863884,52.0861855,88.47457,58.1844864,0.387081146,-0.196848974,0,0,0,0,0,0,0,0,0,5.6,5.31956053,6,5.336733,5.142857,5.251029,5,5.192418,4.7,5.19613171,5.4666667,5.2903676,5.45,5.40765047,5.51111126,5.472197,44.4444466,47.2092438,-0.07905531,-0.2623494,false,[object Object],
30-04-2015,54.51,56.84,54.51,55.59,1692600,53.1819954,53.7029457,54.0133476,54.4092636,52.7428627,53.31704,52.5739861,52.85791,52.3200073,53.0305557,52.8376656,52.79092,52.9694862,52.54134,52.81733,51.99464,78.81357,48.08779,0.140190125,-0.277476847,0,0,0,0,0,0,0,0,0,5.2,5.479341,6,5.67346525,5.142857,5.33470535,5.33333349,5.21990633,4.7,5.23971653,5.4666667,5.310393,5.45,5.421469,5.51111126,5.482808,44.4444466,48.1308441,-0.06640673,-0.252658039,false,[object Object],
29-04-2015,55,55.98,54.51,54.61,2607500,52.36599,52.75942,52.8033447,53.2285233,52.158577,52.5593872,52.4493179,52.4676132,51.9500046,52.461792,52.7456665,52.59788,52.90682,52.4379959,52.76722,51.9138451,72.81749,37.8458633,-0.118930817,-0.3279881,8,10,6,10,9,8,8,8,8,5.2,5.71901131,6,6.3469305,4.571429,5.446274,5.133333,5.25132132,5,5.292987,5.5,5.331799,5.45,5.435756,5.51111126,5.49365759,77.77778,49.359642,-0.04929638,-0.236613378,false,[object Object],
28-04-2015,51.93,52.11,51.44,51.84,667500,51.7999954,51.83413,51.903347,51.8470459,51.7042923,51.87585,52.3993149,52.1615562,51.7370071,51.9844131,52.6663322,52.4591141,52.8499832,52.36437,52.71833,51.8532562,26.31582,26.1886578,-0.348152161,-0.342606,0,0,0,0,0,0,0,0,0,4.6,4.57851648,4.33333349,4.693861,4.142857,4.59503174,4.9333334,4.858653,4.7,4.691428,5.4,5.147785,5.4,5.34883261,5.51111126,5.43733549,44.4444466,39.88693,-0.3321948,-0.2126929,true,[object Object],
27-04-2015,52.05,52.31,51.87,51.96,753500,51.7319946,51.8311958,51.7933464,51.8540955,51.5942955,51.8878021,52.4973145,52.2074928,51.8600044,52.0165062,52.694664,52.501812,52.85715,52.3821449,52.6993332,51.8535538,29.8245583,26.14627,-0.353622437,-0.321493357,0,0,0,0,0,0,0,0,0,3.8,4.36777449,4.33333349,4.387722,4.142857,4.460042,5.266667,4.838461,4.7,4.62285662,5.4,5.157977,5.45,5.360657,5.5666666,5.447163,44.4444466,38.3677559,-0.382989883,-0.179067925,true,[object Object],
26-04-2015,0,0,0,0,0,0,51.7667923,0,51.74819,0,51.86374,0,52.2428474,0,52.0290642,0,52.5391769,0,52.3964539,0,51.851162,0,24.9201736,-0.367675781,-0.2997729,3,3,3,5,1,3,3,3,3,3.8,4.05166149,4.33333349,3.77544451,4.571429,4.280056,5.266667,4.815384,4.7,4.539047,5.4,5.168872,5.45,5.372883,5.5666666,5.45721149,22.2222233,36.3421936,-0.442252159,-0.133545667,true,[object Object],
25-04-2015,0,0,0,0,0,0,51.7667923,0,51.74819,0,51.86374,0,52.2428474,0,52.0290642,0,52.5391769,0,52.3964539,0,51.851162,0,24.9201736,-0.367675781,-0.276490957,0,0,0,0,0,0,0,0,0,4.2,4.577492,3.66666675,4.550889,4.857143,4.70674133,5.4,5.074724,5.4,4.88105726,5.4666667,5.3184495,5.483333,5.45331955,5.588889,5.51242971,44.4444466,41.04885,-0.307823181,-0.07350026,true,[object Object],
24-04-2015,51.65,51.93,51.6,51.91,582600,51.6259956,51.7667923,51.73334,51.74819,51.5842934,51.86374,52.5933151,52.2428474,52.057,52.0290642,52.6963348,52.5391769,52.8704834,52.3964539,52.6833344,51.851162,28.3625927,24.9201736,-0.367675781,-0.235783041,5,5,5,5,1,5,5,5,5,4.8,4.36623859,3.66666675,4.10177755,4.857143,4.60898829,5.33333349,5.085399,5.1,4.8546257,5.4666667,5.34041166,5.483333,5.468686,5.588889,5.523945,44.4444466,39.9169846,-0.335402,-0.0184176769,false,[object Object],
23-04-2015,51.75,51.91,51.51,51.51,580100,51.4579964,51.69519,51.5966759,51.5863838,51.66572,51.8483162,52.66598,52.2903976,52.27,52.0555229,52.71033,52.58257,52.8703156,52.4129448,52.66355,51.84984,16.666647,23.7727,-0.3751793,-0.182108134,1,1,1,5,1,1,1,1,1,4.8,4.049358,3.66666675,3.20355487,4.857143,4.478651,5.33333349,5.097599,5.1,4.82232046,5.4666667,5.36388826,5.5333333,5.484574,5.588889,5.535719,1e-7,38.40783,-0.3657241,-0.004410002,true,[object Object],
