date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,55.0431862,0,54.974556,0,55.1437149,0,55.528904,0,55.2838554,0,56.3930931,0,57.6497,0,58.3230934,0,33.9455376,-0.782356262,-0.769340932,0,0,0,0,0,0,0,0,0,6.6,6.098046,6.33333349,5.887207,6.142857,6.168147,6.2,6.08105755,6.3,6.171317,5.633333,5.78748941,5.3166666,5.52629042,5.25555563,5.44062948,28.57143,39.6176147,0.289450169,0.4081965,true,[object Object],
01-05-2015,54.54,55.77,54.18,55.34,1315900,54.8980179,55.0431862,54.7833252,54.974556,55.2928352,55.1437149,55.41933,55.528904,55.4749756,55.2838554,56.2760162,56.3930931,58.6111641,57.6497,60.00567,58.3230934,41.1267433,33.9455376,-0.782356262,-0.767228842,7,7,7,5,1,7,7,7,7,6.6,6.6470685,6.33333349,6.774414,6.142857,6.55752945,6.2,6.23549461,6.8,6.43161,5.633333,5.84179926,5.366667,5.544131,5.25555563,5.45053148,57.14286,43.299675,0.42891407,0.4100865,true,[object Object],
30-04-2015,54.63,55.11,53.92,54.14,1503400,54.9660149,54.89478,54.6633263,54.609108,55.36712,55.0782852,55.3966637,55.55589,55.5199776,55.2713776,56.3956871,56.46572,58.6958275,57.7279968,60.0372276,58.39013,7.323898,31.5518036,-0.841087341,-0.7809732,7,10,3,10,3,7,7,7,7,6.2,6.47060251,7,6.548828,6.571429,6.41003942,6.0666666,6.12628,6.6,6.305301,5.5666666,5.76192331,5.3,5.494779,5.188889,5.415712,57.14286,38.68528,0.3970456,0.406534,false,[object Object],
29-04-2015,54.8,55.23,54.7,54.87,697000,55.5140152,55.27217,55.0033264,55.0782166,55.62569,55.3910446,55.4453278,55.75816,55.70998,55.5227928,56.5916862,56.6261139,58.7903328,57.8496246,60.0817833,58.4856377,33.85008,39.6277733,-0.78163147,-0.79542625,0,0,0,0,0,0,0,0,0,5.8,6.20590353,6.33333349,6.09765625,6.285714,6.213386,5.9333334,6.00146246,6.4,6.15092373,5.5,5.676539,5.266667,5.44375467,5.16666651,5.38011,1e-7,32.532753,0.350595,0.362147,false,[object Object],
28-04-2015,54.94,55.23,54.65,54.98,1138800,55.7120132,55.47326,55.2733269,55.286438,55.7714043,55.5647278,55.5006638,55.88504,55.76598,55.66786,56.70702,56.7472267,58.8486671,57.95063,60.1124458,58.5668869,36.69247,41.5536728,-0.768703461,-0.8251678,9,9,9,10,1,9,9,9,9,6.8,6.80885553,6.33333349,7.1953125,7,6.617848,5.9333334,6.14452839,6.4,6.4066844,5.5,5.723197,5.266667,5.458797,5.16666651,5.38865137,80,43.3770027,0.489843369,0.322851777,true,[object Object],
27-04-2015,55.68,55.76,54.83,55.16,1135300,55.9060135,55.71989,55.906662,55.59288,55.88712,55.75964,55.538,56.01433,55.70698,55.8207169,56.81835,56.8691025,58.8875,58.05133,60.12189,58.64749,41.3436432,43.1740723,-0.752220154,-0.865052938,0,0,0,0,0,0,0,0,0,6,5.713283,5,5.390625,6.428571,5.823797,5.66666651,5.73660374,6,5.830392,5.366667,5.4972105,5.2,5.338756,5.12222242,5.3074975,1e-7,31.1693382,0.253177166,0.268000752,true,[object Object],
26-04-2015,0,0,0,0,0,0,55.999836,0,56.0257645,0,55.95952,0,56.13638,0,55.96754,0,56.9869728,0,58.14934,0,58.72586,0,43.7842178,-0.738571167,-0.906769633,0,0,0,0,0,0,0,0,0,7,6.069925,6.66666651,5.78125,6.428571,6.0983963,5.66666651,5.84183264,6,6.01492357,5.366667,5.531501,5.2833333,5.35023928,5.12222242,5.31440735,1e-7,41.5591164,0.354694843,0.239345282,true,[object Object],
25-04-2015,0,0,0,0,0,0,55.999836,0,56.0257645,0,55.95952,0,56.13638,0,55.96754,0,56.9869728,0,58.14934,0,58.72586,0,43.7842178,-0.738571167,-0.9500029,0,0,0,0,0,0,0,0,0,7,6.604887,6.66666651,6.56249952,6.428571,6.464528,5.66666651,5.96209431,6,6.2404623,5.366667,5.56815624,5.2833333,5.36211157,5.12222242,5.32147264,1e-7,55.4121552,0.4791093,0.199289158,true,[object Object],
24-04-2015,57.02,57.43,55.62,55.68,1024200,56.0520134,55.999836,56.1399956,56.0257645,56.0128365,55.95952,55.6299973,56.13638,55.679985,55.96754,56.92068,56.9869728,58.9331665,58.14934,60.1488876,58.72586,51.456295,43.7842178,-0.738571167,-1.00139618,10,10,10,10,2,10,10,10,10,7,7.40733051,8.333333,8.124999,6.428571,6.95270443,5.66666651,6.09953642,6,6.516121,5.233333,5.60733938,5.2833333,5.37438631,5.12222242,5.32869673,100,73.88287,0.630939,0.145264253,false,[object Object],
23-04-2015,55.61,57.26,55.61,56.88,1044600,56.0740166,56.1597557,56.2299957,56.37153,55.97712,56.05269,55.74733,56.2015762,55.6119881,56.03144,57.064682,57.07711,58.989502,58.2330475,60.1818848,58.7943077,56.9468422,41.2268562,-0.7633476,-1.06409156,0,0,0,0,0,0,0,0,0,6,6.110996,6.66666651,6.24999857,5.714286,5.93693924,5.33333349,5.5423274,5.5,5.74192524,5.0666666,5.304397,5.2,5.217586,5.0666666,5.22372341,1e-7,65.17717,0.306460381,0.07419586,false,[object Object],
22-04-2015,56.08,56.62,55.73,55.86,1219600,55.9060173,55.799633,55.8999939,55.8630524,55.6214066,55.7769165,55.8726654,56.10466,55.4109879,55.8428726,57.1720123,57.0907021,59.0523338,58.2789154,60.241,58.837326,39.0492249,35.9868622,-0.90605545,-1.12945306,10,10,10,10,1,10,10,10,10,6,6.66649342,6.66666651,7.499997,5.714286,6.24925232,5.33333349,5.619803,5.5,5.90679741,5.0666666,5.32539,5.2,5.22496176,5.0333333,5.22875071,100,86.90289,0.396941185,0.03897317,false,[object Object],
21-04-2015,56.17,56.48,55.57,55.95,848800,55.820015,55.76945,55.87666,55.8661041,55.48284,55.74922,56.0833321,56.13961,55.39499,55.8390656,57.2753448,57.17558,59.1364975,58.3609123,60.30122,58.904232,40.5772438,34.9660721,-0.9711647,-1.17192459,0,0,0,0,0,0,0,0,0,5,4.99974,5,4.99999428,5,4.999003,5,4.99406052,5,4.99719667,4.9,5.003003,5.116667,5.063096,4.9333334,5.12153149,100,82.53719,-0.00243711472,-0.006550736,true,[object Object],
20-04-2015,56.06,56.5,55.32,55.89,1041900,55.5080147,55.6791763,55.90666,55.7822037,55.347126,55.6822929,56.2593346,56.1667,55.3539925,55.81441,57.4233475,57.2601,59.2251663,58.44264,60.37122,58.97062,39.5585442,33.09568,-1.049305,-1.20175886,0,0,0,0,0,0,0,0,0,5,4.99961,5,4.99998856,5,4.99867058,5,4.99321175,5,4.99657345,4.9,5.00321,5.133333,5.065235,4.9333334,5.12426233,100,76.7162552,-0.00306224823,-0.007994916,true,[object Object],
19-04-2015,0,0,0,0,0,0,55.5737648,0,55.6744041,0,55.6130562,0,56.2062263,0,55.7976151,0,57.35459,0,58.5291672,0,59.03985,0,30.9413929,-1.12767029,-1.222911,0,0,0,0,0,0,0,0,0,5,4.999415,5,4.999977,5,4.9982276,5,4.992242,5,4.995812,4.9,5.00343132,5.133333,5.06744671,4.98888874,5.12705469,100,68.95501,-0.003815651,-0.009721968,true,[object Object],
18-04-2015,0,0,0,0,0,0,55.5737648,0,55.6744041,0,55.6130562,0,56.2062263,0,55.7976151,0,57.35459,0,58.5291672,0,59.03985,0,30.9413929,-1.12767029,-1.23535585,0,0,0,0,0,0,0,0,0,5,4.99912262,5,4.999954,5,4.997637,4.733333,4.99113369,5,4.994881,4.9,5.003668,5.116667,5.069733,5.04444456,5.12991,100,58.60668,-0.00472211838,-0.0117849773,true,[object Object],
17-04-2015,55.54,56.3,55.08,55.79,1202200,55.3080139,55.5737648,55.7533264,55.6744041,55.20141,55.6130562,56.3206673,56.2062263,55.4189949,55.7976151,57.57568,57.35459,59.3425026,58.5291672,60.44022,59.03985,37.86078,30.9413929,-1.12767029,-1.24014533,0,0,0,0,0,0,0,0,0,5,4.998684,5,4.999908,5,4.996849,5.0666666,4.989867,5,4.993744,4.9,5.003921,5.16666651,5.072097,5.04444456,5.132829,44.4444466,44.80891,-0.005810261,-0.0142467283,false,[object Object],
16-04-2015,55.5,56.06,55.15,56.04,1088000,55.150013,55.46565,55.2866631,55.5588074,55.18855,55.5540733,56.3693352,56.265686,55.5839958,55.799305,57.73701,57.4624939,59.4321671,58.62202,60.5212173,59.1128769,42.10526,28.6349316,-1.20111084,-1.23180175,0,0,0,0,0,0,0,0,0,5,4.998026,5,4.999816,5,4.995799,5.0666666,4.98841953,5,4.99235344,4.9,5.0041914,5.16666651,5.07454062,5.04444456,5.135814,44.4444466,44.930397,-0.00711488724,-0.0171816088,false,[object Object],
15-04-2015,54.61,55.67,54.19,55.43,1719300,54.916008,55.17847,54.90333,55.07761,55.1171227,55.3920975,56.4340057,56.2979279,55.856,55.7458153,57.89201,57.5605965,59.5216637,58.7095451,60.57811,59.18193,31.7487125,24.1448231,-1.30282974,-1.20622385,0,0,0,0,0,0,0,0,0,5,4.997039,5,4.999632,5,4.99439859,5.0666666,4.98676538,5,4.990654,5,5.00448036,5.16666651,5.07706738,5.1,5.13886642,44.4444466,45.09238,-0.008676529,-0.0206776187,false,[object Object],
14-04-2015,54.58,55.14,53.88,54.39,1412900,54.97001,55.0527077,54.7599945,54.72522,55.2756958,55.3794632,56.5920029,56.421917,56.2149963,55.8159981,58.10067,57.7075348,59.6156654,58.8207169,60.6267738,59.266243,14.0916481,21.6101933,-1.35160065,-1.15438247,0,0,0,0,0,0,0,0,0,5,4.99555826,5,4.999264,5,4.9925313,5.0666666,4.98487473,5,4.988577,5,5.00478935,5.133333,5.07968,5.1,5.141987,44.4444466,45.3083572,-0.0105438232,-0.02483903,true,[object Object],
13-04-2015,55.13,55.7,54.72,54.89,1016300,55.2000122,55.38406,54.9199944,55.0604439,55.7114067,55.7092819,56.8666725,56.7121925,56.635,56.132885,58.3480072,57.93633,59.728,58.97091,60.66844,59.37582,22.5806141,24.116375,-1.28829956,-1.08798766,0,0,0,0,0,0,0,0,0,5,4.993337,5,4.99852753,5,4.99004173,5.0666666,4.9827137,4.6,4.98603868,5,5.00512,5.133333,5.082381,5.111111,5.14517736,44.4444466,45.5963249,-0.0127739906,-0.02978913,true,[object Object],
12-04-2015,0,0,0,0,0,0,55.6310921,0,55.23089,0,55.9823761,0,56.9725075,0,56.40908,0,58.14642,0,59.1092453,0,59.4766235,0,24.6282959,-1.23967361,-1.02862632,0,0,0,0,0,0,0,0,0,5,4.990006,5,4.997055,5,4.986722,5.0666666,4.980244,5.1,4.982936,5,5.00547266,5.133333,5.085173,5.0666666,5.14844,44.4444466,45.9802856,-0.015434742,-0.0356738828,true,[object Object],
11-04-2015,0,0,0,0,0,0,55.6310921,0,55.23089,0,55.9823761,0,56.9725075,0,56.40908,0,58.14642,0,59.1092453,0,59.4766235,0,24.6282959,-1.23967361,-0.974667847,0,0,0,0,0,0,0,0,0,5,4.98500872,5,4.99411,5,4.982296,5.0666666,4.97742176,5.1,4.979144,5.133333,5.00585032,5.133333,5.08806038,5.0666666,5.151776,44.4444466,46.4922333,-0.01860571,0.00258652377,true,[object Object],
