date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,13.9767284,0,13.9067,0,14.0475235,0,14.2055826,0,14.1265535,0,14.2735758,0,14.2245626,0,14.15295,0,30.35491,-0.105998993,-0.0227578487,0,0,0,0,0,0,0,0,0,4.2,4.605087,5,4.75,4.428571,4.57979727,4.733333,4.69408,4.6,4.610666,5.0333333,4.862247,5.016667,4.993287,5.1,5.0572257,100,82.07841,-0.186237812,-0.153949469,true,[object Object],
01-05-2015,13.77,13.95,13.65,13.93,104400,13.9480028,13.9767284,13.84333,13.9067,14.07,14.0475235,14.3286724,14.2055826,14.2630033,14.1265535,14.3456659,14.2735758,14.2491646,14.2245626,13.942112,14.15295,28.67133,30.35491,-0.105998993,0.000536282838,0,0,0,0,0,0,0,0,0,4.2,4.40763044,3.66666675,4.50000048,4.428571,4.43972969,4.733333,4.650377,4.6,4.524147,5.0333333,4.852747,5.016667,4.99305964,5.133333,5.05851173,100,76.1045456,-0.237415791,-0.1394764,false,[object Object],
30-04-2015,13.76,13.86,13.52,13.77,253700,13.9560032,14.0000925,13.8933306,13.883399,14.21,14.0866985,14.3626719,14.2449512,14.3020048,14.1702318,14.3826656,14.2972708,14.234498,14.2345476,13.9483328,14.15796,17.4825249,30.9161034,-0.09063339,0.0223365352,5,5,5,5,1,5,5,5,5,4.2,4.11144543,3.66666675,4.000001,4.428571,4.252973,4.733333,4.60043049,4.6,4.41840172,5.0333333,4.842592,5.016667,4.99282455,5.133333,5.05982637,100,68.1394,-0.299284458,-0.11897479,false,[object Object],
29-04-2015,14.04,14.06,13.78,13.83,187900,14.1580019,14.1151381,14.0133314,13.9967976,14.33,14.1922646,14.3900042,14.3128014,14.3800049,14.2591724,14.4223328,14.3336344,14.2266645,14.2502947,13.9565554,14.1666784,4.27352047,35.3939629,-0.0534124374,0.0389062,1,1,1,10,1,1,1,1,1,4.2,3.667168,3.66666675,3.00000238,4.428571,4.003964,4.733333,4.54334927,4.6,4.28915739,5.0333333,4.831736,5.016667,4.99258137,5.088889,5.06117058,1e-7,57.5191956,-0.373897552,-0.09107675,true,[object Object],
28-04-2015,14.1,14.2,13.97,14.08,206400,14.3740025,14.2577066,14.0599976,14.1635942,14.4428568,14.3130188,14.4086714,14.381773,14.4530048,14.3545437,14.452,14.3683681,14.2151642,14.2645416,13.9602222,14.1742439,20.9090614,45.7674446,-0.0112380981,0.0501426049,0,0,0,0,0,0,0,0,0,5,5.000752,5,5.000005,5,5.00528526,5,5.049542,5,5.02008152,5.16666651,5.09599352,5.08333349,5.127923,5.133333,5.152433,100,76.69226,-0.05641985,-0.0541439578,true,[object Object],
27-04-2015,13.97,14.14,13.88,14.13,242500,14.4800014,14.34656,14.2933311,14.2471886,14.4771423,14.3906918,14.406004,14.4248838,14.4960041,14.4155531,14.4716673,14.3882561,14.1959972,14.2707977,13.9587784,14.176362,25.4545326,54.0535736,0.01730156,0.05497424,0,0,0,0,0,0,0,0,0,5,5.00112772,5,5.00000954,5,5.007047,5,5.056619,5,5.02454424,5.16666651,5.102614,5.08333349,5.13225937,5.133333,5.15585852,100,68.92301,-0.0576553345,-0.0514692739,false,[object Object],
26-04-2015,0,0,0,0,0,0,14.45484,0,14.364378,0,14.47759,0,14.4670105,0,14.47901,0,14.4060669,0,14.2755709,0,14.1774035,0,63.586586,0.0483865738,0.0566348,0,0,0,0,0,0,0,0,0,5,5.00169134,5,5.000019,5,5.009396,5,5.06470776,5,5.029999,5.16666651,5.10969067,5.08333349,5.13674259,5.133333,5.159361,100,58.56402,-0.05839348,-0.04730675,true,[object Object],
25-04-2015,0,0,0,0,0,0,14.45484,0,14.364378,0,14.47759,0,14.4670105,0,14.47901,0,14.4060669,0,14.2755709,0,14.1774035,0,63.586586,0.0483865738,0.0548414662,0,0,0,0,0,0,0,0,0,5,5.00253725,5,5.000038,5,5.012528,5,5.07395172,5,5.03666544,5.16666651,5.11725569,5.133333,5.141378,5.133333,5.162942,100,44.7520256,-0.05848646,-0.0413057022,true,[object Object],
24-04-2015,14.51,14.51,13.85,13.97,283500,14.578001,14.45484,14.55333,14.364378,14.5371428,14.47759,14.4193373,14.4670105,14.5190029,14.47901,14.482667,14.4060669,14.1794977,14.2755709,13.9563341,14.1774035,10.9090862,63.586586,0.0483865738,0.0541961454,0,0,0,0,0,0,0,0,0,5,5.003806,5,5.00007629,5,5.016704,5,5.084516,5,5.044813,5.16666651,5.12534237,5.133333,5.14617062,5.133333,5.16660357,100,26.3360329,-0.0577545166,-0.0330453441,true,[object Object],
23-04-2015,14.8,14.9,14.69,14.78,232300,14.6480007,14.69726,14.7666636,14.7587547,14.6214285,14.6467857,14.4466705,14.5380116,14.5660038,14.592123,14.5036669,14.43614,14.1623316,14.28593,13.9563341,14.1820641,83.16832,81.14575,0.103648186,0.05234517,0,0,0,0,0,0,0,0,0,5,5.005709,5,5.00015259,5,5.022272,5.33333349,5.09658957,5,5.05477142,5.16666651,5.13398647,5.133333,5.15112543,5.133333,5.17034769,1e-7,1.78137684,-0.0559802055,-0.0220214,true,[object Object],
22-04-2015,14.65,14.95,14.51,14.91,199500,14.602,14.65589,14.71333,14.7375107,14.5828571,14.6023817,14.4186707,14.5034418,14.5060024,14.5503721,14.491334,14.412426,14.1364965,14.2691813,13.9533339,14.1686277,96.03961,80.4715652,0.0902032852,0.04265086,0,0,0,0,0,0,0,0,0,5,5.00856352,5,5.000305,5,5.02969646,5.33333349,5.11038828,5,5.06694269,5.16666651,5.143227,5.133333,5.156248,5.133333,5.17417574,1e-7,2.375169,-0.052901268,-0.00763056,false,[object Object],
21-04-2015,14.66,14.68,14.46,14.61,136100,14.5320005,14.5288353,14.5166636,14.5650215,14.5042858,14.4998426,14.3760042,14.4453621,14.4260025,14.4704552,14.4750013,14.3781109,14.11083,14.2474585,13.9515553,14.151968,90.54047,75.28222,0.0584936142,0.03281572,0,0,0,0,0,0,0,0,0,5,5.01284552,5,5.00061035,5,5.0395956,5.33333349,5.126158,5,5.08181858,5.16666651,5.153105,5.133333,5.161545,5.133333,5.17808962,1e-7,3.166892,-0.0482020378,0.010848416,true,[object Object],
20-04-2015,14.44,14.66,14.42,14.62,154900,14.512001,14.4882526,14.4966631,14.5200443,14.4800005,14.4631233,14.3673372,14.4218426,14.3690014,14.4394455,14.4746685,14.3621187,14.0864983,14.2351694,13.9542227,14.141675,94.44445,70.19614,0.0477151871,0.0261116028,0,0,0,0,0,0,0,0,0,5,5.01926851,5,5.0012207,5,5.05279446,5.33333349,5.144181,5,5.10000038,5.16666651,5.163664,5.133333,5.167021,5.133333,5.18209171,1e-7,4.22252274,-0.0415024757,0.0342765376,false,[object Object],
19-04-2015,0,0,0,0,0,0,14.4223795,0,14.4200888,0,14.4108315,0,14.3935347,0,14.3993225,0,14.3443336,0,14.2221241,0,14.1309261,0,62.11337,0.03224659,0.0206050873,0,0,0,0,0,0,0,0,0,5,5.02890253,5,5.00244141,5,5.07039261,5.33333349,5.164778,5,5.122223,5.16666651,5.174951,5.133333,5.17268229,5.133333,5.18618345,1e-7,5.63003063,-0.03234768,0.0636807,true,[object Object],
18-04-2015,0,0,0,0,0,0,14.4223795,0,14.4200888,0,14.4108315,0,14.3935347,0,14.3993225,0,14.3443336,0,14.2221241,0,14.1309261,0,62.11337,0.03224659,0.0168173052,0,0,0,0,0,0,0,0,0,5,5.04335356,5,5.004883,5,5.093857,5.33333349,5.188318,5.5,5.14938354,5.16666651,5.18701649,5.133333,5.178536,5.133333,5.190367,1e-7,7.50670767,-0.0201926231,0.100284845,true,[object Object],
17-04-2015,14.44,14.47,14.25,14.32,147400,14.460001,14.4223795,14.4766645,14.4200888,14.4171429,14.4108315,14.3453369,14.3935347,14.3400021,14.3993225,14.4663353,14.3443336,14.0596647,14.2221241,13.9541111,14.1309261,54.2856674,62.11337,0.03224659,0.01162688,0,0,0,0,0,0,0,0,0,5,5.06503057,5,5.00976563,5,5.125142,5.33333349,5.21522045,5.5,5.18258,5.16666651,5.199914,5.133333,5.184588,5.133333,5.194645,1e-7,10.0089436,-0.004384041,0.145546377,true,[object Object],
16-04-2015,14.58,14.58,14.45,14.55,106600,14.4839993,14.47357,14.5399971,14.5201778,14.3871431,14.4411087,14.3353367,14.4040394,14.3460026,14.4169493,14.4713345,14.3460121,14.0356646,14.2188063,13.9598894,14.1266775,89.2857,64.7226,0.0425786972,0.00761095667,0,0,0,0,0,0,0,0,0,5,5.097546,5,5.01953125,5,5.166856,5.33333349,5.245966,5.5,5.22315359,5.16666651,5.21370125,5.133333,5.190845,5.133333,5.199019,1e-7,13.3452587,0.0158567429,0.14463383,true,[object Object],
15-04-2015,14.53,14.64,14.41,14.56,147100,14.4099989,14.4353552,14.4766645,14.4903564,14.3142853,14.4048119,14.3020029,14.3831882,14.3270016,14.3873825,14.4653349,14.3319435,14.0083313,14.20758,13.9582224,14.1171646,90.4762039,56.53491,0.03172779,0.00474421168,0,0,0,0,0,0,0,0,0,5,5.14631939,5,5.0390625,5.714286,5.222474,5.33333349,5.281104,5.5,5.272743,5.16666651,5.22843933,5.133333,5.19731426,5.133333,5.203491,1e-7,17.7936783,0.04146099,0.141365319,false,[object Object],
14-04-2015,14.36,14.51,14.26,14.51,161900,14.32,14.3730326,14.4366636,14.4207134,14.2814283,14.3530827,14.2980032,14.3579292,14.2980022,14.3490229,14.461669,14.3162155,13.9864979,14.1956329,13.9551105,14.107213,65.1376,45.22114,0.0163993835,0.00677998876,0,0,0,0,0,0,0,0,0,5,5.219479,5,5.078125,5.714286,5.296632,5.33333349,5.321262,5.5,5.333353,5.16666651,5.24419355,5.133333,5.204003,5.133333,5.208064,1e-7,23.7249031,0.07353735,0.135137245,false,[object Object],
13-04-2015,14.43,14.48,14.33,14.36,163300,14.226,14.3045483,14.326664,14.3314266,14.2628565,14.3007774,14.3213367,14.3362045,14.2950029,14.3132505,14.4613352,14.3028507,13.9594984,14.1849766,13.95211,14.0981617,47.8632,38.58232,0.00168704987,0.0118757887,0,0,0,0,0,0,0,0,0,6,5.32921839,5,5.15625,5.714286,5.395509,5.33333349,5.36715651,5.5,5.4074316,5.16666651,5.26103449,5.133333,5.21091843,5.133333,5.21273947,1e-7,31.6332035,0.113409519,0.12522237,true,[object Object],
12-04-2015,0,0,0,0,0,0,14.276823,0,14.3028545,0,14.2810364,0,14.3328056,0,14.3028622,0,14.2989092,0,14.1790438,0,14.0922775,0,35.4886971,-0.00184345245,0.0186062921,0,0,0,0,0,0,0,0,0,6,5.49382734,5,5.3125,5.714286,5.527345,5.33333349,5.41960764,5.5,5.497972,5.16666651,5.279037,5.133333,5.218068,5.14444447,5.21752,1e-7,42.1776047,0.162651062,0.110745959,true,[object Object],
11-04-2015,0,0,0,0,0,0,14.276823,0,14.3028545,0,14.2810364,0,14.3328056,0,14.3028622,0,14.2989092,0,14.1790438,0,14.0922775,0,35.4886971,-0.00184345245,0.0257290732,0,0,0,0,0,0,0,0,0,6,5.740741,6.66666651,5.625,5.714286,5.703127,5.33333349,5.479552,5.5,5.60863256,5.16666651,5.29828072,5.133333,5.22546,5.14444447,5.22240829,1e-7,56.236805,0.223135,0.09065798,true,[object Object],
10-04-2015,14.25,14.47,14.21,14.44,133100,14.2199993,14.276823,14.243331,14.3028545,14.2628565,14.2810364,14.36267,14.3328056,14.288002,14.3028622,14.4576693,14.2989092,13.9359989,14.1790438,13.9515553,14.0922775,47.407383,35.4886971,-0.00184345245,0.0328518562,0,0,0,0,0,0,0,0,0,6,6.111111,6.66666651,6.25,5.714286,5.93750238,5.33333349,5.548059,5.5,5.743884,5.16666651,5.318852,5.133333,5.233103,5.14444447,5.227406,1e-7,74.98241,0.297089577,0.06369972,false,[object Object],
09-04-2015,14.11,14.21,13.95,14.18,147300,14.208,14.1952353,14.1099977,14.1657095,14.23857,14.2280493,14.402669,14.3174925,14.2610016,14.2723875,14.45167,14.2891788,13.9161654,14.1701975,13.94989,14.0844631,28.1481686,31.5158,-0.0144672394,0.04104021,10,10,10,10,1,10,10,10,10,6,6.666667,6.66666651,7.5,5.714286,6.25000334,5.33333349,5.62635326,5.5,5.90919161,5.16666651,5.340842,5.133333,5.24100447,5.14444447,5.23251629,100,99.97654,0.387161255,0.0283646062,true,[object Object],
08-04-2015,14.07,14.23,13.94,14.11,205100,14.244,14.2028522,14.159997,14.1514187,14.2814274,14.2440653,14.454669,14.3371344,14.2480011,14.2929182,14.45167,14.2967081,13.8971653,14.1698656,13.9503336,14.0823164,22.9629345,32.6383438,-0.00389671326,0.0521013476,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000429,5,5.00154638,5,5.000123,5,5.01952076,5.05,5.079683,5.14444447,5.125382,100,99.96872,-0.012597084,-0.0171484426,false,[object Object],
