date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,31.9223633,0,31.8969116,0,31.9191875,0,31.896656,0,31.9051418,0,31.910944,0,31.7833061,0,31.4730625,0,66.79726,-0.0107154846,-0.0251288936,0,0,0,0,0,0,0,0,0,5,4.98972464,5,4.99951172,5,4.968375,4.733333,4.90489,5,4.93530464,4.866667,4.92085361,5.05,5.001828,5.133333,5.05188036,100,98.93829,0.00899601,-0.04811446,true,[object Object],
01-05-2015,31.86,32.08,31.77,31.85,2064100,31.947998,31.9223633,31.936676,31.8969116,32.00715,31.9191875,31.76133,31.896656,31.92099,31.9051418,32.01967,31.910944,32.0959969,31.7833061,31.6754475,31.4730625,64.2046,66.79726,-0.0107154846,-0.033830855,0,0,0,0,0,0,0,0,0,5,4.984587,5,4.99902344,5,4.95783329,4.733333,4.891303,5,4.920928,4.866667,4.91539526,5.05,5.00189,5.133333,5.053046,100,98.5844,0.00148677826,-0.0695514157,true,[object Object],
30-04-2015,31.92,32.2,31.63,31.77,2202600,32.0259972,31.9585438,32.0466766,31.9438229,32.01429,31.94225,31.74133,31.90332,31.8559914,31.9173965,32.036335,31.9151478,32.090332,31.7810459,31.6651115,31.464592,59.65915,67.6614761,-0.00656700134,-0.0466380641,0,0,0,0,0,0,0,0,0,5,4.97688055,5,4.998047,5,4.94377756,4.733333,4.875775,5,4.90335655,4.866667,4.90956,5.05,5.001954,5.133333,5.05423832,100,98.1125259,-0.008119583,-0.09590117,true,[object Object],
29-04-2015,32.01,32.34,31.85,32.19,1488500,32.086,32.0528145,32.0400124,32.1176453,31.98429,31.9996643,31.71933,31.9223671,31.864994,31.9501514,32.0563354,31.9251575,32.0804977,31.78142,31.6515579,31.45773,84.1529541,70.32892,0.00697135925,-0.06301901,0,0,0,0,0,0,0,0,0,5,4.965321,5,4.99609375,5,4.925037,4.733333,4.85802841,4.6,4.88188028,4.866667,4.903323,5.05,5.00202036,5.133333,5.055457,100,97.48337,-0.0202627182,-0.128138125,false,[object Object],
28-04-2015,31.64,32.19,31.64,32.18,1796900,32.0279961,31.9842224,32.05668,32.0452957,31.91429,31.9362183,31.7266617,31.8841343,31.826992,31.8968525,32.035,31.9068928,32.0508347,31.76757,31.6227818,31.4412746,82.70272,65.72091,-0.0186157227,-0.08078194,0,0,0,0,0,0,0,0,0,5,4.947982,5,4.9921875,5,4.900049,4.733333,4.83774662,4.6,4.85563135,4.866667,4.89665556,5.05,5.002089,5.133333,5.05670357,100,96.6444855,-0.03546667,-0.167420328,false,[object Object],
27-04-2015,32.15,32.24,31.69,31.75,2279200,31.9039955,31.8863335,32.02001,31.91059,31.7742882,31.8549576,31.7326622,31.8418674,31.7369938,31.833931,32.0090027,31.8880577,32.0195,31.75359,31.58967,31.424675,57.5915871,60.0603027,-0.04998398,-0.0968825,0,0,0,0,0,0,0,0,0,5,4.92197275,5,4.984375,5,4.8667326,4.733333,4.81456757,4.6,4.82354927,5,4.88952827,5.05,5.0021596,5.133333,5.05797768,100,95.5259857,-0.05435705,-0.169871062,true,[object Object],
26-04-2015,0,0,0,0,0,0,31.9545,0,32.07118,0,31.8899441,0,31.8549919,0,31.8525829,0,31.89758,0,31.7537117,0,31.4173641,0,60.88321,-0.0455112457,-0.1094977,0,0,0,0,0,0,0,0,0,5,4.882959,5,4.96875,4.428571,4.82231045,4.733333,4.78807735,4.6,4.784338,5,4.88190937,5.05,5.002233,5.133333,5.0592804,100,94.03465,-0.07767773,-0.170528248,true,[object Object],
25-04-2015,0,0,0,0,0,0,31.9545,0,32.07118,0,31.8899441,0,31.8549919,0,31.8525829,0,31.89758,0,31.7537117,0,31.4173641,0,60.88321,-0.0455112457,-0.122609884,0,0,0,0,0,0,0,0,0,5,4.82443857,5,4.9375,4.428571,4.7630806,4.733333,4.75780249,4.6,4.736413,5,4.873765,5.05,5.002309,5.133333,5.06061268,100,92.0462,-0.106313229,-0.1688866,true,[object Object],
24-04-2015,32.19,32.48,31.9,32.24,2811500,31.8939934,31.9545,32.07001,32.07118,31.7900028,31.8899441,31.7753277,31.8549919,31.6679935,31.8525829,31.9970036,31.89758,31.9953346,31.7537117,31.56667,31.4173641,82.8126,60.88321,-0.0455112457,-0.131308243,0,0,0,0,0,0,0,0,0,4.2,4.73665762,5,4.875,4.428571,4.684108,4.733333,4.72320271,4.6,4.677838,5,4.865059,5.05,5.002387,5.133333,5.061975,100,89.39494,-0.141315937,-0.164334774,false,[object Object],
23-04-2015,31.81,32.22,31.68,32.07,1623000,31.6859932,31.81175,31.8433437,31.9023552,31.7285728,31.7732582,31.7546616,31.79999,31.5989933,31.766489,31.97567,31.8739643,31.95617,31.7372265,31.540226,31.3988781,73.9583359,53.5734138,-0.08903313,-0.1416395,0,0,0,0,0,0,0,0,0,4.2,4.60498667,5,4.75,4.428571,4.57881069,4.733333,4.68366051,4.6,4.606246,4.866667,4.85575247,5.05,5.002468,5.133333,5.063368,100,85.8599243,-0.1839366,-0.15613471,false,[object Object],
