date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,44.4610176,0,44.07887,0,44.71687,0,45.0997734,0,44.9445038,0,45.10203,0,44.94686,0,44.6605,0,39.51177,-0.092250824,0.183538228,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00003862,5,5.000001,5,5.00369263,5,5.028865,5.111111,5.04674864,100,99.9999847,-0.00186109543,-0.002579848,true,[object Object],
01-05-2015,42.61,44.73,42.49,43.96,601700,44.77597,44.4610176,44.0300179,44.07887,45.0528679,44.71687,45.49668,45.0997734,45.23801,44.9445038,45.011673,45.10203,45.2943268,44.94686,44.4813271,44.6605,42.120327,39.51177,-0.092250824,0.231817454,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00004435,5,5.000001,5,5.00394726,5,5.02984333,5.111111,5.047799,100,99.9999847,-0.00200986862,-0.0027854708,false,[object Object],
30-04-2015,47.11,48,41.02,42.74,2454500,45.1199722,44.71153,44.77002,44.19774,45.3257256,44.96916,45.6373444,45.2626,45.37501,45.1632843,44.98801,45.1807938,45.3149948,44.9803123,44.4733276,44.6762428,24.6418533,38.64225,0.00932312,0.281307638,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00005054,5,5.000001,5,5.00421953,5,5.030855,5.111111,5.04887342,100,99.9999847,-0.002170086,-0.00300735887,true,[object Object],
29-04-2015,46,46.76,44.64,45.39,1169100,45.73397,45.6972923,45.7266846,45.65548,45.66573,45.71221,45.8273468,45.62297,45.6900139,45.70179,45.01701,45.3491249,45.3591576,45.0562553,44.47077,44.7197533,28.5170975,43.30905,0.2630539,0.319808125,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.0000577,5,5.000001,5,5.0045104,5,5.03190136,5.111111,5.04997158,100,99.9999847,-0.0023431778,-0.0032468373,true,[object Object],
28-04-2015,45.43,46.2,45.38,46.18,196300,45.8299675,45.85094,45.8233528,45.92096,45.75573,45.8196144,45.83068,45.6562538,45.8480148,45.7710762,44.93634,45.3463058,45.31916,45.04494,44.4288864,44.7046928,54.9587059,48.2397,0.313262939,0.338404328,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000066,5,5.000001,5,5.0048213,5,5.032983,5.111111,5.05109453,100,99.9999847,-0.002530098,-0.003505283,false,[object Object],
27-04-2015,45.76,45.91,45.34,45.61,400500,45.61797,45.6864128,45.700016,45.6619225,45.634304,45.6994858,45.7960129,45.5814323,45.8100166,45.6802063,44.8440056,45.28881,45.25633,45.0064659,44.36678,44.67154,31.40502,46.00003,0.292354584,0.351122975,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00007534,5,5.000001,5,5.00515366,5,5.034101,5.111111,5.05224276,100,99.9999847,-0.0027318,-0.0037841266,true,[object Object],
26-04-2015,0,0,0,0,0,0,45.724617,0,45.7138443,0,45.7293167,0,45.57735,0,45.69581,0,45.26666,0,44.9860077,0,44.65045,0,50.865036,0.319450378,0.366164744,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000086,5,5.000001,5,5.005509,5,5.035257,5.111111,5.05341673,100,99.9999847,-0.00294971466,-0.004085011,true,[object Object],
25-04-2015,0,0,0,0,0,0,45.724617,0,45.7138443,0,45.7293167,0,45.57735,0,45.69581,0,45.26666,0,44.9860077,0,44.65045,0,50.865036,0.319450378,0.378195882,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000098,5,5.00000143,5,5.005889,5,5.036452,5.111111,5.054617,100,99.99998,-0.00318479538,-0.004409578,true,[object Object],
24-04-2015,45.86,46.24,45.32,45.68,132200,45.69997,45.724617,45.7866821,45.7138443,45.674305,45.7293167,45.83868,45.57735,45.8570175,45.69581,44.78467,45.26666,45.21483,44.9860077,44.3037758,44.65045,34.29757,50.865036,0.319450378,0.396960378,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000112,5,5.000002,5,5.006295,5,5.0376873,5.111111,5.05584431,100,99.99997,-0.003437996,-0.00475973543,true,[object Object],
23-04-2015,45.85,46.22,45.47,45.81,203200,45.62997,45.7469254,45.6000175,45.74769,45.85859,45.7457581,45.811348,45.5626869,45.89602,45.69932,44.728672,45.23815,45.12633,44.9624825,44.2366638,44.6273155,42.51974,56.3875237,0.342262268,0.417194366,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00012827,5,5.00000238,5,5.006729,5,5.03896475,5.111111,5.05709934,100,99.9999542,-0.00371170044,-0.00513749663,true,[object Object],
