date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,0.04435462,0,0.03928881,0,0.05177965,0,0.08657879,0,0.0652518943,0,0.139970124,0,0.234799564,0,0.268116,0,5.73326445,-0.05148001,-0.0514799766,0,0,0,0,0,0,0,0,0,5,4.9911747,5,4.99945068,5,4.9725585,4.9333334,4.89964,5,4.93971157,4.83333349,4.870932,4.91666651,4.887891,4.922222,4.913619,100,99.31395,0.049062252,0.008717484,true,[object Object],
01-05-2015,0,0,0,0,0,0,0.04435462,0,0.03928881,0,0.05177965,0,0.08657879,0,0.0652518943,0,0.139970124,0,0.234799564,0,0.268116,0,5.73326445,-0.05148001,-0.0514799766,0,0,0,0,0,0,0,0,0,5,4.986762,5,4.99890137,5,4.96341133,4.66666651,4.885303,4.9,4.92631435,4.83333349,4.862031,4.91666651,4.88409042,4.922222,4.911678,100,99.0852661,0.0449261665,-0.007812871,true,[object Object],
30-04-2015,0,0,0,0,0,0,0.04435462,0,0.03928881,0,0.05177965,0,0.08657879,0,0.0652518943,0,0.139970124,0,0.234799564,0,0.268116,0,5.73326445,-0.05148001,-0.0514799766,0,0,0,0,0,0,0,0,0,5,4.980143,5,4.99780273,5,4.951215,4.66666651,4.868918,4.9,4.90994,4.83333349,4.8525157,4.91666651,4.88016129,4.922222,4.90969324,100,98.78036,0.0389938354,-0.028797945,true,[object Object],
29-04-2015,0,0,0,0,0,0,0.04435462,0,0.03928881,0,0.05177965,0,0.08657879,0,0.0652518943,0,0.139970124,0,0.234799564,0,0.268116,0,5.73326445,-0.05148001,-0.0514799766,0,0,0,0,0,0,0,0,0,5,4.97021437,5,4.99560547,5,4.93495274,4.66666651,4.850192,4.9,4.88992643,4.83333349,4.84234428,4.91666651,4.876099,4.922222,4.907664,100,98.37381,0.0308551788,-0.0438505262,true,[object Object],
28-04-2015,0,0,0,0,0,0,0.04435462,0,0.03928881,0,0.05177965,0,0.08657879,0,0.0652518943,0,0.139970124,0,0.234799564,0,0.268116,0,5.73326445,-0.05148001,-0.0514799766,0,0,0,0,0,0,0,0,0,5,4.95532131,5,4.991211,4.857143,4.91327,4.66666651,4.82879066,4.9,4.86546564,4.83333349,4.83147144,4.91666651,4.871899,4.922222,4.90558863,100,97.83175,0.0200185776,-0.0624252968,true,[object Object],
27-04-2015,0,0,0,0,0,0,0.04435462,0,0.03928881,0,0.05177965,0,0.08657879,0,0.0652518943,0,0.139970124,0,0.234799564,0,0.268116,0,5.73326445,-0.05148001,-0.0514799766,0,0,0,0,0,0,0,0,0,5,4.932982,5,4.982422,4.857143,4.88436,4.66666651,4.80433226,4.9,4.835569,4.83333349,4.819849,4.91666651,4.86755657,4.922222,4.903467,100,97.109,0.00589561462,-0.08522548,true,[object Object],
26-04-2015,0,0,0,0,0,0,0.04435462,0,0.03928881,0,0.05177965,0,0.08657879,0,0.0652518943,0,0.139970124,0,0.234799564,0,0.268116,0,5.73326445,-0.05148001,-0.0514799766,0,0,0,0,0,0,0,0,0,4.8,4.899473,5,4.96484375,4.857143,4.84581327,4.66666651,4.77637959,4.5,4.799029,4.83333349,4.807425,4.91666651,4.863067,4.922222,4.901298,100,96.14533,-0.0122160912,-0.113087177,true,[object Object],
25-04-2015,0,0,0,0,0,0,0.04435462,0,0.03928881,0,0.05177965,0,0.08657879,0,0.0652518943,0,0.139970124,0,0.234799564,0,0.268116,0,5.73326445,-0.05148001,-0.0514799766,0,0,0,0,0,0,0,0,0,4.8,4.84921,5,4.9296875,4.857143,4.794418,4.66666651,4.744434,4.5,4.754369,4.83333349,4.794144,4.91666651,4.858425,4.922222,4.89908,100,94.86044,-0.0351552963,-0.147003964,true,[object Object],
24-04-2015,0,0,0,0,0,0,0.04435462,0,0.03928881,0,0.05177965,0,0.08657879,0,0.0652518943,0,0.139970124,0,0.234799564,0,0.268116,0,5.73326445,-0.05148001,-0.0514799766,0,0,0,0,0,0,0,0,0,4.8,4.77381468,4.66666651,4.859375,4.857143,4.72589064,4.66666651,4.70792437,4.5,4.699784,4.83333349,4.77994728,4.91666651,4.853626,4.922222,4.896812,100,93.14726,-0.06392288,-0.142903388,true,[object Object],
23-04-2015,0,0,0,0,0,0,0.04435462,0,0.03928881,0,0.05177965,0,0.08657879,0,0.0652518943,0,0.139970124,0,0.234799564,0,0.268116,0,5.73326445,-0.05148001,-0.0514799766,0,0,0,0,0,0,0,0,0,4.8,4.66072226,4.66666651,4.71875,4.285714,4.634521,4.66666651,4.666199,4.5,4.633069,4.83333349,4.764771,4.91666651,4.848664,4.922222,4.894493,100,90.86302,-0.09971094,-0.135590971,true,[object Object],
