date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,88.47478,0,88.7269745,0,88.35746,0,88.14788,0,88.24862,0,87.99388,0,87.64647,0,87.2672958,0,54.4769974,0.168754578,0.146023214,0,0,0,0,0,0,0,0,0,6,5.33493328,5,5.15640259,5.714286,5.417948,5.66666651,5.472838,5.5,5.46396255,5.33333349,5.418131,5.33333349,5.321859,5.1,5.283791,1e-7,8.95349,0.03824091,0.07967382,true,[object Object],
01-05-2015,88.57,89.98,87.95,89.64,176000,88.05601,88.47478,88.08665,88.7269745,88.46998,88.35746,87.83798,88.14788,88.385,88.24862,88.21732,87.99388,87.70767,87.64647,87.47067,87.2672958,68.72179,54.4769974,0.168754578,0.142262772,0,0,0,0,0,0,0,0,0,6,5.5024,5,5.312805,5.714286,5.55726337,5.66666651,5.540386,5.5,5.56706524,5.33333349,5.4469676,5.266667,5.33276939,5.1,5.29016829,1e-7,11.9379873,0.08944702,0.07860491,false,[object Object],
30-04-2015,88.99,91.72,87.42,88.24,261200,87.9480057,87.8921661,87.6966553,87.81394,88.37141,87.92995,87.71598,87.93472,88.015,87.93942,88.15666,87.8803558,87.62534,87.5788956,87.43067,87.213974,47.6691322,49.7287331,0.0356369,0.118499756,0,0,0,0,0,0,0,0,0,6,5.75359964,6.66666651,5.62561035,5.714286,5.743018,5.66666651,5.617584,5.5,5.69307947,5.5,5.47779274,5.266667,5.34405,5.1,5.296689,1e-7,15.9173164,0.153503418,0.07609728,true,[object Object],
29-04-2015,87.87,88.49,85.58,86.38,198200,88.2820053,87.7182541,87.46665,87.387886,88.37712,87.8266,87.67131,87.89111,87.8660049,87.87263,88.1413345,87.85555,87.57084,87.55649,87.40501,87.19092,25.0477371,50.4152679,0.007751465,0.0949300155,0,0,0,0,0,0,0,0,0,6,6.130399,6.66666651,6.2512207,5.714286,5.99069071,5.66666651,5.70581055,5.5,5.847097,5.5,5.510744,5.266667,5.35571241,5.15555573,5.303356,1e-7,21.22309,0.233030319,0.07178979,true,[object Object],
28-04-2015,87.37,89.37,86.9,88.47,147500,88.7960052,88.38738,88.37332,88.3957748,88.51283,88.3088,87.80198,88.10699,87.90501,88.20432,88.14534,87.95731,87.52685,87.59637,87.38901,87.2091446,65.0095444,58.8711128,0.161437988,0.0636918843,10,10,10,10,1,10,10,10,10,6,6.6955986,6.66666651,7.50244141,5.714286,6.320921,5.66666651,5.80664063,5.5,6.035341,5.5,5.54596758,5.266667,5.36777067,5.177778,5.310173,100,28.2974529,0.33114624,0.06524764,true,[object Object],
27-04-2015,89.24,89.99,87.2,87.55,107700,88.75801,88.34608,88.8533249,88.32155,88.15141,88.2550659,87.74865,88.05513,87.744,88.14529,88.08567,87.92196,87.46217,87.56675,87.33223,87.18081,47.4187737,56.82497,0.142448425,0.0128250122,0,0,0,0,0,0,0,0,0,5,5.043398,5,5.004883,5,5.09456158,5.33333349,5.207589,5.5,5.15430546,5.33333349,5.238793,5.1833334,5.210746,5.12222242,5.20478344,1e-7,4.396602,-0.0575299263,0.05594836,true,[object Object],
26-04-2015,0,0,0,0,0,0,88.74411,0,89.0930939,0,88.49009,0,88.12729,0,88.27757,0,87.94761,0,87.5673141,0,87.1725159,0,59.96037,0.20980835,-0.0359319039,0,0,0,0,0,0,0,0,0,5,5.065097,5,5.00976563,5,5.126082,5.33333349,5.23724461,5.5,5.18859529,5.33333349,5.25526142,5.1833334,5.21789,5.12222242,5.2093854,1e-7,5.86213636,-0.0436944962,0.09983095,true,[object Object],
25-04-2015,0,0,0,0,0,0,88.74411,0,89.0930939,0,88.49009,0,88.12729,0,88.27757,0,87.94761,0,87.5673141,0,87.1725159,0,59.96037,0.20980835,-0.092173256,0,0,0,0,0,0,0,0,0,5,5.09764528,5,5.01953125,5,5.16810942,5.33333349,5.27113676,5.5,5.23050547,5.33333349,5.272866,5.1833334,5.225276,5.12222242,5.214091,1e-7,7.81618166,-0.0253996849,0.0978233,true,[object Object],
24-04-2015,89.81,89.92,89,89.1,74600,88.71401,88.74411,89.3199844,89.0930939,88.0371246,88.49009,87.78397,88.12729,87.72901,88.27757,88.033,87.94761,87.4516754,87.5673141,87.29067,87.1725159,77.0553741,59.96037,0.20980835,-0.135469228,0,0,0,0,0,0,0,0,0,5,5.14646769,5,5.0390625,5.714286,5.224146,5.33333349,5.30987072,5.5,5.28172874,5.33333349,5.291684,5.266667,5.23291254,5.12222242,5.21890163,1e-7,10.4215755,-0.00167942047,0.0938378945,true,[object Object],
23-04-2015,89.32,90.3,88.98,89.91,144200,88.082016,88.56617,89.04665,89.08619,87.70428,88.28679,87.73264,87.98833,87.60001,88.09481,87.96099,87.86813,87.41467,87.51536,87.25045,87.1292,92.54304,54.2620354,0.134910583,-0.171114609,0,0,0,0,0,0,0,0,0,5,5.21970129,5,5.07812548,5.714286,5.298861,5.33333349,5.354138,5.5,5.344335,5.33333349,5.31180048,5.266667,5.240808,5.12222242,5.22382069,1e-7,13.8954334,0.02862072,0.08738613,false,[object Object],
