date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.08891,5,5.01886,5,5.147135,5.133333,5.19689226,5.5,5.190822,5.1,5.11320257,4.95,5.023133,5.0333333,4.986609,37.5,40.5666428,0.06442881,0.182711765,true,[object Object],
01-05-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.133365,5,5.03771925,5.714286,5.19617939,5.4,5.22502,5.5,5.23322725,4.9666667,5.12101,4.95,5.02391672,5.0666666,4.986308,37.5,41.58886,0.08993769,0.173980549,true,[object Object],
30-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.20004749,5,5.0754385,5.714286,5.26157236,5.4,5.25716543,5.2,5.28505564,4.9666667,5.12935543,4.95,5.02472734,5.0666666,4.98600054,37.5,42.9518127,0.121187687,0.160305664,true,[object Object],
29-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.30007124,5,5.150877,5.714286,5.348763,5.4,5.29390335,5.2,5.34840155,4.9333334,5.13827658,4.95,5.02556562,5.0666666,4.985686,37.5,44.7690849,0.159310818,0.140519783,true,[object Object],
28-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.450107,5,5.301754,5.714286,5.46501732,5.4,5.33589,5.2,5.425824,4.9333334,5.147813,4.95,5.026432,5.0666666,4.985364,37.5,47.192112,0.205652714,0.14716132,true,[object Object],
27-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.675161,6.66666651,5.603508,5.285714,5.620023,5.4,5.383874,5.2,5.520452,4.9333334,5.15800667,4.95,5.027328,5.0666666,4.985035,37.5,50.4228172,0.261811256,0.1534979,true,[object Object],
26-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.012741,6.66666651,6.207016,5.285714,5.826697,5.4,5.438713,5.6,5.636108,5.0666666,5.168904,4.95,5.02825451,5.022222,4.984699,37.5,54.730423,0.3296814,0.159352988,true,[object Object],
25-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,5,1,10,10,10,10,5.4,6.51911163,6.66666651,7.414032,5.285714,6.1022625,5.4,5.501386,5.6,5.77746534,5.0666666,5.18055248,4.95,5.02921247,5.022222,4.984355,100,60.4739,0.411512852,0.164508343,false,[object Object],
24-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.778667,5,4.82806444,4.571429,4.80301666,5.0666666,4.858727,5.1,4.839124,4.9,4.848177,4.866667,4.860711,4.9666667,4.871644,42.8571434,47.2985344,0.0008826256,0.123443127,true,[object Object],
23-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.6680007,4,4.656129,5.142857,4.737355,4.8,4.83854532,5.1,4.803374,4.9,4.83770657,4.8,4.85598946,4.9666667,4.86875963,50,48.779,-0.01415205,0.125799179,true,[object Object],
22-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.502001,4,4.312258,5.142857,4.649807,4.8,4.81548,5.1,4.75967932,4.8,4.826514,4.8,4.8511076,4.9666667,4.86581039,50,48.372,-0.0331363678,0.12697655,true,[object Object],
21-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,1,2,2,2,2,5.2,4.253001,4,3.62451553,5.142857,4.533076,4.8,4.78912,5.1,4.706275,4.8,4.814549,4.8,4.84606028,4.9666667,4.862795,12.5,47.8293381,-0.0568852425,0.126632422,true,[object Object],
20-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,5.3795023,5,5.249031,5.571429,5.37743425,5,5.187566,5.4,5.30766964,4.9,5.008656,4.85,4.942537,5,4.92712736,50,59.60578,0.21908474,0.124351293,true,[object Object],
19-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,5.56925344,6.33333349,5.49806166,5.571429,5.503246,5.0666666,5.21436071,5.4,5.37604046,4.9,5.009253,4.85,4.940589,5.0333333,4.92549,50,62.80771,0.262681961,0.08569166,true,[object Object],
18-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,5.85388041,6.33333349,5.99612331,5.571429,5.67099428,5.0666666,5.24498367,5,5.45960474,4.766667,5.009891,4.85,4.938575,5.0333333,4.92381573,50,67.07694,0.314507,0.035101518,true,[object Object],
17-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,5,1,9,9,9,9,5.8,6.280821,6.33333349,6.99224663,5.571429,5.894659,5.0666666,5.279981,5,5.561739,4.766667,5.01057339,4.85,4.93649244,5.0333333,4.922104,100,72.76926,0.376079559,-0.0299804471,false,[object Object],
16-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.921231,5,4.98449326,5,4.859545,4.5333333,4.74855,4.6,4.797681,4.633333,4.73544073,4.75,4.79874659,4.98888874,4.830466,80,63.692337,0.0419259071,-0.06736013,true,[object Object],
15-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.881846,5,4.968986,4.428571,4.812727,4.5333333,4.71262836,4.6,4.752721,4.633333,4.71719551,4.75,4.79192448,4.98888874,4.826656,80,58.2564468,0.0220870972,-0.06883791,true,[object Object],
14-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.822769,5,4.937972,4.428571,4.75030231,4.4666667,4.67157555,4.7,4.69776964,4.633333,4.697692,4.75,4.784871,4.98888874,4.82276058,57.14286,51.0085945,-0.00355577469,-0.06972276,true,[object Object],
13-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,4.73415375,5,4.87594461,4.428571,4.66707,4.4666667,4.62465763,4.7,4.630607,4.633333,4.676843,4.83333349,4.777579,4.94444466,4.81877756,57.14286,48.96384,-0.0362334251,-0.0698379949,true,[object Object],
12-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,4.60123062,5,4.751889,4.428571,4.556093,4.4666667,4.57103729,4.7,4.54852,4.633333,4.65455627,4.83333349,4.770039,4.94444466,4.81470537,57.14286,46.2375,-0.07741547,-0.08028242,true,[object Object],
11-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,4.401846,3.66666675,4.503778,4.571429,4.40812445,4.733333,4.509757,4.3,4.448191,4.633333,4.63073254,4.83333349,4.76224375,4.94444466,4.81054163,50,42.60238,-0.128851891,-0.09244553,true,[object Object],
10-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,4.102769,3.66666675,4.007556,4.571429,4.2108326,4.733333,4.439722,4.3,4.325567,4.633333,4.60526562,4.766667,4.75418425,4.94444466,4.806284,50,40.1365051,-0.192629337,-0.106625453,true,[object Object],
09-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,1,1,1,1,4.4,3.654153,3.66666675,3.015112,4.571429,3.947777,4.733333,4.35968256,4.2,4.17569256,4.633333,4.57804251,4.8166666,4.74585152,4.94444466,4.801931,1e-7,36.8486748,-0.2712307,-0.07792081,true,[object Object],
08-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,4.98123,5,5.030224,4.571429,4.93036938,5,4.83963728,4.6,4.881402,4.766667,4.824804,4.883333,4.87282944,4.98888874,4.88736773,50,49.1315651,0.03966236,-0.0401499,true,[object Object],
07-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,4.97184467,5.33333349,5.06044769,4.571429,4.907159,4.8,4.816728,4.6,4.85504675,4.66666651,4.81272125,4.883333,4.86851835,4.98888874,4.88483667,50,48.8420868,0.0286259651,-0.02529584,true,[object Object],
06-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,4.957767,5.33333349,5.12089539,4.428571,4.876212,4.8,4.79054642,5,4.822835,4.66666651,4.79980564,4.9,4.86406136,4.98888874,4.882249,50,48.4561157,0.01412344,-0.0059687295,true,[object Object],
05-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,5,1,6,6,6,6,4.4,4.93665028,5.33333349,5.241791,4.428571,4.83494949,4.8,4.76062441,5,4.783465,4.66666651,4.7859993,4.983333,4.859453,4.98888874,4.879603,62.5,47.94149,-0.00459289551,0.0187864825,false,[object Object],
04-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.40497541,3.66666675,4.48358154,4.285714,4.446599,4.733333,4.583571,4.9,4.51312351,4.633333,4.70227528,4.9666667,4.820791,4.977778,4.85442543,50,43.0886536,-0.130233288,0.00485738134,true,[object Object],
03-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.107463,3.66666675,3.967163,4.857143,4.26213169,4.4666667,4.524081,4.9,4.40492868,4.7,4.68174267,4.9666667,4.814716,4.977778,4.851154,50,40.784874,-0.18688345,-0.00167878473,true,[object Object],
02-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,1,1,1,1,4,3.661194,3.33333325,2.93432617,4.857143,4.01617575,4.4666667,4.456093,4.6,4.272691,4.8,4.659794,5,4.808435,4.977778,4.847809,1e-7,37.7131653,-0.256471157,-0.009996891,true,[object Object],
01-04-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,4.99179125,4.66666651,4.86865234,5.428571,5.021568,4.733333,4.94982052,5,4.99995565,4.9333334,4.9121933,5.116667,4.93753433,5.022222,4.93427658,50,50.2842178,0.06571245,-0.0204685,true,[object Object],
