date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,65.04344,0,64.9986038,0,65.10156,0,65.27267,0,65.1707,0,65.561554,0,65.53465,0,64.85427,0,37.739357,-0.289878845,-0.255493164,0,0,0,0,0,0,0,0,0,5.2,5.290925,5,5.19692039,5.142857,5.3290906,5.4666667,5.40727568,5.6,5.36142349,5.5333333,5.516442,5.6833334,5.568901,5.54444456,5.53659964,44.4444466,47.44341,-0.114751816,-0.07664251,true,[object Object],
01-05-2015,64.79,65.3,64.58,65.23,705800,64.98998,65.04344,64.8299942,64.9986038,65.16574,65.10156,65.312645,65.27267,65.25898,65.1707,65.40098,65.561554,66.47152,65.53465,65.33976,64.85427,46.315876,37.739357,-0.289878845,-0.250491679,0,0,0,0,0,0,0,0,0,5.2,5.43638754,6.66666651,5.393841,5.142857,5.43878746,5.4,5.465458,5.6,5.44174,5.5333333,5.5520587,5.6833334,5.588186,5.6,5.548658,44.4444466,48.44306,-0.08526373,-0.09882736,false,[object Object],
30-04-2015,64.68,65.04,63.91,64.45,1327000,65.0559845,64.95016,64.88332,64.7672043,65.25146,65.05875,65.35398,65.27876,65.2959747,65.1575241,65.45265,65.58442,66.4281845,65.54498,65.32431,64.8458252,18.94725,34.8805161,-0.315002441,-0.249196365,0,0,0,0,0,0,0,0,0,5.2,5.65458155,5.33333349,5.787682,5.857143,5.58505,5.4,5.531952,5.6,5.53990459,5.7,5.59013176,5.6833334,5.60812426,5.6,5.56098747,44.4444466,49.7759323,-0.0463862419,-0.125705823,true,[object Object],
29-04-2015,65.24,65.28,64.61,64.81,575100,65.29598,65.20023,65.08999,65.08441,65.3386,65.2616653,65.35664,65.3971558,65.4349747,65.31475,65.5399857,65.66266,66.38819,65.5821,65.3162,64.85472,22.3106422,40.1916046,-0.263069153,-0.251427531,10,10,10,5,1,10,10,10,10,5.2,5.98187256,5.33333349,6.575364,5.857143,5.780067,5.4,5.607945,5.2,5.6598835,5.8,5.63083029,5.66666651,5.6287384,5.6,5.573594,100,51.5530968,0.00391054153,-0.158184052,false,[object Object],
28-04-2015,65.01,65.62,64.67,65.39,586100,65.4999847,65.39535,65.33999,65.3588257,65.44289,65.4122238,65.3546448,65.48103,65.52097,65.42692,65.60298,65.7214661,66.3300247,65.60828,65.28698,64.85573,45.4182625,46.1519241,-0.229614258,-0.258239746,1,1,1,5,1,1,1,1,1,5.2,3.97280812,3.66666675,3.15072775,5.142857,4.37342262,5.266667,4.98050833,4.7,4.695413,5.633333,5.3295083,5.58333349,5.48056,5.5,5.47412443,1e-7,35.40413,-0.441040039,-0.197337255,false,[object Object],
27-04-2015,65.5,65.75,64.92,65.07,881600,65.43398,65.3980255,65.42666,65.32766,65.4728851,65.41963,65.34731,65.49404,65.44097,65.43512,65.67232,65.74432,66.25152,65.61568,65.23743,64.84372,32.66928,46.3964767,-0.24263,-0.27215746,0,0,0,0,0,0,0,0,0,6,5.4592123,5,5.3014555,5.714286,5.497897,5.5333333,5.54915237,5.6,5.516616,5.9333334,5.628095,5.7166667,5.63244343,5.54444456,5.5746665,44.4444466,47.2055054,-0.08618021,-0.142622471,true,[object Object],
26-04-2015,0,0,0,0,0,0,65.5620346,0,65.58532,0,65.53618,0,65.55462,0,65.51626,0,65.7908249,0,65.63417,0,64.83863,0,50.9722061,-0.223121643,-0.284629,0,0,0,0,0,0,0,0,0,6,5.68881845,6.66666651,5.60291147,5.142857,5.66386271,5.5333333,5.62760258,5.5,5.631419,5.9333334,5.671412,5.7833333,5.653882,5.54444456,5.58758,44.4444466,48.12586,-0.0392694473,-0.115964569,true,[object Object],
25-04-2015,0,0,0,0,0,0,65.5620346,0,65.58532,0,65.53618,0,65.55462,0,65.51626,0,65.7908249,0,65.63417,0,64.83863,0,50.9722061,-0.223121643,-0.2992681,0,0,0,0,0,0,0,0,0,6,6.03322744,6.66666651,6.205823,5.142857,5.88515043,5.5333333,5.71726036,5.5,5.77173471,5.9333334,5.717716,5.8,5.67604733,5.54444456,5.6007843,44.4444466,49.3529968,0.0211772919,-0.1368183,true,[object Object],
24-04-2015,65.5,65.75,65.2,65.56,841600,65.5279846,65.5620346,65.67999,65.58532,65.5828857,65.53618,65.36465,65.55462,65.4739761,65.51626,65.7489853,65.7908249,66.2143555,65.63417,65.20254,64.83863,52.19109,50.9722061,-0.223121643,-0.318337321,10,10,10,5,1,10,10,10,10,5.2,6.549841,6.66666651,7.41164637,5.857143,6.18020058,5.5333333,5.819726,5.5,5.943231,5.9333334,5.767214,5.8,5.698964,5.54444456,5.614285,100,50.9891777,0.09802103,-0.150132075,true,[object Object],
23-04-2015,65.61,65.96,65.5,65.65,770700,65.53599,65.56305,65.51333,65.61064,65.5985947,65.528244,65.3526459,65.55385,65.5029755,65.50654,65.83365,65.80675,66.154686,65.63669,65.155426,64.82242,55.7769051,50.5659142,-0.244865417,-0.345137715,0,0,0,0,0,0,0,0,0,4.2,4.824761,5,4.82329273,5,4.90693426,5.2,5.22254372,5.3,5.041727,5.766667,5.47529745,5.65,5.55316639,5.44444466,5.51572943,44.4444466,34.6522369,-0.314415455,-0.164941519,false,[object Object],
22-04-2015,65.25,66.02,65.2,65.83,853600,65.57399,65.51958,65.47666,65.57129,65.44717,65.4876556,65.324646,65.5401154,65.38697,65.4746552,65.86698,65.81756,66.10635,65.63624,65.1202,64.80382,62.9482269,48.82892,-0.27822113,-0.376717448,0,0,0,0,0,0,0,0,0,5.2,4.737141,3.66666675,4.64658546,5,4.875912,5.33333349,5.254336,5.3,5.05099964,5.766667,5.50807667,5.65,5.571918,5.44444466,5.527319,44.4444466,31.3881683,-0.3271699,-0.124878936,false,[object Object],
21-04-2015,65.58,65.75,65,65.06,1007600,65.54198,65.3643646,65.3999939,65.31258,65.38574,65.3735352,65.28798,65.4987,65.28197,65.39569,65.91631,65.8166962,66.07069,65.62967,65.08631,64.7807541,32.2707939,44.1224823,-0.335083,-0.4007009,0,0,0,0,0,0,0,0,0,5,4.605712,3.66666675,4.29317045,5,4.83454943,5.33333349,5.29066944,5.3,5.06233263,5.9,5.54311657,5.65,5.59130526,5.44444466,5.539169,44.4444466,27.0360756,-0.338690281,-0.105867438,true,[object Object],
20-04-2015,65.79,66.3,65.36,65.54,1110000,65.44798,65.51655,65.659996,65.56516,65.4986038,65.47804,65.3806458,65.56138,65.30397,65.47029,66.05199,65.86888,66.06052,65.64898,65.07353,64.7744751,51.3944168,48.0730438,-0.324378967,-0.4217665,1,1,1,5,1,1,1,1,1,5,4.408568,5.33333349,3.586341,5.428571,4.77939939,5.66666651,5.33219337,5.3,5.07618427,5.83333349,5.580573,5.58333349,5.61134958,5.44444466,5.551285,1e-7,21.233284,-0.3484683,-0.0800619647,true,[object Object],
19-04-2015,0,0,0,0,0,0,65.50482,0,65.5903244,0,65.45739,0,65.56443,0,65.4548,0,65.89156,0,65.65267,0,64.75727,0,46.96592,-0.354873657,-0.444021434,0,0,0,0,0,0,0,0,0,5.8,6.112852,6.33333349,6.172682,6,6.03919935,5.9333334,5.951078,5.7,5.98200274,5.9666667,5.896475,5.65,5.76766634,5.54444456,5.65356064,16.6666679,28.3110466,0.0513930321,-0.045960214,true,[object Object],
18-04-2015,0,0,0,0,0,0,65.50482,0,65.5903244,0,65.45739,0,65.56443,0,65.4548,0,65.89156,0,65.65267,0,64.75727,0,46.96592,-0.354873657,-0.4628881,10,10,10,10,1,10,10,10,10,6.4,6.669278,6.33333349,7.345364,6,6.385599,5.9333334,6.086946,5.7,6.20022535,6,5.95830059,5.733333,5.793689,5.6,5.668247,100,32.1925049,0.153740883,-0.047018,false,[object Object],
17-04-2015,65.5,65.87,65.26,65.6,1219300,65.4199753,65.50482,65.70333,65.5903244,65.3485947,65.45739,65.39598,65.56443,65.2829742,65.4548,66.16265,65.89156,66.02752,65.65267,65.0612,64.75727,53.78475,46.96592,-0.354873657,-0.490336955,4,4,4,5,1,4,4,4,4,5.4,5.003917,4.66666651,4.690728,5.285714,5.180799,5.6,5.52793837,5.4,5.355831,5.8,5.67956257,5.65,5.651102,5.5333333,5.57090425,1e-7,9.590008,-0.22695303,-0.04768414,false,[object Object],
16-04-2015,65.44,66.76,65.3,65.84,1327500,65.46998,65.45723,65.36666,65.58065,65.23145,65.40985,65.36732,65.55935,65.26097,65.42254,66.30465,65.9116745,65.97585,65.65446,65.06087,64.7383347,65.92577,44.6929741,-0.394744873,-0.5123817,0,0,0,0,0,0,0,0,0,5.6,5.505876,6,5.38145638,5.428571,5.57439852,5.66666651,5.74621534,5.5,5.657127,5.83333349,5.79539442,5.75,5.707072,5.5333333,5.60620546,1e-7,12.7866764,-0.09864664,0.008724902,false,[object Object],
15-04-2015,64.62,65.83,64.47,65.67,1604600,65.1999741,65.26585,65.21999,65.3213043,65.15145,65.2664642,65.26865,65.51926,65.19997,65.32977,66.44532,65.91662,65.92802,65.64817,65.05409,64.71358,60.5262566,37.6153755,-0.464324951,-0.5254856,0,0,0,0,0,0,0,0,0,5.6,5.758814,6,5.76291275,5.428571,5.765865,6,5.85281754,6,5.803155,5.9333334,5.85024929,5.75,5.73104048,5.5333333,5.619828,1e-7,17.0489025,-0.0352640152,0.0466570854,false,[object Object],
14-04-2015,64.38,64.97,64.25,64.59,1053100,65.02198,65.06377,65.28,64.97261,65.10288,65.13196,65.27265,65.49773,65.16097,65.2541656,66.60932,65.9336243,65.88168,65.64743,65.06031,64.6920853,19.48524,29.9784164,-0.529083252,-0.529928446,8,8,8,5,1,8,8,8,8,5.6,6.138221,6,6.525826,5.714286,6.021153,6.2,5.97464848,6,5.98163366,5.9333334,5.90888739,5.6833334,5.7558217,5.5333333,5.633757,60.0000038,22.73187,0.0461478233,0.09439368,true,[object Object],
13-04-2015,66.04,66.27,65.4,65.4,941100,65.15998,65.30065,65.246666,65.3552246,65.215744,65.3126144,65.40065,65.6274,65.34698,65.40176,66.82298,66.02629,65.84451,65.68327,65.0547562,64.69438,40.2403374,33.4761429,-0.49407196,-0.5257399,0,0,0,0,0,0,0,0,0,5,5.207331,5,5.051652,5.285714,5.36153746,6,5.68531227,5.7,5.53310776,5.83333349,5.76467276,5.7166667,5.679748,5.54444456,5.580583,1e-7,10.30916,-0.156066418,0.09738435,true,[object Object],
12-04-2015,0,0,0,0,0,0,65.25098,0,65.31044,0,65.2834854,0,65.65989,0,65.4021454,0,66.06948,0,65.69288,0,64.67853,0,31.2214127,-0.524673462,-0.525441468,0,0,0,0,0,0,0,0,0,5.4,5.31099653,5,5.10330343,6,5.48205,6.33333349,5.783214,5.7,5.651576,5.83333349,5.81740856,5.6833334,5.70279026,5.5666666,5.59363,1e-7,13.7455473,-0.106441021,0.133724421,true,[object Object],
11-04-2015,0,0,0,0,0,0,65.25098,0,65.31044,0,65.2834854,0,65.65989,0,65.4021454,0,66.06948,0,65.69288,0,64.67853,0,31.2214127,-0.524673462,-0.52174294,0,0,0,0,0,0,0,0,0,5.4,5.46649456,5,5.206607,6,5.64273357,6.33333349,5.895102,5.7,5.79637051,5.83333349,5.87378168,5.6833334,5.72661352,5.522222,5.60697,1e-7,18.3273964,-0.0415525436,0.178162515,true,[object Object],
10-04-2015,64.62,65.98,64.49,65.85,1375500,65.14598,65.25098,65.04,65.31044,65.19146,65.2834854,65.48931,65.65989,65.38398,65.4021454,67.00699,66.06948,65.81202,65.69288,65.03387,64.67853,53.75375,31.2214127,-0.524673462,-0.518044353,0,0,0,0,0,0,0,0,0,6.4,5.699742,5.66666651,5.41321373,6,5.856978,6.33333349,6.02297354,6.2,5.973342,5.83333349,5.93404245,5.65,5.75124454,5.522222,5.62060976,1e-7,24.43653,0.04187298,0.232290268,false,[object Object],
09-04-2015,64.88,65.14,64.28,64.49,1166700,65.05198,64.95146,64.85,64.77089,65.11003,65.09465,65.5513153,65.63273,65.31598,65.30262,67.17399,66.08462,65.7668457,65.68755,65.006424,64.65221,12.1126738,23.7106342,-0.601913452,-0.51228416,0,0,0,0,0,0,0,0,0,6.4,6.04961252,5.66666651,5.826428,6,6.14263725,6.33333349,6.16911268,6.5,6.18964,5.866667,5.99845934,5.58333349,5.77671051,5.522222,5.634556,1e-7,32.58204,0.147745609,0.29799822,true,[object Object],
08-04-2015,65.27,65.56,64.39,64.78,1181000,65.19998,65.1822,65.13,65.05177,65.39003,65.296196,65.72331,65.7959747,65.30298,65.4832,67.37365,66.19459,65.74518,65.72815,64.99309,64.65585,20.2817059,27.57662,-0.553276062,-0.492848724,7,7,7,5,1,7,7,7,7,6.4,6.57441854,7.33333349,6.652856,6,6.52351665,6.33333349,6.33612871,6.5,6.45400429,5.866667,6.06731844,5.58333349,5.80303955,5.577778,5.64881563,40,43.44272,0.28072834,0.32096523,false,[object Object],
07-04-2015,65.31,65.7,65.14,65.28,809600,65.29998,65.38329,65.3299942,65.323555,65.531456,65.46826,65.85132,65.94112,65.39797,65.6394653,67.57565,66.2921448,65.7370148,65.76029,64.97487,64.65306,34.3662033,30.0082588,-0.512680054,-0.4721934,0,0,0,0,0,0,0,0,0,6,6.361628,6.66666651,6.30571175,6.428571,6.364689,6.2,6.24129,6.8,6.332672,5.8,6.00299549,5.55,5.76246452,5.55555534,5.618452,1e-7,44.5902939,0.242743015,0.311671585,true,[object Object],
06-04-2015,65.01,65.74,64.42,65.33,1262700,65.53398,65.4349442,65.31333,65.36711,65.51574,65.53101,65.99732,66.03556,65.52098,65.7193451,67.7909851,66.3619461,65.70384,65.77657,64.9545441,64.63897,30.825325,28.55561,-0.5043106,-0.46023643,10,10,10,5,1,10,10,10,10,6,7.042442,6.66666651,7.611423,6.857143,6.819585,6.4666667,6.41861725,6.8,6.62882137,5.8,6.0721674,5.55,5.788311,5.55555534,5.63235,100,59.4537239,0.3943653,0.317902416,true,[object Object],
05-04-2015,0,0,0,0,0,0,65.48741,0,65.40422,0,65.5980148,0,66.13635,0,65.80587,0,66.43311,0,65.79171,0,64.62344,0,27.7990379,-0.4913864,-0.449209422,0,0,0,0,0,0,0,0,0,6,5.56366253,5,5.222846,6.142857,5.759446,6,5.906991,6.3,5.87967062,5.8,5.80128241,5.55,5.64554167,5.55555534,5.53420067,28.57143,45.9382973,0.07306385,0.264665544,true,[object Object],
04-04-2015,0,0,0,0,0,0,65.48741,0,65.40422,0,65.5980148,0,66.13635,0,65.80587,0,66.43311,0,65.79171,0,64.62344,0,27.7990379,-0.4913864,-0.439618438,0,0,0,0,0,0,0,0,0,6.6,5.845494,5,5.445692,6.857143,6.012595,6,6.036561,6.3,6.075153,5.66666651,5.856543,5.55,5.667424,5.55555534,5.546205,28.57143,51.727253,0.170994282,0.249431923,true,[object Object],
03-04-2015,0,0,0,0,0,0,65.48741,0,65.40422,0,65.5980148,0,66.13635,0,65.80587,0,66.43311,0,65.79171,0,64.62344,0,27.7990379,-0.4913864,-0.427024841,0,0,0,0,0,0,0,0,0,6.6,6.268241,6.66666651,5.891384,6.857143,6.350127,6.0666666,6.18464136,6.3,6.31407547,5.66666651,5.915615,5.55,5.69004869,5.55555534,5.55847931,44.4444466,59.44586,0.293501854,0.226360217,true,[object Object],
02-04-2015,65.25,65.99,65.1,65.38,713300,65.62199,65.48741,65.29666,65.40422,65.37716,65.5980148,66.133316,66.13635,65.66097,65.80587,67.84432,66.43311,65.65801,65.79171,64.9228745,64.62344,31.6546268,27.7990379,-0.4913864,-0.403199941,0,0,0,0,0,0,0,0,0,7.6,6.90236139,7.66666651,6.78276825,6.857143,6.80017,6,6.35387564,6.3,6.60609245,5.83333349,5.97876072,5.55,5.71344042,5.55555534,5.571029,44.4444466,64.4463348,0.445597172,0.193619832,false,[object Object],
