date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,29.8233128,0,29.54654,0,30.0315742,0,30.3783188,0,30.2277431,0,30.65348,0,31.551363,0,32.3082733,0,29.6617928,-0.263845444,-0.05685573,0,0,0,0,0,0,0,0,0,6,5.49378061,5,5.31249952,5.714286,5.52771664,5.33333349,5.45563745,5.5,5.50413275,5.4333334,5.46208239,5.8,5.57269144,5.822222,5.642956,1e-7,38.00914,0.0335989,-0.0568998642,true,[object Object],
01-05-2015,28.93,29.6,28.93,29.45,99000,29.9259834,29.8233128,29.4433289,29.54654,30.27143,30.0315742,30.788,30.3783188,30.4530087,30.2277431,30.2283382,30.65348,31.8169975,31.551363,32.09566,32.3082733,21.3622475,29.6617928,-0.263845444,-0.0215322711,0,0,0,0,0,0,0,0,0,6,5.74067068,6.66666651,5.624999,5.714286,5.703622,5.33333349,5.52072859,5.5,5.6161623,5.4666667,5.49395037,5.8,5.592105,5.822222,5.65740442,1e-7,50.6788559,0.0853095055,-0.08708652,false,[object Object],
30-04-2015,29.8,29.86,28.76,28.9,161000,30.27798,30.0099678,29.8799953,29.6430779,30.4885731,30.2254333,30.9346657,30.5109367,30.5990086,30.4005737,30.1966724,30.7364788,31.8935,31.6225948,32.1157722,32.3725052,4.334347,32.4283066,-0.197889328,0.01278856,0,0,0,0,0,0,0,0,0,6,6.11100626,6.66666651,6.24999762,5.714286,5.938163,5.33333349,5.59511852,5.5,5.75308752,5.4666667,5.528016,5.883333,5.61217642,5.822222,5.672178,1e-7,67.57181,0.150069714,-0.124348961,true,[object Object],
29-04-2015,30.55,30.55,29.85,29.98,51600,30.7099819,30.56495,30.42666,30.3861542,30.7671471,30.667244,31.0626659,30.74107,30.8770084,30.7340355,30.1883373,30.8631325,31.998,31.7148857,32.1469955,32.45054,6.074729,41.79296,-0.0548267365,0.0394465141,10,10,10,3,1,10,10,10,10,6,6.66650963,6.66666651,7.499995,5.714286,6.250884,5.33333349,5.68013573,5.5,5.92044,5.4666667,5.564431,5.883333,5.63292837,5.822222,5.687283,100,90.09575,0.230544567,-0.170100629,false,[object Object],
28-04-2015,30.68,30.85,30.33,30.76,72100,30.9079838,30.8574276,30.8366623,30.7923088,30.8857174,30.8963242,31.0966663,30.8497944,31.0470066,30.9016,30.117672,30.9240379,32.0603333,31.773695,32.156662,32.5060577,35.26317,53.6990356,0.0186061859,0.05107159,0,0,0,0,0,0,0,0,0,5,4.999764,5,4.999991,5,5.00117874,5,5.063012,5,5.013871,5.3,5.25853,5.8,5.484892,5.766667,5.59036827,100,86.79433,-0.179184437,-0.226022184,false,[object Object],
27-04-2015,31.21,31.6,30.43,30.54,69900,30.9259834,30.9061413,30.93666,30.8246174,30.9071484,30.9417648,31.076664,30.8626213,31.1340065,30.9330673,30.0066719,30.93535,32.0983353,31.8080578,32.1507721,32.5452957,26.0204315,59.8443222,0.03264427,0.0560107753,0,0,0,0,0,0,0,0,0,5,4.999646,5,4.999982,5,5.00157166,5,5.072014,5,5.01695347,5.3,5.27636,5.8,5.501329,5.766667,5.603635,100,82.39244,-0.190450668,-0.237545177,true,[object Object],
26-04-2015,0,0,0,0,0,0,31.0892124,0,31.1092339,0,31.0756874,0,30.90871,0,31.0204144,0,30.962616,0,31.8510418,0,32.59036,0,71.11895,0.07248497,0.0593901724,0,0,0,0,0,0,0,0,0,5,4.99946928,5,4.99996376,5,5.0020957,5,5.08230162,5,5.020721,5.3,5.295419,5.8,5.518323,5.766667,5.6172,100,76.5232544,-0.202059746,-0.248797417,true,[object Object],
25-04-2015,0,0,0,0,0,0,31.0892124,0,31.1092339,0,31.0756874,0,30.90871,0,31.0204144,0,30.962616,0,31.8510418,0,32.59036,0,71.11895,0.07248497,0.05834283,0,0,0,0,0,0,0,0,0,5,4.999204,5,4.999928,5,5.00279427,4.733333,5.094059,5,5.025326,5.3,5.315793,5.8,5.53589344,5.766667,5.63106966,100,68.69768,-0.213938713,-0.259540558,true,[object Object],
24-04-2015,31.17,31.38,31.06,31.21,82600,30.97998,31.0892124,31.0799942,31.1092339,31.0700035,31.0756874,31.06333,30.90871,31.2190037,31.0204144,29.9066715,30.962616,32.165,31.8510418,32.154995,32.59036,69.1699448,71.11895,0.07248497,0.05794292,0,0,0,0,0,0,0,0,0,5,4.99880648,5,4.999856,5,5.003726,4.733333,5.107496,5,5.030954,5.4666667,5.33757162,5.8,5.55405951,5.766667,5.645251,100,58.2635727,-0.225987911,-0.269477516,false,[object Object],
23-04-2015,30.97,31.23,30.84,31.06,55100,30.9199829,31.0288181,30.9599934,31.0084686,31.1371479,31.0309181,30.9973316,30.86567,31.2630043,30.9782848,29.7610054,30.9455547,32.2073326,31.8727722,32.1533279,32.62138,63.2411079,71.7686157,0.0540657043,0.0495469831,0,0,0,0,0,0,0,0,0,5,4.99821,5,4.999712,5,5.00496769,5.0666666,5.12285233,5,5.03783274,5.5333333,5.36085224,5.8,5.572841,5.822222,5.659751,44.4444466,44.3514328,-0.238080978,-0.2782411,false,[object Object],
