date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,36.669,0,36.52043,0,36.8005676,0,37.0004768,0,36.9319,0,36.77236,0,36.3373756,0,36.19894,0,27.7433033,0.127716064,0.344489634,0,0,0,0,0,0,0,0,0,5,5.01586962,5,5.003685,5,5.02516556,4.9333334,5.070172,5.1,5.03769541,5.0666666,5.175399,5.41666651,5.217683,5.1,5.21540546,44.4444466,44.7238922,-0.105288506,-0.120819777,true,[object Object],
01-05-2015,36.1,36.58,36.08,36.56,1742500,36.6920128,36.669,36.3733521,36.52043,36.9271545,36.8005676,37.2606544,37.0004768,37.12701,36.9319,36.9256744,36.77236,35.8681526,36.3373756,36.0092125,36.19894,28.8557835,27.7433033,0.127716064,0.390419841,0,0,0,0,0,0,0,0,0,5,5.023804,5,5.00737,5.142857,5.033554,4.9333334,5.08019638,5.1,5.046072,5.233333,5.187495,5.41666651,5.225062,5.1,5.220246,44.4444466,44.81704,-0.108743668,-0.1332379,false,[object Object],
30-04-2015,36.36,36.37,35.98,36.15,2321800,36.8840141,36.7235,36.51669,36.48086,37.0642967,36.8807564,37.346653,37.0634,37.20101,37.0145454,36.85234,36.7870064,35.86315,36.32983,36.0125465,36.1908264,8.095324,27.3724766,0.180534363,0.4403335,0,0,0,0,0,0,0,0,0,5,5.035706,5,5.01473951,5.142857,5.044739,5.133333,5.091653,5.1,5.05631,5.4,5.200426,5.366667,5.23269129,5.1,5.22519541,44.4444466,44.9412346,-0.111571789,-0.147149935,true,[object Object],
29-04-2015,36.94,36.98,36.32,36.41,2122100,37.1560135,37.0102463,36.916687,36.81172,37.2728653,37.12434,37.46265,37.1938858,37.3240128,37.206665,36.7990074,36.8309364,35.8603172,36.3359261,36.0173264,36.1917419,5.113639,33.7981949,0.2870674,0.4884173,0,0,0,0,0,0,0,0,0,5.2,5.053559,5,5.029479,5.142857,5.05965137,5.133333,5.104746,4.9,5.068824,5.5333333,5.21424866,5.366667,5.240579,5.1,5.230256,44.4444466,45.10683,-0.113559246,-0.162766457,true,[object Object],
28-04-2015,36.85,37.1,36.73,36.99,1547700,37.3780136,37.31037,37.2866859,37.2134476,37.45001,37.3624535,37.5633163,37.30587,37.44001,37.3837,36.7350044,36.8599663,35.84932,36.333416,36.0249939,36.1868362,19.2593842,43.35971,0.392398834,0.52780956,0,0,0,0,0,0,0,0,0,5.2,5.08033848,5,5.058958,5.142857,5.07953548,5.133333,5.11970949,4.9,5.084118,5.6,5.22902441,5.366667,5.24873447,5.05555534,5.23543024,44.4444466,45.3276253,-0.114443779,-0.18033129,false,[object Object],
27-04-2015,37.51,37.66,37.2,37.35,1708100,37.5020142,37.47056,37.46002,37.4368935,37.4942932,37.4866028,37.6279869,37.3509941,37.52001,37.47119,36.6496735,36.8509979,35.82332,36.3111572,36.0201073,36.16879,29.9999714,51.3931541,0.46207428,0.5580241,5,5,5,1,1,5,5,5,5,5.2,5.12050772,5.33333349,5.117916,5.142857,5.10604763,5.133333,5.136811,4.9,5.102811,5.6,5.244819,5.3,5.25716639,5.04444456,5.24072075,44.4444466,45.6220169,-0.113908291,-0.1775011,true,[object Object],
26-04-2015,0,0,0,0,0,0,37.530838,0,37.52379,0,37.532135,0,37.3511353,0,37.4981232,0,36.8165855,0,36.2759438,0,36.1422462,0,58.5242157,0.5076332,0.5804969,0,0,0,0,0,0,0,0,0,5.2,5.180762,5.33333349,5.235832,4.857143,5.141397,5.133333,5.15635538,4.9,5.12565756,5.4666667,5.26170349,5.3,5.265884,5,5.24613,44.4444466,46.0145378,-0.111567974,-0.171306878,true,[object Object],
25-04-2015,0,0,0,0,0,0,37.530838,0,37.52379,0,37.532135,0,37.3511353,0,37.4981232,0,36.8165855,0,36.2759438,0,36.1422462,0,58.5242157,0.5076332,0.5979076,6,6,6,0,1,6,6,6,6,5.2,5.27114248,5.33333349,5.471665,4.857143,5.18852949,5.133333,5.178692,5.2,5.15358162,5.4333334,5.27975225,5.25,5.274897,4.9666667,5.251661,55.5555573,46.5379028,-0.106957912,-0.160909012,false,[object Object],
24-04-2015,37.55,37.76,37.38,37.52,1703900,37.56201,37.530838,37.51669,37.52379,37.4985771,37.532135,37.67399,37.3511353,37.5450134,37.4981232,36.5360069,36.8165855,35.80865,36.2759438,36.0124359,36.1422462,38.6207657,58.5242157,0.5076332,0.6214273,0,0,0,0,0,0,0,0,0,4.6,4.90671349,5,4.94333,4.714286,4.91803932,5,5.06136227,5.1,4.965489,5.4,5.23008,5.233333,5.250317,4.95555544,5.234844,44.4444466,43.5320168,-0.201336861,-0.14529711,true,[object Object],
23-04-2015,37.4,37.81,37.4,37.51,1654900,37.518013,37.5362549,37.5466881,37.52758,37.5057259,37.53618,37.693985,37.32701,37.5780144,37.49326,36.42434,36.768074,35.7921524,36.2337723,36.00366,36.1112862,44.444313,65.1587,0.5410881,0.650677145,0,0,0,0,0,0,0,0,0,4.6,4.86007,5,4.88666,4.714286,4.890719,5,5.07012844,5.1,4.95782,5.4666667,5.245948,5.16666651,5.25880241,4.95555544,5.240122,44.4444466,43.2278748,-0.2170515,-0.1458834,false,[object Object],
