date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,7.12990236,0,7.161289,0,7.10541773,0,7.02650738,0,7.07197237,0,6.984088,0,7.06435442,0,7.178668,0,50.52184,0.06672382,0.0467827059,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,100,0,0,true,[object Object],
01-05-2015,7.2,7.2,6.79,7.15,44000,7.10199738,7.12990236,7.12999725,7.161289,7.0785737,7.10541773,7.01733446,7.02650738,7.082003,7.07197237,6.84299755,6.984088,7.054502,7.06435442,7.152774,7.178668,51.8797035,50.52184,0.06672382,0.0426472574,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,100,0,0,true,[object Object],
30-04-2015,6.88,7.64,6.6,7.39,140500,7.08399725,7.1198535,7.106664,7.172578,7.05428743,7.090557,6.9773345,7.00886536,7.107003,7.05463266,6.82999754,6.97264576,7.05433559,7.061451,7.15499544,7.179312,69.9248047,50.0692177,0.062063694,0.03837983,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,100,0,0,false,[object Object],
29-04-2015,7.08,7.08,6.61,6.85,74400,7.00199747,6.98478031,6.98999739,6.95515537,7.022859,6.99074268,6.932668,6.95441771,7.08100271,6.980107,6.815665,6.943863,7.05166864,7.050314,7.15843964,7.17457771,29.3233013,43.4506874,0.0307769775,0.0344159864,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,100,0,0,true,[object Object],
28-04-2015,7.06,7.21,7,7.08,8100,7.02799749,7.05217028,7.059997,7.06031036,7.061431,7.037657,6.92400169,6.9693346,7.06200266,7.00901937,6.82266426,6.950336,7.054669,7.057104,7.16499567,7.18187141,46.6165352,48.1598167,0.04537773,0.0314629339,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,100,0,0,false,[object Object],
27-04-2015,7.06,7.06,6.91,7.04,10900,7.04599762,7.03825569,7.0266633,7.04062128,7.107145,7.0235424,6.900668,6.95352554,7.0050025,6.993246,6.816331,6.941394,7.05516863,7.056328,7.16977358,7.18416071,43.60902,48.6742439,0.03993559,0.0242995154,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,100,0,0,true,[object Object],
26-04-2015,0,0,0,0,0,0,7.03738356,0,7.0412426,0,7.01805639,0,6.941172,0,6.98285627,0,6.934593,0,7.05688143,0,7.18740034,0,50.36265,0.0364809036,0.0177407786,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,100,0,0,true,[object Object],
25-04-2015,0,0,0,0,0,0,7.03738356,0,7.0412426,0,7.01805639,0,6.941172,0,6.98285627,0,6.934593,0,7.05688143,0,7.18740034,0,50.36265,0.0364809036,0.0115658976,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,100,0,0,true,[object Object],
24-04-2015,6.98,7.07,6.9,7.06,8300,7.06199741,7.03738356,7.006664,7.0412426,7.12000227,7.01805639,6.87600136,6.941172,6.97500229,6.98285627,6.819331,6.934593,7.05616856,7.05688143,7.178218,7.18740034,45.1127777,50.36265,0.0364809036,-0.00104909472,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,100,0,0,false,[object Object],
23-04-2015,7.32,7.32,6.95,6.98,4800,7.12999725,7.02607536,7.04333067,7.022485,7.062859,7.004075,6.85200167,6.92419672,6.924002,6.9657135,6.820331,6.92594433,7.056502,7.05677557,7.18866253,7.19026327,39.097744,52.11261,0.029504776,-0.0187049434,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,100,0,0,true,[object Object],
