date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,28.5300159,0,28.4655952,0,28.5887489,0,28.8111839,0,28.6780739,0,28.9932346,0,29.037569,0,29.0225887,0,14.1853027,-0.234231949,-0.19132,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000104,5,5.00000143,5,5.005343,5,5.029215,5.133333,5.050033,100,99.99997,-0.00299978256,-0.004152351,true,[object Object],
01-05-2015,28.35,28.92,28.27,28.43,11600,28.54599,28.5300159,28.4400024,28.4655952,28.6142883,28.5887489,28.6926689,28.8111839,28.6899967,28.6780739,29.3160019,28.9932346,29.1378422,29.037569,28.6864319,29.0225887,13.1387014,14.1853027,-0.234231949,-0.181868657,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00011873,5,5.000002,5,5.00571156,5,5.03020525,5.133333,5.05115747,100,99.9999542,-0.00323820114,-0.00448168628,false,[object Object],
30-04-2015,28.41,28.54,28.3,28.34,24300,28.61999,28.5800228,28.5933361,28.5011921,28.67429,28.6416664,28.7593365,28.8656387,28.697998,28.733202,29.3450012,29.0320778,29.1545086,29.0581646,28.6786537,29.0359058,3.9647634,14.5341692,-0.221876144,-0.170524389,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000136,5,5.00000238,5,5.00610542,5,5.031229,5.133333,5.052307,100,99.99994,-0.00349569321,-0.00483687734,true,[object Object],
29-04-2015,28.91,29.23,28.53,28.55,7400,28.70599,28.7000332,28.6533356,28.662384,28.7400055,28.7422218,28.8893375,28.94073,28.737,28.82058,29.366333,29.0798073,29.162508,29.08251,28.67643,29.0515442,12.2448635,18.0573044,-0.193716049,-0.158828318,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00015545,5,5.000003,5,5.00652647,5,5.0322876,5.133333,5.05348253,100,99.99992,-0.00377368927,-0.00521983,true,[object Object],
28-04-2015,28.67,29.22,28.66,28.89,8900,28.7659912,28.7750511,28.73667,28.77477,28.7971478,28.8062973,29.0333366,28.9965477,28.757,28.8807087,29.3893337,29.1163464,29.1493416,29.1005611,28.67143,29.0628147,25.5999737,19.9947853,-0.176336288,-0.1473056,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00017738,5,5.00000334,5,5.0069766,5,5.033382,5.133333,5.054684,100,99.99989,-0.00407362,-0.00563266547,false,[object Object],
27-04-2015,28.99,29.62,28.42,28.52,12500,28.7479916,28.717577,28.69667,28.6595421,28.74286,28.7783966,29.1513386,29.0117683,28.737,28.878643,29.3803329,29.1319561,29.1211739,29.1076984,28.66143,29.0666981,9.440574,18.1263885,-0.186208725,-0.135493174,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00020266,5,5.00000429,5,5.00745773,5,5.03451347,5.133333,5.055913,100,99.99986,-0.00439691544,-0.00607766025,true,[object Object],
26-04-2015,0,0,0,0,0,0,28.8163662,0,28.7990837,0,28.8645287,0,29.0820217,0,28.9583416,0,29.17416,0,29.12762,0,29.0789833,0,21.02166,-0.158426285,-0.122583814,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00023174,5,5.00000525,5,5.00797224,5,5.03568363,5.088889,5.05716944,100,99.99982,-0.0047454834,-0.00655725272,true,[object Object],
25-04-2015,0,0,0,0,0,0,28.8163662,0,28.7990837,0,28.8645287,0,29.0820217,0,28.9583416,0,29.17416,0,29.12762,0,29.0789833,0,21.02166,-0.158426285,-0.112761393,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000265,5,5.000006,5,5.008522,5.0666666,5.03689337,5.088889,5.058454,100,99.9997559,-0.005121231,-0.007074038,true,[object Object],
24-04-2015,28.68,28.92,28.5,28.8,15800,28.83399,28.8163662,28.8066711,28.7990837,28.77286,28.8645287,29.2880058,29.0820217,28.766,28.9583416,29.3843327,29.17416,29.11484,29.12762,28.6679878,29.0789833,19.2307377,21.02166,-0.158426285,-0.0950135142,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00030327,5,5.00000763,5,5.00911,5.0666666,5.038144,5.088889,5.05976772,100,99.99968,-0.00552654266,-0.007630772,false,[object Object],
23-04-2015,28.76,28.79,28.54,28.77,9400,28.7759914,28.8245487,28.8066711,28.7981663,28.7657166,28.88604,29.4146748,29.12231,28.829,28.9935284,29.3846664,29.1999645,29.0931721,29.1387272,28.6835423,29.0852528,18.1818314,21.6186333,-0.149169922,-0.06964111,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00034666,5,5.00000954,5,5.00973845,5.0666666,5.03943729,5.088889,5.061111,100,99.99957,-0.00596380234,-0.008230422,false,[object Object],
