date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,36.46763,0,36.48104,0,36.2966843,0,35.5343552,0,35.9794426,0,34.907074,0,34.7501564,0,34.89516,0,83.17384,0.777919769,0.695267141,0,0,0,0,0,0,0,0,0,4.4,4.450922,3.66666675,4.547826,4.571429,4.484084,5.133333,4.76108456,4.3,4.59616566,5.0333333,4.939932,4.9666667,4.9521637,4.77777767,4.933786,44.4444466,38.71205,-0.2499013,-0.136004612,true,[object Object],
01-05-2015,0,0,0,0,0,0,36.46763,0,36.48104,0,36.2966843,0,35.5343552,0,35.9794426,0,34.907074,0,34.7501564,0,34.89516,0,83.17384,0.777919769,0.652075052,0,0,0,0,0,0,0,0,0,4.4,4.176383,4,4.095651,4,4.31211233,5.266667,4.726954,4.2,4.50642443,5.2,4.935789,4.9,4.950542,4.788889,4.932298,44.4444466,36.80125,-0.303473949,-0.067961216,true,[object Object],
30-04-2015,36.65,36.76,35.99,36.09,8837700,36.7760048,36.46763,36.6166725,36.48104,36.718586,36.2966843,35.0593376,35.5343552,36.057,35.9794426,34.3369865,34.907074,34.60867,34.7501564,34.69434,34.89516,74.426796,83.17384,0.777919769,0.5861897,1,1,1,0,1,1,1,1,1,4.4,3.76457429,4,3.1913023,4,4.0828166,5.266667,4.68794727,4.5,4.396741,5.2,4.93136072,4.9,4.94886541,4.788889,4.9307766,1e-7,34.2535172,-0.367437363,0.01987542,true,[object Object],
29-04-2015,36.74,37.04,36.25,36.95,11304500,36.9360046,36.6564445,36.89001,36.8720856,36.6128731,36.3655777,34.9060059,35.45498,35.6899948,35.9548721,34.3026543,34.8254929,34.58484,34.70474,34.6940041,34.86831,89.59435,86.08953,0.8089142,0.498167664,6,6,6,0,1,6,6,6,6,4.4,5.14686155,5.33333349,5.3826046,4.571429,5.110422,5.66666651,5.214797,5.4,5.151572,5.33333349,5.202489,4.9666667,5.082725,4.83333349,5.019109,55.5555573,45.6713562,-0.0364613533,0.143010825,true,[object Object],
28-04-2015,36.82,37.01,36.49,36.81,8562800,36.7980042,36.5096664,36.9466743,36.7941666,36.3185844,36.1707726,34.65934,35.2414055,35.2809944,35.73373,34.2253227,34.6789742,34.53034,34.6286278,34.6808929,34.82153,87.12523,84.92126,0.7491455,0.388765544,5,5,5,0,2,5,5,5,5,4.2,4.720292,5,4.76520967,4.285714,4.813896,5.5333333,5.102625,5.3,4.96303272,5.16666651,5.147488,4.95,5.051631,4.822222,4.9970665,44.4444466,42.37662,-0.12257576,0.218904331,true,[object Object],
27-04-2015,37.08,37.54,36.72,36.91,14913200,36.5060043,36.3594971,36.9733429,36.7783356,35.8171577,35.957695,34.4420052,35.01732,34.9209938,35.49456,34.1536522,34.5320053,34.47184,34.5546837,34.6571159,34.776844,88.88887,84.1866,0.67621994,0.268599182,5,5,5,0,2,5,5,5,5,4.2,4.580438,3.66666675,4.53041935,4.714286,4.75186157,5.4,5.11728573,5.5,4.954818,5.266667,5.15765953,5,5.053381,4.822222,4.99700069,44.4444466,41.6873474,-0.12888813,0.2673354,true,[object Object],
26-04-2015,0,0,0,0,0,0,36.0842438,0,36.6466751,0,35.64026,0,34.7469368,0,35.18002,0,34.3680077,0,34.4748421,0,34.72891,0,82.61918,0.5631218,0.156535685,0,0,0,0,0,0,0,0,0,4,4.37065744,3.66666675,4.060839,5.428571,4.66914845,5.33333349,5.134041,5.7,4.94477749,5.266667,5.168533,5,5.05519056,4.83333349,4.99693346,44.4444466,40.7683144,-0.135070324,0.325262547,true,[object Object],
25-04-2015,0,0,0,0,0,0,36.0842438,0,36.6466751,0,35.64026,0,34.7469368,0,35.18002,0,34.3680077,0,34.4748421,0,34.72891,0,82.61918,0.5631218,0.0570386238,1,1,1,0,1,1,1,1,1,4.6,4.0559864,3.66666675,3.121678,5.428571,4.55886459,5.66666651,5.15318966,5.7,4.93250561,5.16666651,5.18015575,4.9333334,5.05706167,4.87777758,4.99686432,1e-7,39.54294,-0.140996456,0.371841282,true,[object Object],
24-04-2015,36.82,37.2,36.27,37.12,11592700,36.102005,36.0842438,36.75667,36.6466751,35.1757278,35.64026,34.19734,34.7469368,34.5379944,35.18002,34.06099,34.3680077,34.41934,34.4748421,34.6306725,34.72891,97.76531,82.61918,0.5631218,-0.0461489372,0,0,0,0,0,0,0,0,0,6.4,5.58397961,4.66666651,5.243356,6.285714,5.74515247,6.0666666,5.7465024,6.3,5.806396,5.16666651,5.46844244,5.0666666,5.194589,4.922222,5.08668137,44.4444466,52.72392,0.260763168,0.4032578,false,[object Object],
23-04-2015,35.87,37.24,35.84,36.89,15444800,35.3380051,35.5663643,36.16667,36.17335,34.5671577,35.1470146,33.9440079,34.40793,34.2009964,34.7489128,33.96299,34.178215,34.36234,34.3851776,34.60534,34.6751747,93.48227,77.5704651,0.389190674,-0.143500015,0,0,0,0,0,0,0,0,0,6.4,5.87596941,5.66666651,5.48671246,6.571429,5.993537,5.866667,5.8531456,6.2,5.985595,5.33333349,5.50074863,5.016667,5.201185,4.922222,5.08862925,44.4444466,55.48374,0.362489223,0.392238617,false,[object Object],
22-04-2015,35.28,36.44,35.28,36.26,25114400,34.4440079,34.9045448,35.5000038,35.4567032,34.0414429,34.56602,33.7146721,34.05335,33.890995,34.2731171,33.85532,33.9911957,34.3195038,34.30027,34.588562,34.6254044,96.06126,72.2665253,0.184951782,-0.218547821,4,7,1,0,5,4,4,4,4,6.8,6.31395435,7.33333349,5.973425,6.571429,6.32471561,5.866667,5.97502327,6,6.20461655,5.33333349,5.535283,4.95,5.208005,4.94444466,5.090621,33.3333359,59.16351,0.487055779,0.349842548,false,[object Object],
