date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,18.0045166,0,18.0269318,0,17.971632,0,17.8811111,0,17.92926,0,17.7756,0,17.640501,0,17.5949249,0,50.8339577,0.104099274,0.06798151,0,0,0,0,0,0,0,0,0,4.8,4.93415642,5,4.96875,4.857143,4.92089748,4.9333334,4.92672157,4.9,4.91852236,4.9666667,4.94979525,4.983333,4.967058,4.94444466,4.97622776,50,60.8764534,-0.0240235329,-0.0268773511,true,[object Object],
01-05-2015,17.97,18.17,17.91,18.03,72800,18.0620041,18.0045166,18.0466747,18.0269318,17.96143,17.971632,17.7926559,17.8811111,17.8970051,17.92926,17.8143349,17.7756,17.5533333,17.640501,17.27766,17.5949249,48.0874939,50.8339577,0.104099274,0.06005626,0,0,0,0,0,0,0,0,0,4.8,4.90123463,5,4.9375,4.857143,4.8945303,4.9333334,4.916253,4.9,4.90041637,4.9666667,4.946333,4.983333,4.96594143,4.94444466,4.9756937,50,64.50194,-0.0339751244,-0.024120383,false,[object Object],
30-04-2015,18.1,18.12,17.91,17.94,143300,17.9920044,17.9917755,18.136673,18.02386,17.9357147,17.9521751,17.7739887,17.8598423,17.8280048,17.9068737,17.8056679,17.7580547,17.5281658,17.6272984,17.2763271,17.5851479,43.16945,51.7494469,0.09994507,0.0521439463,0,0,0,0,0,0,0,0,0,4.8,4.851852,4.66666651,4.875,4.857143,4.859374,4.9333334,4.90428925,4.9,4.878287,4.9666667,4.94263172,4.983333,4.964787,4.94444466,4.97514772,50,69.33592,-0.04618311,-0.0202506911,true,[object Object],
29-04-2015,18.12,18.55,17.99,18.17,133800,17.9520035,18.017662,18.11334,18.10772,17.8942852,17.956234,17.7573223,17.84839,17.8080044,17.8995132,17.809,17.7455063,17.508667,17.6167,17.2751064,17.5771732,55.7377319,54.6094475,0.10235405,0.0434118919,0,0,0,0,0,0,0,0,0,4.8,4.77777767,4.66666651,4.75,4.857143,4.812499,4.9333334,4.89061642,4.9,4.851239,4.9666667,4.9386754,4.983333,4.96359348,4.94444466,4.97458935,50,75.7812347,-0.06109333,-0.0150170326,false,[object Object],
28-04-2015,17.77,18.98,17.46,18.3,180800,17.8880043,17.941494,17.9500065,18.0454369,17.8328571,17.8849773,17.7426548,17.8024464,17.7800045,17.8394051,17.8016682,17.71623,17.479166,17.5979424,17.2661057,17.56385,62.84151,54.2333527,0.08052254,0.0350051448,4,9,1,10,3,4,4,4,4,4.8,4.66666651,4.66666651,4.5,4.857143,4.749999,4.9333334,4.87499,4.9,4.818181,4.9666667,4.93444633,4.983333,4.96235943,4.94444466,4.974018,37.5,84.3749847,-0.07923508,-0.008118523,false,[object Object],
27-04-2015,17.56,17.99,17.56,17.87,75300,17.7580032,17.7622414,17.7633381,17.7908745,17.695715,17.7466373,17.7133217,17.7313671,17.7000046,17.737051,17.7853355,17.67597,17.4408321,17.5741444,17.24866,17.547308,63.15793,51.3639641,0.03824997,0.0287195835,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.99998856,5,4.999999,5,4.998891,5,4.994982,4.95555544,4.99590635,100,99.9999847,0.000579834,0.0008045302,false,[object Object],
26-04-2015,0,0,0,0,0,0,17.70836,0,17.7117481,0,17.7055168,0,17.7115631,0,17.7075062,0,17.6625881,0,17.5641155,0,17.5400562,0,47.4326439,0.0275211334,0.0271309745,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999987,5,4.999999,5,4.99881458,5,4.99481153,4.95555544,4.99581432,100,99.9999847,0.000626564,0.0008687973,true,[object Object],
25-04-2015,0,0,0,0,0,0,17.70836,0,17.7117481,0,17.7055168,0,17.7115631,0,17.7075062,0,17.6625881,0,17.5641155,0,17.5400562,0,47.4326439,0.0275211334,0.0267344583,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999985,5,4.999999,5,4.998733,5,4.99463558,4.95555544,4.99572039,100,99.9999847,0.0006766319,0.000938097655,true,[object Object],
24-04-2015,17.74,17.74,17.54,17.68,57400,17.7320023,17.70836,17.75667,17.7117481,17.6771431,17.7055168,17.7186546,17.7115631,17.6580048,17.7075062,17.7730026,17.6625881,17.4169979,17.5641155,17.2363262,17.5400562,46.4912338,47.4326439,0.0275211334,0.0304357745,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.99998331,5,4.999999,5,4.998646,5,4.994454,4.95555544,4.995624,100,99.9999847,0.000730991364,0.00101290806,true,[object Object],
23-04-2015,17.74,17.84,17.63,17.74,26300,17.6640034,17.7225418,17.7466717,17.7434959,17.7071419,17.7140217,17.7379875,17.7160721,17.6650047,17.71362,17.7666683,17.6613865,17.3898315,17.5601864,17.2305489,17.536911,51.7543373,47.74645,0.0327720642,0.0347436257,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999999,5,4.999981,5,4.999999,5,4.99855232,5,4.994266,4.95555544,4.995526,100,99.9999847,0.0007891655,0.00109365257,true,[object Object],
