date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,12.2870731,0,12.30736,0,12.3034935,0,12.5108881,0,12.3662767,0,12.9222794,0,13.3335152,0,13.4581738,0,15.0051975,-0.4045763,-0.442563176,0,0,0,0,0,0,0,0,0,5,4.999999,5,5,5,4.999941,5,4.989581,5,4.99885464,5,4.92678928,4.7,4.880825,4.85555553,4.942717,100,99.99825,0.0529065132,0.0707796961,true,[object Object],
01-05-2015,12.29,12.5,12.13,12.39,11100,12.2240038,12.2870731,12.29334,12.30736,12.2328558,12.3034935,12.424,12.5108881,12.2589941,12.3662767,13.0893316,12.9222794,13.670332,13.3335152,13.9782228,13.4581738,22.929966,15.0051975,-0.4045763,-0.44681114,0,0,0,0,0,0,0,0,0,5,4.99999857,5,5,5,4.999921,5,4.988093,5,4.9986,5,4.92174,4.633333,4.87678528,4.85555553,4.94142962,100,99.99767,0.0567822456,0.07567909,false,[object Object],
30-04-2015,12.24,12.36,12.17,12.25,17800,12.182004,12.2356091,12.20334,12.224719,12.242856,12.2746582,12.4880009,12.5281582,12.2939939,12.3610048,13.1419983,12.9589882,13.6984987,13.3654985,14.0056667,13.4821777,14.01275,12.3636084,-0.433771133,-0.450421125,0,0,0,0,0,0,0,0,0,5,4.99999762,5,5,5,4.999894,5,4.986392,5,4.99828863,5,4.91634274,4.5666666,4.87260866,4.911111,4.94011354,100,99.9968948,0.0609030724,0.0808316842,false,[object Object],
29-04-2015,12.09,12.26,12.09,12.24,13000,12.1980038,12.2284136,12.1600065,12.1994381,12.2342844,12.282877,12.5613346,12.5678949,12.3489943,12.3856726,13.1956644,13.007884,13.7264986,13.4033117,14.0362225,13.5098667,12.6506062,11.8138943,-0.450469971,-0.450737327,0,0,0,0,0,0,0,0,0,5,4.99999666,5,5,5,4.999859,5,4.984448,5,4.99790859,5,4.91057348,4.616667,4.86829042,4.911111,4.938768,100,99.99586,0.06527662,0.0862325057,false,[object Object],
28-04-2015,12.11,12.2,12.06,12.12,7800,12.2420044,12.222621,12.140007,12.1588764,12.2442846,12.29717,12.6386671,12.6147375,12.3819942,12.4180441,13.2576647,13.0608416,13.7596645,13.4427462,14.068,13.5384035,5.357151,11.53499,-0.464212418,-0.445374072,0,0,0,0,0,0,0,0,0,5,4.999995,5,5,5,4.999812,5,4.98222637,5,4.99744368,5,4.904406,4.66666651,4.863826,4.911111,4.93739176,100,99.99448,0.06990957,0.0918716341,false,[object Object],
27-04-2015,12.3,12.34,12.12,12.12,11600,12.2560043,12.2739315,12.2100067,12.197752,12.3328552,12.356226,12.727334,12.6854143,12.4659939,12.4842758,13.3139982,13.1257267,13.7916651,13.4875851,14.0997772,13.5702782,5.357151,13.5942707,-0.46278286,-0.4343106,0,0,0,0,0,0,0,0,0,5,4.999993,5,5,5,4.99974966,5,4.979687,5,4.996876,5,4.89781332,4.733333,4.85920954,4.911111,4.93598461,100,99.99263,0.07480574,0.0977328643,true,[object Object],
26-04-2015,0,0,0,0,0,0,12.3508978,0,12.2755032,0,12.434968,0,12.7661877,0,12.5652256,0,13.1950874,0,13.5339441,0,13.602869,0,16.3399773,-0.4542265,-0.423405975,0,0,0,0,0,0,0,0,0,5,4.999989,5,5,5,4.999666,5,4.976785,5,4.99618149,5,4.890766,4.733333,4.854437,4.911111,4.934546,100,99.99017,0.0799675,0.103792347,true,[object Object],
25-04-2015,0,0,0,0,0,0,12.3508978,0,12.2755032,0,12.434968,0,12.7661877,0,12.5652256,0,13.1950874,0,13.5339441,0,13.602869,0,16.3399773,-0.4542265,-0.413452029,0,0,0,0,0,0,0,0,0,5,4.99998331,5,5,5,4.999555,5,4.973469,5,4.99533272,4.9333334,4.88323259,4.733333,4.84950256,4.911111,4.933075,100,99.9869,0.085392,0.110016719,true,[object Object],
24-04-2015,12.36,12.36,12.16,12.18,10200,12.2940044,12.3508978,12.32334,12.2755032,12.4299984,12.434968,12.819334,12.7661877,12.5239935,12.5652256,13.3706656,13.1950874,13.826664,13.5339441,14.1285553,13.602869,8.928604,16.3399773,-0.4542265,-0.402446866,0,0,0,0,0,0,0,0,0,5,4.99997473,5,5,5,4.999407,5,4.969679,5,4.9942956,4.8,4.87518,4.733333,4.844401,4.911111,4.931571,100,99.98254,0.09107399,0.116361037,true,[object Object],
23-04-2015,12.29,12.49,12.13,12.33,9100,12.406004,12.4363461,12.3266726,12.371006,12.4857121,12.5199575,12.9053345,12.8499289,12.6409931,12.6508312,13.4229994,13.2650938,13.8631639,13.5798407,14.1546659,13.6348438,16.48352,18.8104362,-0.442808151,-0.390204638,0,0,0,0,0,0,0,0,0,5,4.999962,5,5,5,4.9992094,5,4.96534729,5,4.993028,4.66666651,4.86657143,4.75,4.839126,4.911111,4.930033,100,99.9767151,0.0970010757,0.122766122,false,[object Object],
