date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,122.450035,0,122.45,0,122.450745,0,122.473389,0,122.456375,0,122.422958,0,122.485741,0,123.428932,0,96.38345,0.016204834,0.02595096,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000214,5,5.00000525,5,5.00716,5.08333349,5.04602528,5.05555534,5.085361,100,99.9998,-0.00414466858,-0.00572405942,true,[object Object],
01-05-2015,122.45,122.45,122.45,122.45,0,122.450027,122.450035,122.450005,122.45,122.45002,122.450745,122.449806,122.473389,122.449783,122.456375,122.629951,122.422958,120.884155,122.485741,122.559204,123.428932,100,96.38345,0.016204834,0.0286899135,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00024462,5,5.000006,5,5.007654,5.08333349,5.04758549,5.05555534,5.08727932,100,99.99974,-0.00447273254,-0.0061742994,true,[object Object],
30-04-2015,122.45,122.45,122.45,122.45,0,122.450027,122.45005,122.450005,122.45,122.45002,122.450989,122.449806,122.47673,122.449783,122.457794,122.67495,122.4211,120.74015,122.486954,122.620758,123.450928,100,95.17794,0.0188598633,0.03220198,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00027943,5,5.00000763,5,5.008182,5.05,5.04919863,5.05555534,5.08924055,100,99.99965,-0.004826069,-0.0066591897,true,[object Object],
29-04-2015,122.45,122.45,122.45,122.45,0,122.450027,122.450073,122.450005,122.45,122.45002,122.451317,122.449806,122.480545,122.449783,122.459526,122.719955,122.419106,120.596153,122.488205,122.682312,123.473419,100,93.57059,0.0219650269,0.0363286324,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00031948,5,5.00000954,5,5.008746,5.05,5.0508666,5.05555534,5.091246,100,99.99953,-0.005207062,-0.007181274,true,[object Object],
28-04-2015,122.45,122.45,122.45,122.45,0,122.450027,122.450111,122.450005,122.45,122.45002,122.451759,122.449806,122.484909,122.449783,122.461647,122.764961,122.416977,120.452148,122.4895,122.750763,123.496414,100,91.4274445,0.0256195068,0.0411809273,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00036526,5,5.000012,5,5.00934935,5.05,5.052591,5.05555534,5.09329653,100,99.9993744,-0.00561761856,-0.0077432,true,[object Object],
27-04-2015,122.45,122.45,122.45,122.45,0,122.450027,122.450172,122.450005,122.45,122.45002,122.452347,122.449806,122.4899,122.449783,122.464233,122.809959,122.414696,120.526642,122.490845,122.819206,123.519928,100,88.56993,0.0298995972,0.04688687,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00041771,5,5.000015,5,5.009994,5.05,5.05437374,5.05555534,5.095393,100,99.99916,-0.00606012344,-0.008347829,true,[object Object],
26-04-2015,0,0,0,0,0,0,122.450264,0,122.45,0,122.453133,0,122.4956,0,122.4674,0,122.412262,0,122.492233,0,123.543968,0,84.7599,0.0349349976,0.0521172434,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00047731,5,5.000018,5,5.010683,5.05,5.05621672,5.05555534,5.097537,100,99.99888,-0.00653648376,-0.00899812952,true,[object Object],
25-04-2015,0,0,0,0,0,0,122.450264,0,122.45,0,122.453133,0,122.4956,0,122.4674,0,122.412262,0,122.492233,0,123.543968,0,84.7599,0.0349349976,0.0567881279,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.0005455,5,5.00002241,5,5.01142,5.05,5.058122,5.05555534,5.099729,100,99.9985046,-0.00704956055,-0.009697278,true,[object Object],
24-04-2015,122.45,122.45,122.45,122.45,0,122.450027,122.450264,122.450005,122.45,122.45002,122.453133,122.449806,122.4956,122.449783,122.4674,122.854965,122.412262,120.601143,122.492233,122.88765,123.543968,100,84.7599,0.0349349976,0.0629425049,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.000623,5,5.00002766,5,5.01220751,5.0333333,5.06009245,5.05555534,5.10197,100,99.998,-0.007602215,-0.0104486151,true,[object Object],
23-04-2015,122.45,122.45,122.45,122.45,0,122.450027,122.4504,122.450005,122.45,122.45002,122.454178,122.449806,122.502113,122.449783,122.471268,122.899971,122.40966,120.675636,122.493668,122.9561,123.56855,100,79.67987,0.0408554077,0.07084486,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000001,5,5.00071239,5,5.000034,5,5.0130496,5.116667,5.0621295,5.05555534,5.104262,100,99.99734,-0.008196831,-0.0112555819,true,[object Object],
