date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,61.8165359,0,61.3067169,0,62.1136055,0,62.63743,0,62.3803673,0,63.14101,0,63.85717,0,64.33843,0,27.50723,-0.510417938,-0.2890642,6,6,6,0,0,6,6,6,6,5.4,5.58546734,5.66666651,5.753006,5.285714,5.511922,5.33333349,5.4705677,5.5,5.47465372,5.6,5.481263,5.383333,5.44433832,5.4,5.417945,42.8571434,30.1635265,-0.0128498077,-0.0506085828,false,[object Object],
01-05-2015,60.95,61.88,60.13,60.48,2005100,62.17798,61.8165359,61.4966621,61.3067169,62.5843163,62.1136055,62.78133,62.63743,62.72996,62.3803673,63.2069969,63.14101,63.9384956,63.85717,66.02286,64.33843,8.393245,27.50723,-0.510417938,-0.263383657,6,6,6,1,1,6,6,6,6,5.2,5.378201,5.33333349,5.506012,5.142857,5.349229,5.6,5.39493465,5.4,5.35791,5.5666666,5.44548845,5.366667,5.4255023,5.388889,5.404865,42.8571434,25.9323215,-0.06792927,-0.03204653,false,[object Object],
30-04-2015,62.06,62.1,60.78,61.2,1102700,62.8319778,62.4848061,62.4766655,62.13344,62.930027,62.6581421,63.0013351,62.9456329,62.9469681,62.8026733,63.3239975,63.3245277,64.0938339,63.97165,66.09964,64.42514,11.898077,33.87856,-0.345550537,-0.2435629,5,8,3,9,9,5,5,5,5,5,5.06730127,5,5.0120244,5,5.132305,5.5333333,5.308497,5.3,5.215224,5.5333333,5.407246,5.4333334,5.406028,5.37777758,5.391491,28.57143,20.2907143,-0.1372428,-0.0305146649,true,[object Object],
29-04-2015,62.76,63.19,62.26,62.81,571500,63.2819748,63.12721,63.0699959,63.06688,63.1743126,63.1441879,63.0953331,63.19501,63.09797,63.1588249,63.4463348,63.4710464,64.24816,64.0656052,66.167305,64.49761,31.1927261,41.2053871,-0.203403473,-0.2427809,5,5,5,5,1,5,5,5,5,5,5.10095167,5,5.024049,5.428571,5.176407,5.5333333,5.352568,5.3,5.263051,5.5333333,5.4353323,5.4333334,5.419791,5.4333334,5.40028858,16.6666679,17.5304756,-0.121897221,-0.0168024171,false,[object Object],
28-04-2015,62.73,63.51,62.35,63.42,697900,63.2999763,63.2858124,63.38333,63.3237572,63.2586,63.2555847,63.116,63.25001,63.1209641,63.23634,63.463665,63.5166359,64.37216,64.10817,66.20264,64.53554,59.1742744,44.542942,-0.182937622,-0.2582783,0,0,0,0,0,0,0,0,0,5,5.15142727,5,5.048097,5.428571,5.235209,5.5333333,5.402935,5.3,5.321507,5.5333333,5.4653554,5.4333334,5.43402147,5.4333334,5.40928364,16.6666679,17.8184128,-0.1005373,0.0009438197,false,[object Object],
27-04-2015,63.89,63.95,62.73,62.98,684100,63.19798,63.21872,63.39333,63.2275162,63.1485939,63.2007828,63.1013336,63.2257271,63.11297,63.1955261,63.4579964,63.5233,64.48483,64.1315,66.2141953,64.56061,38.990818,39.6658325,-0.216266632,-0.281658173,0,0,0,0,0,0,0,0,0,5.6,5.227141,5,5.09619427,5.428571,5.313612,5.5333333,5.46049738,5.3,5.392953,5.5333333,5.497449,5.4333334,5.44873428,5.4333334,5.418481,16.6666679,18.2023277,-0.07181215,0.02358071,true,[object Object],
26-04-2015,0,0,0,0,0,0,63.3380775,0,63.47503,0,63.27438,0,63.26083,0,63.24342,0,63.56077,0,64.17053,0,64.59613,0,39.8908348,-0.2108612,-0.3013348,0,0,0,0,0,0,0,0,0,5.6,5.340711,5,5.192389,5.428571,5.418149,5.5333333,5.526283,5.8,5.48027563,5.5333333,5.531756,5.4333334,5.46394539,5.411111,5.427885,16.6666679,18.7142143,-0.03410387,0.0521305948,true,[object Object],
25-04-2015,0,0,0,0,0,0,63.3380775,0,63.47503,0,63.27438,0,63.26083,0,63.24342,0,63.56077,0,64.17053,0,64.59613,0,39.8908348,-0.2108612,-0.32161203,0,0,0,0,0,0,0,0,0,5.6,5.511067,6,5.384778,5.428571,5.55753231,5.5333333,5.601466,5.8,5.58700371,5.7,5.56842852,5.4333334,5.47967243,5.411111,5.43750048,16.6666679,19.3967285,0.0145215988,0.08781232,true,[object Object],
24-04-2015,63.47,64.3,63.25,63.75,584000,63.2819748,63.3380775,63.3666649,63.47503,63.11002,63.27438,63.1973343,63.26083,63.08297,63.24342,63.4279938,63.56077,64.62583,64.17053,66.23153,64.59613,57.4468536,39.8908348,-0.2108612,-0.339927256,0,0,0,0,0,0,0,0,0,5.6,5.76660061,6,5.769556,5.428571,5.74337626,5.5333333,5.68739,5.8,5.717449,5.7,5.60763073,5.4,5.49593258,5.411111,5.447332,16.6666679,20.30675,0.07637358,0.07551225,false,[object Object],
23-04-2015,62.91,63.7,62.84,63.45,519000,63.0619736,63.1321144,63.0866661,63.2000542,63.0085945,63.11584,63.1913338,63.19095,63.0859756,63.1308479,63.4029961,63.547718,64.752,64.1847839,66.25097,64.61514,46.808567,34.03883,-0.27929306,-0.355810374,8,10,4,10,3,8,8,8,8,5.6,6.149901,6,6.539112,6.142857,5.9911685,5.5333333,5.78558826,5.8,5.87688255,5.7,5.649536,5.4,5.512744,5.411111,5.457384,66.66667,21.52011,0.15420866,0.0587146021,true,[object Object],
