date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,match,Additional,
02-05-2015,0,0,0,0,0,0,63.6893539,0,63.5294838,0,63.71969,0,63.356636,0,63.6400452,0,62.32294,0,61.480835,0,61.84835,0,59.181572,0.9593773,1.13843918,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.999993,5,5.002327,5,5.00010824,5,5.02354527,5.116667,5.041195,5.0666666,5.037173,100,99.9192352,-0.01690054,-0.0230226,true,[object Object],
01-05-2015,63.33,63.84,62.07,63.21,95300,63.81601,63.6893539,63.753315,63.5294838,63.9057236,63.71969,63.4953232,63.356636,63.98399,63.6400452,62.24066,62.32294,60.0629959,61.480835,59.3564453,61.84835,42.68042,59.181572,0.9593773,1.17128122,0,0,0,0,0,0,0,0,0,5,4.99999952,5,5,5,4.99999046,5,5.00265932,5,5.00013256,5,5.025169,5.116667,5.04259157,5.04444456,5.038008,100,99.89231,-0.0181946754,-0.0247404315,true,[object Object],
30-04-2015,64.89,64.89,63.12,63.22,154200,64.00401,63.92903,64.2033157,63.84897,64.06858,63.8895836,63.3819923,63.3775826,63.9869881,63.73561,62.088665,62.2617645,59.9504967,61.42222,59.3665581,61.8177528,42.88665,64.68195,1.06985855,1.20383453,0,0,0,0,0,0,0,0,0,5,4.999999,5,5,5,4.9999876,5,5.00303936,5,5.000162,5,5.02690458,5.116667,5.04403543,5.04444456,5.038862,100,99.8564148,-0.0195813179,-0.026573129,true,[object Object],
29-04-2015,63.92,65.04,63.13,64.83,214000,64.18201,64.28355,64.2166443,64.4779358,64.1957245,64.11278,63.2813263,63.4000931,64.00599,63.85019,62.0373344,62.19568,59.8851662,61.3612747,59.346,61.7862434,78.55828,71.94705,1.194294,1.21900427,0,0,0,0,0,0,0,0,0,5,4.99999857,5,5,5,4.999984,5,5.00347328,5,5.00019836,4.9666667,5.02876,5.116667,5.045528,5.04444456,5.03973532,100,99.80855,-0.0210671425,-0.0285258815,false,[object Object],
28-04-2015,63.1,64.91,61.89,64.56,145800,64.08601,64.0103149,63.98998,64.12588,64.08287,63.873703,63.0759926,63.19582,63.7979851,63.6324539,61.8196678,62.014,59.7974968,61.24369,59.3223343,61.7178459,73.5674438,69.74331,1.17181778,1.21459413,0,0,0,0,0,0,0,0,0,5,4.99999762,5,5,5,4.99997854,5,5.003969,5,5.00024271,4.9666667,5.0307436,5.116667,5.04707146,5.04444456,5.04062843,100,99.74473,-0.0226569176,-0.0306033567,false,[object Object],
27-04-2015,64.26,65.99,63.18,63.26,118800,63.99601,63.7354736,63.83998,63.6917572,63.8942947,63.6449356,62.9453239,63.00094,63.4789848,63.4263344,61.59933,61.8384132,59.6466637,61.13127,59.2455559,61.6539764,49.5378647,68.4686,1.1535759,1.20426261,0,0,0,0,0,0,0,0,0,5,4.999996,5,5,5,4.99997139,5,5.004536,5,5.00029659,4.9666667,5.03286362,5.116667,5.048667,5.04444456,5.04154158,100,99.65964,-0.0243563652,-0.03280984,true,[object Object],
26-04-2015,0,0,0,0,0,0,63.97321,0,64.12352,0,63.7732468,0,62.963932,0,63.4633,0,61.74037,0,61.0591125,0,61.6178856,0,74.77885,1.245884,1.195958,0,0,0,0,0,0,0,0,0,5,4.99999428,5,5,5,4.999962,5,5.005184,5,5.0003624,4.9666667,5.03513,5.116667,5.050317,5.04444456,5.042475,100,99.54618,-0.0261712074,-0.0351488329,true,[object Object],
25-04-2015,0,0,0,0,0,0,63.97321,0,64.12352,0,63.7732468,0,62.963932,0,63.4633,0,61.74037,0,61.0591125,0,61.6178856,0,74.77885,1.245884,1.177397,0,0,0,0,0,0,0,0,0,5,4.99999142,5,5,5,4.99994946,5,5.0059247,5,5.000443,4.9666667,5.037553,5.116667,5.05202246,5,5.04343,100,99.3949051,-0.02810669,-0.03762298,true,[object Object],
24-04-2015,64.14,64.25,63.3,64.15,125700,64.15201,63.97321,64.2033157,64.12352,63.91572,63.7732468,62.98999,62.963932,63.3349838,63.4633,61.4306641,61.74037,59.51683,61.0591125,59.17456,61.6178856,74.84281,74.77885,1.245884,1.15539765,0,0,0,0,0,0,0,0,0,5,4.999987,5,5,5,4.99993229,5,5.006771,5,5.00054169,4.9666667,5.04014254,5.116667,5.053786,5,5.044406,100,99.19321,-0.0301685333,-0.0402336642,false,[object Object],
23-04-2015,64.33,64.84,63.65,64.11,104800,63.97001,63.88481,64.18999,64.09703,63.7157249,63.64766,62.7999878,62.7944946,63.0709839,63.3107,61.23633,61.574192,59.38583,60.9543381,59.11123,61.5609856,74.00422,74.75752,1.25495529,1.12539375,0,0,0,0,0,0,0,0,0,5,4.99998045,5,5,5,4.99991,5,5.007738,5,5.000662,5.1,5.042911,5.116667,5.055609,5,5.045404,100,98.92427,-0.03236103,-0.04298067,true,[object Object],
22-04-2015,64.29,65.35,63.66,64.35,128300,63.83001,63.7722168,64.16666,64.08407,63.32429,63.4935455,62.60932,62.6065674,62.830986,63.1330757,61.0749969,61.3993073,59.2839966,60.8473663,59.05123,61.5037041,81.34328,75.00862,1.25235748,1.09005439,0,0,0,0,0,0,0,0,0,5,4.99997044,5,5,5,4.99988,5,5.00884342,5,5.00080872,5.1,5.0458703,5.116667,5.057494,5,5.04642439,100,98.56569,-0.03468895,-0.04586172,false,[object Object],
21-04-2015,64.29,64.76,63.62,64.11,125800,63.51001,63.483326,63.7966576,63.81814,62.9628639,63.20806,62.3733253,62.3575058,62.57099,62.862648,60.85333,61.1958122,59.1706619,60.7286339,58.9964523,61.439743,85.81087,72.8970642,1.20638657,1.06357789,0,0,0,0,0,0,0,0,0,5,4.99995565,5,5,5,4.99984,5,5.010107,5,5.00098848,5.0666666,5.04903364,5.116667,5.059443,5,5.04746771,100,98.0875854,-0.037156105,-0.0488719419,true,[object Object],
20-04-2015,63.7,64.95,63.37,64.04,167000,62.9620132,63.1699867,63.563324,63.52627,62.59144,62.9074173,62.0993233,62.1071472,62.41999,62.5854568,60.689,60.9948349,59.02683,60.61401,58.98801,61.3797379,84.62844,68.59247,1.154602,1.0464232,0,0,0,0,0,0,0,0,0,5,4.99993372,5,4.99999952,5,4.99978638,5,5.011551,5,5.00120831,5.0666666,5.05241537,5.116667,5.061458,5,5.04853439,100,97.45012,-0.0397644043,-0.05200317,false,[object Object],
19-04-2015,0,0,0,0,0,0,62.7349777,0,63.0125427,0,62.529892,0,61.8310242,0,62.2622261,0,60.7848244,0,60.4978752,0,61.3199577,0,63.24714,1.07883453,1.03502226,0,0,0,0,0,0,0,0,0,5,4.99990034,5,4.999999,5,4.99971533,5,5.013201,5,5.001477,5.0666666,5.05603027,5.2,5.06354141,5,5.049625,100,96.60016,-0.0425152779,-0.0552433319,true,[object Object],
18-04-2015,0,0,0,0,0,0,62.7349777,0,63.0125427,0,62.529892,0,61.8310242,0,62.2622261,0,60.7848244,0,60.4978752,0,61.3199577,0,63.24714,1.07883453,1.03204012,0,0,0,0,0,0,0,0,0,5,4.99985075,5,4.999998,5,4.99962044,5,5.015087,5,5.001805,5.0666666,5.05989456,5.133333,5.06569529,5,5.05074024,100,95.46687,-0.0454072952,-0.0585753657,true,[object Object],
17-04-2015,63.03,63.34,62.43,63.24,176500,62.518013,62.7349777,63.13332,63.0125427,62.25858,62.529892,61.8299942,61.8310242,62.40899,62.2622261,60.4876633,60.7848244,58.86216,60.4978752,58.9487839,61.3199577,71.72063,63.24714,1.07883453,1.03624344,0,0,0,0,0,0,0,0,0,5,4.999776,5,4.999996,5,4.9994936,5,5.01724243,5,5.002206,5.0666666,5.0640254,5.133333,5.067922,5,5.05188036,100,93.9558258,-0.04843855,-0.0619762726,false,[object Object],
16-04-2015,62.22,63.91,61.82,63.41,180600,62.17201,62.4824677,62.5099831,62.7850876,62.045723,62.29319,61.7713242,61.62974,62.21499,62.04494,60.33766,60.6155,58.70299,60.4049225,58.98778,61.27681,74.61668,60.4226456,1.04788971,1.04555082,0,0,0,0,0,0,0,0,0,5,4.999664,5,4.999993,5,4.999325,5,5.019706,5,5.002696,5.233333,5.068441,5.133333,5.070225,5,5.053046,100,91.9411,-0.05160284,-0.06541559,false,[object Object],
15-04-2015,61.64,62.78,61.2,62.75,212800,61.83201,62.0187,61.9799843,62.16017,61.93001,61.9209175,61.78066,61.37542,61.9989929,61.7415924,60.0783272,60.42278,58.5394936,60.3030548,59.0094452,61.2288742,56.1085777,55.6913,0.975849152,1.06248009,0,0,0,0,0,0,0,0,0,5,4.999496,5,4.99998569,5,4.99909973,5,5.022521,5,5.003295,5.233333,5.073161,5.133333,5.072605,5,5.05423832,100,89.25481,-0.0548915863,-0.06885391,false,[object Object],
14-04-2015,62.09,62.82,61.17,61.37,229400,61.6320076,61.65305,61.56665,61.57034,62.09858,61.644558,61.4399948,61.17905,61.8049927,61.5175,59.7943268,60.26228,58.3844948,60.220108,59.034668,61.19469,51.7434959,55.5522079,0.9369011,1.08119714,0,0,0,0,0,0,0,0,0,5,4.999244,5,4.99997139,5,4.9988,4.9333334,5.02573824,5,5.00402737,5.233333,5.07820654,5.133333,5.07506657,4.95555544,5.055457,100,85.67308,-0.05829048,-0.07224083,true,[object Object],
13-04-2015,61.65,62.62,61.14,61.82,120000,61.87801,61.7945747,61.67998,61.77068,62.08858,61.7360764,61.2499962,61.15177,61.66799,61.55028,59.5803261,60.1858864,58.2343254,60.18113,59.038887,61.19075,56.8053741,56.8217773,1.0140686,1.07941139,0,0,0,0,0,0,0,0,0,5,4.998866,5,4.999943,5,4.99839973,4.9333334,5.029415,5,5.00492239,5.233333,5.0836,5.133333,5.077611,4.911111,5.05670357,100,80.89744,-0.06178093,-0.07551294,false,[object Object],
12-04-2015,0,0,0,0,0,0,61.7818642,0,61.72136,0,61.7081,0,61.05631,0,61.490345,0,60.07319,0,60.125576,0,61.17661,0,56.8272476,1.05199432,1.0690515,0,0,0,0,0,0,0,0,0,5,4.998299,5,4.999885,5,4.99786663,4.9333334,5.033617,5,5.00601625,5.233333,5.08936548,5.133333,5.08024168,4.922222,5.05797768,100,74.5299149,-0.06533718,-0.07859092,true,[object Object],
11-04-2015,0,0,0,0,0,0,61.7818642,0,61.72136,0,61.7081,0,61.05631,0,61.490345,0,60.07319,0,60.125576,0,61.17661,0,56.8272476,1.05199432,1.05447769,0,0,0,0,0,0,0,0,0,5,4.99744844,5,4.99977,5,4.997155,4.9333334,5.03841972,5,5.00735331,5.233333,5.0955286,5.133333,5.08296156,4.922222,5.0592804,100,66.03989,-0.06892586,-0.08137645,true,[object Object],
10-04-2015,61.82,62.23,61.23,61.51,118100,62.3000069,61.7818642,61.65665,61.72136,62.00715,61.7081,60.9859962,61.05631,61.4859924,61.490345,59.33166,60.07319,58.13416,60.125576,59.0495567,61.17661,53.31829,56.8272476,1.05199432,1.03990388,0,0,0,0,0,0,0,0,0,5,4.99617243,5,4.99954033,5,4.996207,4.9333334,5.043908,5,5.00898743,5.233333,5.10211658,5.1,5.085774,4.922222,5.06061268,100,54.7198448,-0.07250357,-0.08374807,true,[object Object],
09-04-2015,61.45,62.4,60.58,61.71,174000,62.258007,61.9177971,62.0199852,61.9327164,61.9071465,61.77413,60.79533,60.991497,61.57099,61.4859772,59.1123276,59.9741,58.0543251,60.0786476,59.0691147,61.169117,55.5680161,57.9969025,1.11666489,1.02190268,0,0,0,0,0,0,0,0,0,5,4.9942584,5,4.999081,5,4.994943,4.9333334,5.05018044,4.9,5.01098442,5.233333,5.109159,5.1,5.0886817,4.922222,5.061975,100,39.62646,-0.07601547,-0.0855569839,false,[object Object],
08-04-2015,62.6,63.43,61.71,61.75,121800,62.166008,62.0216942,62.7599831,62.1554337,61.6628647,61.79551,60.7933273,60.888855,61.7549858,61.4361954,58.91033,59.85438,57.96816,60.0233459,59.13978,61.1569633,56.01797,58.8065338,1.16260147,0.991468668,0,0,0,0,0,0,0,0,0,5,4.991388,5,4.99816227,5,4.99325752,5.2,5.057349,4.9,5.01342535,5.233333,5.1166873,5.1,5.09168768,4.922222,5.063368,20,19.5019474,-0.07939243,-0.08662134,true,[object Object],
07-04-2015,63.92,64.05,62.44,62.6,187600,61.97801,62.1575432,62.6099854,62.5608673,61.4128647,61.81068,60.5633278,60.7658348,61.3439865,61.3664627,58.7169952,59.7236481,57.89516,59.964817,59.225666,61.1436348,65.57926,59.7360573,1.20025253,0.9528491,0,0,0,0,0,0,0,0,0,5,4.987082,5,4.996325,5,4.99100971,5.2,5.06554174,4.9,5.016409,5.233333,5.124735,5.1,5.0947957,4.977778,5.06479168,20,19.33593,-0.0825476646,-0.07540676,true,[object Object],
06-04-2015,61.37,64.9,61.26,63.93,226400,61.4580078,61.9363174,62.1599846,62.52174,61.3785744,61.5475731,60.25333,60.50381,60.9359932,61.0923424,58.5209961,59.52528,57.7933273,59.87549,59.324,61.11091,80.5399,57.7883224,1.14430237,0.9139595,0,0,0,0,0,0,0,0,0,5,4.980623,5,4.99265,4.857143,4.98801327,5.133333,5.074905,4.9,5.02005529,5.233333,5.1333375,5.1,5.098009,4.977778,5.06624746,20,19.1145744,-0.08537388,-0.0599960759,false,[object Object],
05-04-2015,0,0,0,0,0,0,60.939476,0,61.11348,0,60.75343,0,60.0143547,0,60.4617538,0,59.2215042,0,59.73805,0,61.0475578,0,50.204464,0.9208298,0.8812866,0,0,0,0,0,0,0,0,0,5,4.970934,5,4.9853,4.857143,4.98401737,5.133333,5.08560562,4.9,5.024512,5.233333,5.1425333,5.1,5.101331,4.977778,5.067736,20,18.8194332,-0.08773947,-0.0394538231,true,[object Object],
