"Time(sec)","Intensity"
0,293.143
1,293.143
2,293.143
3,292.527
4,291.912
5,291.296
6,291.081
7,290.865
8,290.65
9,290.325
10,289.999
11,289.674
12,289.703
13,289.731
14,289.76
15,289.546
16,289.333
17,289.119
18,288.882
19,288.646
20,288.409
21,288.642
22,288.874
23,289.107
24,288.974
25,288.841
26,288.708
27,288.651
28,288.595
29,288.538
30,288.484
31,288.429
32,288.375
33,288.325
34,288.275
35,288.225
36,288.224
37,288.224
38,288.223
39,288.146
40,288.068
41,287.991
42,288.135
43,288.278
44,288.422
45,288.058
46,287.694
47,287.33
48,287.636
49,287.942
50,288.248
51,288.293
52,288.338
53,288.383
54,288.069
55,287.754
56,287.44
57,287.284
58,287.128
59,286.972
60,287.057
61,287.141
62,287.226
63,287.237
64,287.248
65,287.259
66,287.223
67,287.186
68,287.15
69,286.844
70,286.538
71,286.232
72,286.305
73,286.378
74,286.451
75,286.39
76,286.33
77,286.269
78,286.098
79,285.927
80,285.756
81,286.061
82,286.367
83,286.672
84,286.594
85,286.517
86,286.439
87,286.415
88,286.392
89,286.368
90,286.431
91,286.493
92,286.556
93,286.625
94,286.693
95,286.762
96,286.71
97,286.657
98,286.605
99,286.887
100,287.168
101,287.45
102,287.273
103,287.095
104,286.918
105,287.285
106,287.653
107,288.02
108,288.13
109,288.24
110,288.35
111,288.634
112,288.919
113,289.203
114,289.379
115,289.555
116,289.731
117,290.274
118,290.818
119,291.361
120,291.209
