Data	Set	Name:	Wavelength	Pair	1
Analyst:	

Created:	11:40:34	03/20/15
Data:	Original

Instrument	Type:	RF-5301PC
Wavelength:	EX:495.0nm	EM:520.0nm
Slit	Width:	EX:5.0nm	EM:5.0nm
Acquisition	Ra	2.000	Seconds
Reaction	Time:	600.000	Seconds
Sensitivity:	High
Response	Time:	Auto	
Shutter	Mode:	Auto,	Closed

	Time(sec)	Intensity
	0.0000	525.317
	2.0000	525.317
	4.0000	525.317
	6.0000	524.925
	8.0000	524.532
	10.0000	524.140
	12.0000	524.063
	14.0000	523.985
	16.0000	523.908
	18.0000	524.019
	20.0000	524.130
	22.0000	524.241
	24.0000	524.267
	26.0000	524.292
	28.0000	524.318
	30.0000	524.275
	32.0000	524.233
	34.0000	524.190
	36.0000	523.938
	38.0000	523.685
	40.0000	523.433
	42.0000	523.056
	44.0000	522.678
	46.0000	522.301
	48.0000	522.291
	50.0000	522.280
	52.0000	522.270
	54.0000	522.084
	56.0000	521.897
	58.0000	521.711
	60.0000	521.911
	62.0000	522.110
	64.0000	522.310
	66.0000	522.145
	68.0000	521.980
	70.0000	521.815
	72.0000	521.933
	74.0000	522.052
	76.0000	522.170
	78.0000	521.723
	80.0000	521.276
	82.0000	520.829
	84.0000	520.810
	86.0000	520.790
	88.0000	520.771
	90.0000	520.549
	92.0000	520.327
	94.0000	520.105
	96.0000	520.137
	98.0000	520.169
	100.0000	520.201
	102.0000	520.251
	104.0000	520.301
	106.0000	520.351
	108.0000	520.178
	110.0000	520.005
	112.0000	519.832
	114.0000	519.942
	116.0000	520.051
	118.0000	520.161
	120.0000	520.135
	122.0000	520.109
	124.0000	520.083
	126.0000	519.654
	128.0000	519.225
	130.0000	518.796
	132.0000	518.726
	134.0000	518.656
	136.0000	518.586
	138.0000	518.973
	140.0000	519.360
	142.0000	519.747
	144.0000	519.154
	146.0000	518.562
	148.0000	517.969
	150.0000	517.818
	152.0000	517.666
	154.0000	517.515
	156.0000	517.998
	158.0000	518.480
	160.0000	518.963
	162.0000	518.454
	164.0000	517.946
	166.0000	517.437
	168.0000	517.491
	170.0000	517.544
	172.0000	517.598
	174.0000	517.691
	176.0000	517.785
	178.0000	517.878
	180.0000	517.557
	182.0000	517.235
	184.0000	516.914
	186.0000	516.825
	188.0000	516.735
	190.0000	516.646
	192.0000	516.741
	194.0000	516.835
	196.0000	516.930
	198.0000	516.778
	200.0000	516.627
	202.0000	516.475
	204.0000	516.461
	206.0000	516.447
	208.0000	516.433
	210.0000	516.555
	212.0000	516.677
	214.0000	516.799
	216.0000	516.385
	218.0000	515.971
	220.0000	515.557
	222.0000	515.768
	224.0000	515.978
	226.0000	516.189
	228.0000	515.794
	230.0000	515.398
	232.0000	515.003
	234.0000	515.103
	236.0000	515.204
	238.0000	515.304
	240.0000	514.965
	242.0000	514.625
	244.0000	514.286
	246.0000	514.332
	248.0000	514.378
	250.0000	514.424
	252.0000	514.174
	254.0000	513.924
	256.0000	513.674
	258.0000	513.625
	260.0000	513.576
	262.0000	513.527
	264.0000	513.658
	266.0000	513.789
	268.0000	513.920
	270.0000	513.857
	272.0000	513.794
	274.0000	513.731
	276.0000	513.374
	278.0000	513.017
	280.0000	512.660
	282.0000	512.755
	284.0000	512.850
	286.0000	512.945
	288.0000	512.951
	290.0000	512.956
	292.0000	512.962
	294.0000	512.896
	296.0000	512.831
	298.0000	512.765
	300.0000	512.664
	302.0000	512.563
	304.0000	512.462
	306.0000	512.651
	308.0000	512.840
	310.0000	513.029
	312.0000	512.797
	314.0000	512.566
	316.0000	512.334
	318.0000	512.147
	320.0000	511.960
	322.0000	511.773
	324.0000	511.833
	326.0000	511.892
	328.0000	511.952
	330.0000	511.947
	332.0000	511.942
	334.0000	511.937
	336.0000	511.850
	338.0000	511.762
	340.0000	511.675
	342.0000	511.602
	344.0000	511.530
	346.0000	511.457
	348.0000	511.581
	350.0000	511.706
	352.0000	511.830
	354.0000	511.308
	356.0000	510.787
	358.0000	510.265
	360.0000	510.279
	362.0000	510.294
	364.0000	510.308
	366.0000	510.353
	368.0000	510.397
	370.0000	510.442
