"Time.sec.","Intensity"
0,209.342
2,209.342
4,209.342
6,209.067
8,208.791
10,208.516
12,208.796
14,209.075
16,209.355
18,209.052
20,208.749
22,208.446
24,208.489
26,208.533
28,208.576
30,207.949
32,207.323
34,206.696
36,206.928
38,207.16
40,207.392
42,207.193
44,206.995
46,206.796
48,206.883
50,206.97
52,207.057
54,206.991
56,206.924
58,206.858
60,206.933
62,207.007
64,207.082
66,206.642
68,206.201
70,205.761
72,205.763
74,205.764
76,205.766
78,205.889
80,206.012
82,206.135
84,205.715
86,205.295
88,204.875
90,205.318
92,205.762
94,206.205
96,205.848
98,205.49
100,205.133
102,205.099
104,205.064
106,205.03
108,204.88
110,204.73
112,204.58
114,204.607
116,204.634
118,204.661
120,204.45
122,204.24
124,204.029
126,204.231
128,204.432
130,204.634
132,204.358
134,204.081
136,203.805
138,203.915
140,204.024
142,204.134
144,203.521
146,202.907
148,202.294
150,202.58
152,202.867
154,203.153
156,202.883
158,202.614
160,202.344
162,202.341
164,202.339
166,202.336
168,202.284
170,202.231
172,202.179
174,202.251
176,202.322
178,202.394
180,202.426
182,202.459
184,202.491
186,202.111
188,201.731
190,201.351
192,201.456
194,201.561
196,201.666
198,201.634
200,201.603
202,201.571
204,201.436
206,201.302
208,201.167
210,201.145
212,201.123
214,201.101
216,200.851
218,200.601
220,200.351
222,200.745
224,201.138
226,201.532
228,201.187
230,200.842
232,200.497
234,200.233
236,199.969
238,199.705
240,199.733
242,199.761
244,199.789
246,199.867
248,199.944
250,200.022
252,199.867
254,199.711
256,199.556
258,199.421
260,199.287
262,199.152
264,199.175
266,199.197
268,199.22
270,198.975
272,198.729
274,198.484
276,198.531
278,198.579
280,198.626
282,198.094
284,197.563
286,197.031
288,197.323
290,197.615
292,197.907
294,197.614
296,197.321
298,197.028
300,197.206
302,197.384
304,197.562
306,197.612
308,197.662
310,197.712
312,197.487
314,197.263
316,197.038
318,197.144
320,197.251
322,197.357
324,196.876
326,196.394
328,195.913
330,196.356
332,196.798
334,197.241
336,196.967
338,196.693
340,196.419
342,196.054
344,195.69
346,195.325
348,195.429
350,195.532
352,195.636
354,195.781
356,195.926
358,196.071
360,195.567
362,195.062
364,194.558
366,194.817
368,195.076
370,195.335
372,195.203
374,195.07
376,194.938
378,194.819
380,194.699
382,194.58
384,194.264
386,193.948
388,193.632
390,193.676
392,193.719
394,193.763
396,193.74
398,193.716
400,193.693
402,193.69
404,193.686
406,193.683
408,193.722
410,193.762
412,193.801
414,193.567
416,193.334
418,193.1
420,193.206
422,193.313
424,193.419
426,193.342
428,193.266
430,193.189
432,192.925
434,192.661
436,192.397
438,192.404
440,192.412
442,192.419
444,192.311
446,192.203
448,192.095
450,191.964
452,191.833
454,191.702
456,191.741
458,191.781
460,191.82
462,191.452
464,191.085
466,190.717
468,190.832
470,190.948
472,191.063
474,190.856
476,190.649
478,190.442
480,190.43
482,190.419
484,190.407
486,190.429
488,190.451
490,190.473
492,190.531
494,190.589
496,190.647
498,190.732
500,190.818
502,190.903
504,190.764
506,190.626
508,190.487
510,190.348
512,190.21
514,190.071
516,189.612
518,189.154
520,188.695
522,188.843
524,188.992
526,189.14
528,189.382
530,189.625
532,189.867
534,189.44
536,189.013
538,188.586
540,188.652
542,188.717
544,188.783
546,188.549
548,188.315
550,188.081
552,188.325
554,188.568
556,188.812
558,188.733
560,188.654
562,188.575
564,188.38
566,188.186
568,187.991
570,187.92
572,187.85
574,187.779
576,187.643
578,187.506
580,187.37
582,187.35
584,187.329
586,187.309
588,186.843
590,186.376
592,185.91
594,186.097
596,186.284
598,186.471
600,186.273
900,180.161
902,180.161
904,180.161
906,180.213
908,180.264
910,180.316
912,180.109
914,179.902
916,179.695
918,179.688
920,179.68
922,179.673
924,179.492
926,179.31
928,179.129
930,179.095
932,179.062
934,179.028
936,178.869
938,178.711
940,178.552
942,178.658
944,178.765
946,178.871
948,178.581
950,178.292
952,178.002
954,178.199
956,178.396
958,178.593
960,178.494
962,178.395
964,178.296
966,178.166
968,178.035
970,177.905
972,177.773
974,177.641
976,177.509
978,177.52
980,177.532
982,177.543
984,177.47
986,177.396
988,177.323
990,177.362
992,177.4
994,177.439
996,177.356
998,177.273
1000,177.19
1002,176.911
1004,176.632
1006,176.353
1008,176.291
1010,176.228
1012,176.166
1014,176.255
1016,176.345
1018,176.434
1020,176.391
1022,176.347
