"Time_sec","MagnetsZ_mm","Extension_nm","expDetail","id"
167.529,-2,267.163,"expDetail","./sample.txt"
167.54,-2,248.561,"expDetail","./sample.txt"
167.549,-2,256.866,"expDetail","./sample.txt"
167.559,-2,240.609,"expDetail","./sample.txt"
167.569,-2,254.218,"expDetail","./sample.txt"
167.579,-2,273.644,"expDetail","./sample.txt"
167.588,-2,263.338,"expDetail","./sample.txt"
167.598,-2,262.701,"expDetail","./sample.txt"
167.609,-2,234.302,"expDetail","./sample.txt"
167.619,-2,242.498,"expDetail","./sample.txt"
167.628,-2,257.733,"expDetail","./sample.txt"
167.638,-2,271.752,"expDetail","./sample.txt"
167.648,-2,246.456,"expDetail","./sample.txt"
167.658,-2,247.406,"expDetail","./sample.txt"
167.667,-2,240.497,"expDetail","./sample.txt"
167.677,-2,237.567,"expDetail","./sample.txt"
167.687,-2,237.589,"expDetail","./sample.txt"
167.698,-2,265.473,"expDetail","./sample.txt"
167.708,-2,245.429,"expDetail","./sample.txt"
167.717,-2,260.808,"expDetail","./sample.txt"
167.727,-2,267.14,"expDetail","./sample.txt"
167.737,-2,254.13,"expDetail","./sample.txt"
167.747,-2,267.066,"expDetail","./sample.txt"
167.756,-2,254.756,"expDetail","./sample.txt"
167.766,-2,261.569,"expDetail","./sample.txt"
167.776,-2,281.541,"expDetail","./sample.txt"
167.786,-2,274.38,"expDetail","./sample.txt"
167.795,-2,243.063,"expDetail","./sample.txt"
167.806,-2,257.299,"expDetail","./sample.txt"
167.816,-2,249.103,"expDetail","./sample.txt"
167.826,-2,269.152,"expDetail","./sample.txt"
167.835,-2,257.788,"expDetail","./sample.txt"
167.845,-2,246.863,"expDetail","./sample.txt"
167.855,-2,261.757,"expDetail","./sample.txt"
167.865,-2,246.207,"expDetail","./sample.txt"
167.874,-2,259.308,"expDetail","./sample.txt"
167.884,-2,269.766,"expDetail","./sample.txt"
167.895,-2,269.626,"expDetail","./sample.txt"
167.905,-2,275.578,"expDetail","./sample.txt"
167.915,-2,259.229,"expDetail","./sample.txt"
167.924,-2,248.487,"expDetail","./sample.txt"
167.934,-2,240.3,"expDetail","./sample.txt"
167.944,-2,246.692,"expDetail","./sample.txt"
167.954,-2,262.135,"expDetail","./sample.txt"
167.963,-2,261.717,"expDetail","./sample.txt"
167.973,-2,285.504,"expDetail","./sample.txt"
167.983,-2,234.486,"expDetail","./sample.txt"
167.994,-2,264.986,"expDetail","./sample.txt"
168.003,-2,237.764,"expDetail","./sample.txt"
168.013,-2,250.113,"expDetail","./sample.txt"
168.023,-2,258.147,"expDetail","./sample.txt"
168.033,-2,263.989,"expDetail","./sample.txt"
168.042,-2,266.52,"expDetail","./sample.txt"
168.052,-2,251.649,"expDetail","./sample.txt"
168.062,-2,250.653,"expDetail","./sample.txt"
168.072,-2,265.748,"expDetail","./sample.txt"
168.083,-2,251.781,"expDetail","./sample.txt"
168.092,-2,246.738,"expDetail","./sample.txt"
168.102,-2,254.808,"expDetail","./sample.txt"
168.112,-2,256.043,"expDetail","./sample.txt"
168.122,-2,268.136,"expDetail","./sample.txt"
168.131,-2,258.46,"expDetail","./sample.txt"
168.141,-2,257.507,"expDetail","./sample.txt"
168.151,-2,262.916,"expDetail","./sample.txt"
168.161,-2,274.299,"expDetail","./sample.txt"
168.171,-2,239.32,"expDetail","./sample.txt"
168.181,-2,230.824,"expDetail","./sample.txt"
168.191,-2,263.084,"expDetail","./sample.txt"
168.201,-2,269.204,"expDetail","./sample.txt"
168.21,-2,254.645,"expDetail","./sample.txt"
168.22,-2,247.758,"expDetail","./sample.txt"
168.23,-2,253.296,"expDetail","./sample.txt"
168.24,-2,246.713,"expDetail","./sample.txt"
168.249,-2,239.269,"expDetail","./sample.txt"
168.26,-2,247.283,"expDetail","./sample.txt"
168.27,-2,252.003,"expDetail","./sample.txt"
168.28,-2,268.82,"expDetail","./sample.txt"
168.29,-2,258.695,"expDetail","./sample.txt"
168.299,-2,270.647,"expDetail","./sample.txt"
168.309,-2,258.322,"expDetail","./sample.txt"
168.319,-2,277.439,"expDetail","./sample.txt"
168.329,-2,259.544,"expDetail","./sample.txt"
168.338,-2,244.912,"expDetail","./sample.txt"
168.349,-2,248.059,"expDetail","./sample.txt"
168.358,-2,244.075,"expDetail","./sample.txt"
168.368,-2,248.747,"expDetail","./sample.txt"
168.378,-2,253.451,"expDetail","./sample.txt"
168.388,-2,259.247,"expDetail","./sample.txt"
168.398,-2,274.206,"expDetail","./sample.txt"
168.408,-2,260.742,"expDetail","./sample.txt"
168.417,-2,270.313,"expDetail","./sample.txt"
168.427,-2,258.043,"expDetail","./sample.txt"
168.437,-2,269.594,"expDetail","./sample.txt"
168.447,-2,236.77,"expDetail","./sample.txt"
168.458,-2,259.941,"expDetail","./sample.txt"
168.467,-2,256.951,"expDetail","./sample.txt"
168.477,-2,263.091,"expDetail","./sample.txt"
168.487,-2,260.512,"expDetail","./sample.txt"
168.497,-2,234.155,"expDetail","./sample.txt"
168.506,-2,235.422,"expDetail","./sample.txt"
168.516,-2,260.911,"expDetail","./sample.txt"
168.526,-2,238.041,"expDetail","./sample.txt"
168.536,-2,274.071,"expDetail","./sample.txt"
168.546,-2,265.697,"expDetail","./sample.txt"
168.556,-2,256.874,"expDetail","./sample.txt"
168.566,-2,252.25,"expDetail","./sample.txt"
168.576,-2,258.697,"expDetail","./sample.txt"
168.585,-2,233.242,"expDetail","./sample.txt"
168.595,-2,264.869,"expDetail","./sample.txt"
168.605,-2,250.041,"expDetail","./sample.txt"
168.615,-2,257.552,"expDetail","./sample.txt"
168.624,-2,281.238,"expDetail","./sample.txt"
168.634,-2,269.371,"expDetail","./sample.txt"
168.645,-2,256.641,"expDetail","./sample.txt"
168.655,-2,275.817,"expDetail","./sample.txt"
168.665,-2,262.482,"expDetail","./sample.txt"
168.674,-2,278.626,"expDetail","./sample.txt"
168.684,-2,245.847,"expDetail","./sample.txt"
168.694,-2,247.864,"expDetail","./sample.txt"
168.704,-2,254.719,"expDetail","./sample.txt"
168.713,-2,243.559,"expDetail","./sample.txt"
168.723,-2,274.963,"expDetail","./sample.txt"
168.734,-2,271.005,"expDetail","./sample.txt"
168.744,-2,248.755,"expDetail","./sample.txt"
168.753,-2,242.564,"expDetail","./sample.txt"
168.763,-2,253.085,"expDetail","./sample.txt"
168.773,-2,260.793,"expDetail","./sample.txt"
168.785,-2,271.822,"expDetail","./sample.txt"
168.792,-2,243.083,"expDetail","./sample.txt"
168.802,-2,249.726,"expDetail","./sample.txt"
168.812,-2,201.173,"expDetail","./sample.txt"
168.822,-2,260.334,"expDetail","./sample.txt"
168.832,-2,256.25,"expDetail","./sample.txt"
168.842,-2,275.792,"expDetail","./sample.txt"
168.852,-2,260.831,"expDetail","./sample.txt"
168.862,-2,238.388,"expDetail","./sample.txt"
168.872,-2,236.719,"expDetail","./sample.txt"
168.881,-2,263.318,"expDetail","./sample.txt"
168.891,-2,233.874,"expDetail","./sample.txt"
168.901,-2,258.006,"expDetail","./sample.txt"
168.911,-2,262.584,"expDetail","./sample.txt"
168.92,-2,273.137,"expDetail","./sample.txt"
168.931,-2,272.415,"expDetail","./sample.txt"
168.941,-2,280.773,"expDetail","./sample.txt"
168.951,-2,257.443,"expDetail","./sample.txt"
168.96,-2,266.588,"expDetail","./sample.txt"
168.97,-2,271.851,"expDetail","./sample.txt"
168.98,-2,253.673,"expDetail","./sample.txt"
168.99,-2,267.972,"expDetail","./sample.txt"
168.999,-2,277.257,"expDetail","./sample.txt"
169.009,-2,262.819,"expDetail","./sample.txt"
169.02,-2,255.381,"expDetail","./sample.txt"
169.03,-2,229.561,"expDetail","./sample.txt"
169.04,-2,255.157,"expDetail","./sample.txt"
169.049,-2,255.15,"expDetail","./sample.txt"
169.059,-2,254.741,"expDetail","./sample.txt"
169.069,-2,244.439,"expDetail","./sample.txt"
169.079,-2,284.535,"expDetail","./sample.txt"
169.088,-2,260.961,"expDetail","./sample.txt"
169.098,-2,270.721,"expDetail","./sample.txt"
169.109,-2,245.087,"expDetail","./sample.txt"
169.119,-2,251.3,"expDetail","./sample.txt"
169.128,-2,240.054,"expDetail","./sample.txt"
169.138,-2,241.733,"expDetail","./sample.txt"
169.148,-2,256.46,"expDetail","./sample.txt"
